id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;tanggal_kejadian;keterangan;satuan;jumlah_kejadian; jumlah_kerugian ;tahun
1;15;JAMBI;1572;157208;10/01/2024;MENINGGAL DUNIA;JIWA;0; Rp- ;2024
2;15;JAMBI;1572;157208;10/01/2024;HILANG;JIWA;0; Rp- ;2024
3;15;JAMBI;1572;157208;10/01/2024;LUKA;JIWA;0; Rp- ;2024
4;15;JAMBI;1572;157208;10/01/2024;MENDERITA;JIWA;0; Rp- ;2024
5;15;JAMBI;1572;157208;10/01/2024;MENGUNGSI;JIWA;0; Rp- ;2024
6;15;JAMBI;1572;157208;10/01/2024;RUMAH TERENDAM;UNIT;0; Rp- ;2024
7;15;JAMBI;1572;157208;10/01/2024;RUMAH TERENDAM;UNIT;0; Rp- ;2024
8;15;JAMBI;1572;157208;10/01/2024;RUMAH TERENDAM;UNIT;0; Rp- ;2024
9;15;JAMBI;1572;157208;10/01/2024;RUMAH TERENDAM;UNIT;0; Rp- ;2024
10;15;JAMBI;1572;157208;10/01/2024;SARANA PENDIDIKAN;UNIT;0; Rp- ;2024
11;15;JAMBI;1572;157208;10/01/2024;SARANA PENDIDIKAN;UNIT;0; Rp- ;2024
12;15;JAMBI;1572;157208;10/01/2024;SARANA PENDIDIKAN;UNIT;0; Rp- ;2024
13;15;JAMBI;1572;157208;10/01/2024;PERKANTORAN;UNIT;0; Rp- ;2024
14;15;JAMBI;1572;157208;10/01/2024;BANGUNAN LAIN;UNIT;0; Rp- ;2024
15;15;JAMBI;1572;157208;10/01/2024;JEMBATAN;UNIT;0; Rp- ;2024
16;15;JAMBI;1572;157208;10/01/2024;JALAN;KM;0; Rp- ;2024
17;15;JAMBI;1572;157208;10/01/2024;SAWAH;HA;0; Rp- ;2024
18;15;JAMBI;1572;157208;10/01/2024;KEBUN;HEKTAR;0; Rp- ;2024
19;15;JAMBI;1572;157208;10/01/2024;KOLAM;HA;0; Rp- ;2024
20;15;JAMBI;1572;157208;10/01/2024;IRIGASI;HA;0; Rp- ;2024
21;15;JAMBI;1502;150216;05/01/2024;MENINGGAL DUNIA;JIWA;0; Rp- ;2024
22;15;JAMBI;1502;150216;05/01/2024;HILANG;JIWA;0; Rp- ;2024
23;15;JAMBI;1502;150216;05/01/2024;LUKA;JIWA;0; Rp- ;2024
24;15;JAMBI;1502;150216;05/01/2024;MENDERITA;JIWA;18; Rp- ;2024
25;15;JAMBI;1502;150216;05/01/2024;MENGUNGSI;JIWA;0; Rp- ;2024
26;15;JAMBI;1502;150216;05/01/2024;RUMAH TERENDAM;UNIT;0; Rp- ;2024
27;15;JAMBI;1502;150216;05/01/2024;RUMAH TERENDAM;UNIT;0; Rp- ;2024
28;15;JAMBI;1502;150216;05/01/2024;RUMAH TERENDAM;UNIT;0; Rp- ;2024
29;15;JAMBI;1502;150216;05/01/2024;RUMAH TERENDAM;UNIT;0; Rp- ;2024
30;15;JAMBI;1502;150216;05/01/2024;SARANA PENDIDIKAN;UNIT;0; Rp- ;2024
31;15;JAMBI;1502;150216;05/01/2024;SARANA PENDIDIKAN;UNIT;0; Rp- ;2024
32;15;JAMBI;1502;150216;05/01/2024;SARANA PENDIDIKAN;UNIT;0; Rp- ;2024
33;15;JAMBI;1502;150216;05/01/2024;PERKANTORAN;UNIT;0; Rp- ;2024
34;15;JAMBI;1502;150216;05/01/2024;BANGUNAN LAIN;UNIT;0; Rp- ;2024
35;15;JAMBI;1502;150216;05/01/2024;JEMBATAN;UNIT;0; Rp- ;2024
36;15;JAMBI;1502;150216;05/01/2024;JALAN;KM;18; Rp- ;2024
37;15;JAMBI;1502;150216;05/01/2024;SAWAH;HA;0; Rp- ;2024
38;15;JAMBI;1502;150216;05/01/2024;KEBUN;HEKTAR;0; Rp- ;2024
39;15;JAMBI;1502;150216;05/01/2024;KOLAM;HA;0; Rp- ;2024
40;15;JAMBI;1502;150216;05/01/2024;IRIGASI;HA;0; Rp- ;2024
41;15;JAMBI;1502;150216;05/01/2024;MENINGGAL DUNIA;JIWA;0; Rp- ;2024
42;15;JAMBI;1502;150216;05/01/2024;HILANG;JIWA;0; Rp- ;2024
43;15;JAMBI;1502;150216;05/01/2024;LUKA;JIWA;0; Rp- ;2024
44;15;JAMBI;1502;150216;05/01/2024;MENDERITA;JIWA;0; Rp- ;2024
45;15;JAMBI;1502;150216;05/01/2024;MENGUNGSI;JIWA;0; Rp- ;2024
46;15;JAMBI;1502;150216;05/01/2024;RUMAH TERENDAM;UNIT;0; Rp- ;2024
47;15;JAMBI;1502;150216;05/01/2024;RUMAH TERENDAM;UNIT;0; Rp- ;2024
48;15;JAMBI;1502;150216;05/01/2024;RUMAH TERENDAM;UNIT;0; Rp- ;2024
