id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;pejabat_struktural;tenaga_pendidik;tenaga_dukungan_manajemen
1;15;JAMBI;1501;0;0;87
2;15;JAMBI;1502;28;0;80
3;15;JAMBI;1503;0;0;66
4;15;JAMBI;1504;28;0;102
5;15;JAMBI;1505;5;0;73
6;15;JAMBI;1507;0;0;85
7;15;JAMBI;1506;29;0;105
8;15;JAMBI;1509;0;0;58
9;15;JAMBI;1508;15;0;91
10;15;JAMBI;1571;0;0;128
11;15;JAMBI;1572;12;0;26
