id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;tenaga_keperawatan;tenaga_kebidanan
1;15;JAMBI;1501;0;0
2;15;JAMBI;1502;297;177
3;15;JAMBI;1503;186;133
4;15;JAMBI;1504;216;63
5;15;JAMBI;1505;154;94
6;15;JAMBI;1507;107;33
7;15;JAMBI;1506;183;70
8;15;JAMBI;1509;155;75
9;15;JAMBI;1508;382;135
10;15;JAMBI;1571;2.259;451
11;15;JAMBI;1572;303;88
