id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_puskesmas;nama_puskesmas;alamat;kemampuan_pelayanan;karakteristik_wilayah_kerja
166;15;JAMBI;1508;150811;1011526;AIR GEMURUH;DS. AIR GEMURUH, KEC. BATHIN III;NON RAWAT INAP;PERDESAAN
167;15;JAMBI;1508;150802;1011527;RANTAU PANDAN;DS. RANTAU PANDAN, KEC. RANTAU PANDAN;RAWAT INAP;TERPENCIL
168;15;JAMBI;1508;150808;1011528;TANJUNG AGUNG;DS. TANJUNG AGUNG, KEC. MUKO MUKO BATHIN VII;NON RAWAT INAP;PERDESAAN
169;15;JAMBI;1508;150814;1011529;MUARA BUAT;DS. MUARA BUAT, KEC. BATHIN III ULU;NON RAWAT INAP;TERPENCIL
170;15;JAMBI;1508;150805;1011530;TANAH SEPENGGAL;DS. LUBUK LANDAI, KEC. TANAH SEPENGGAL;RAWAT INAP;PERDESAAN
171;15;JAMBI;1508;150817;1011531;TANAH SEPENGGAL LINTAS;DS. SUNGAI LILIN KEC. TANAH SEPENGGAL LINTAS;RAWAT INAP;PERDESAAN
172;15;JAMBI;1508;150801;1011532;TANAH TUMBUH;JL. BUKIT HARAPAN, KEC. TANAH BUMBU;RAWAT INAP;TERPENCIL
173;15;JAMBI;1508;150807;1011533;LIMBUR LUBUK MENGKUANG;DS. LIMBUR LBK MENGKUANG, KEC. LIMBUR LUBUK MENGKUANG;NON RAWAT INAP;SANGAT TERPENCIL
174;15;JAMBI;1508;150815;1011534;PELAYANG;DS. PELAYANG, KEC. BATHIN II PELAYANG;NON RAWAT INAP;TERPENCIL
175;15;JAMBI;1508;150804;1011535;RANTAU IKIL;DS. RANTAU IKIL, KEC. JUJUHAN;RAWAT INAP;TERPENCIL
176;15;JAMBI;1508;150816;1011536;PULAU BATU;DS. PULAU BATU, KEC. JUJUHAN ILIR;NON RAWAT INAP;TERPENCIL
177;15;JAMBI;1571;157107;1011537;PAAL V;JL. KOL. M. KUKUH, KEC. KOTA BARU;NON RAWAT INAP;PERKOTAAN
178;15;JAMBI;1571;157107;1011538;PAAL X;JL. PANGERAN HIDAYAT, KEC. KOTA BARU;RAWAT INAP;PERKOTAAN
179;15;JAMBI;1571;157109;1011539;KENALI BESAR;JL. LINGKAR TIMUR, KEC. ALAM BARAJO;NON RAWAT INAP;PERKOTAAN
180;15;JAMBI;1571;157109;1011540;RAWASARI;JL. TP.SRIWIJAYA, KEC. ALAM BARAJO;NON RAWAT INAP;PERKOTAAN
181;15;JAMBI;1571;157102;1011541;PAKUAN BARU;JL. JEND. SUDIRMAN, KEC. JAMBI SELATAN;RAWAT INAP;PERKOTAAN
182;15;JAMBI;1571;157111;1011542;TALANG BAKUNG;KEL. TALANG BAKUNG, KEC. PAAL MERAH;RAWAT INAP;PERKOTAAN
183;15;JAMBI;1571;157102;1011543;KEBON KOPI;KEC. JAMBI SELATAN;NON RAWAT INAP;PERKOTAAN
184;15;JAMBI;1571;157111;1011544;PAAL MERAH I;JL. KH. AR. SALEH KEC. PAAL MERAH;NON RAWAT INAP;PERKOTAAN
185;15;JAMBI;1571;157111;1011545;PAAL MERAH II;JL. KH. AR. SALEH KEC. PAAL MERAH;NON RAWAT INAP;PERKOTAAN
186;15;JAMBI;1571;157108;1011546;SIMPANG KAWAT;JL. HOS.COKROAMINOTO, KEC. JELUTUNG;NON RAWAT INAP;PERKOTAAN
187;15;JAMBI;1571;157108;1011547;KEBON HANDIL;JL. DI. PANJAITAN, KEC. JELUTUNG;NON RAWAT INAP;PERKOTAAN
188;15;JAMBI;1571;157104;1011548;KONI;JL. P. DIPONEGORO, KEC. PASAR JAMBI;NON RAWAT INAP;PERKOTAAN
189;15;JAMBI;1571;157110;1011549;PUTRI AYU;JL. SLAMET RIYADI, KEC. DANAU SIPIN;RAWAT INAP;PERKOTAAN
190;15;JAMBI;1571;157101;1011550;SIMPANG IV SIPIN;JL. A. RAHMAT HAKIM, KEC. TELANAIPURA;NON RAWAT INAP;PERKOTAAN
191;15;JAMBI;1571;157101;1011551;AUR DURI;PERUMNAS AUR DURI, KEC. TELANAIPURA;NON RAWAT INAP;PERKOTAAN
192;15;JAMBI;1571;157106;1011552;OLAK KEMANG;JL. KH. ABDUL KODIR IBRAHIM KEL. PASIR PANJANG KEC. DANAU TELUK KOTA JAMBI;NON RAWAT INAP;PERKOTAAN
193;15;JAMBI;1571;157105;1011553;TAHTUL YAMAN;JL. KH. TOMOK, KEC. PELAYANGAN;NON RAWAT INAP;PERKOTAAN
194;15;JAMBI;1571;157103;1011554;TANJUNG PINANG;JL. TARUMANEGARA, KEC. JAMBI TIMUR;NON RAWAT INAP;PERKOTAAN
195;15;JAMBI;1571;157111;1011555;PAYO SELINCAH;JL. ORANG KAYO PINGAI, KEC. PAAL MERAH;NON RAWAT INAP;PERKOTAAN
196;15;JAMBI;1571;157103;1011556;TALANG BANJAR;JL. PANCA KARYA, KEC. JAMBI TIMUR;NON RAWAT INAP;PERKOTAAN
197;15;JAMBI;1572;157204;1011557;TANAH KAMPUNG;JL. STADION PANCASILA, KEC. TANAH KAMPUNG;RAWAT INAP;PERDESAAN
198;15;JAMBI;1572;157205;1011558;KUMUN;DS. KUMUN HILIR, KEC. KUMUN DEBAI;RAWAT INAP;PERDESAAN
199;15;JAMBI;1572;157201;1011559;DESA GEDANG;JL. YOS SUDARSO, KEC. SUNGAI PENUH 37112;RAWAT INAP;PERKOTAAN
200;15;JAMBI;1572;157201;1011560;SUNGAI PENUH;JL. SUDIRMAN NO.24, KEC. SUNGAI PENUH 37171;NON RAWAT INAP;PERKOTAAN
201;15;JAMBI;1572;157208;1012491;SUNGAI BUNGKAL;DESA TALANG LINDUNG KEC. SUNGAI BUNGKAL;NON RAWAT INAP;PERDESAAN
202;15;JAMBI;1572;157203;1011561;RAWANG;JL. DESA KOTO TELUK, KEC. HAMPARAN  RAWANG;RAWAT INAP;PERDESAAN
203;15;JAMBI;1572;157203;1012641;TANJUNG;DESA TANJUNG MUDA KEC. HAMPARAN RAWANG;NON RAWAT INAP;PERDESAAN
204;15;JAMBI;1572;157207;1011562;KOTO BARU;JL. HAMPARAN BESAR, KEC. KOTO BARU;RAWAT INAP;PERDESAAN
205;15;JAMBI;1572;157202;1012490;KOTO LOLO;JL. PELITA IV DESA KOTO LOLO;NON RAWAT INAP;PERDESAAN
206;15;JAMBI;1572;157202;1012492;SUNGAI LIUK;JL. HAMPARAN BESAR DESA SUNGAI LIUK KEC. PESISIR BUKIT;NON RAWAT INAP;PERDESAAN
207;15;JAMBI;1572;157206;1012522;PONDOK TINGGI;JL. GAJAH MADA DS. KARYA BAKTI KEC. PONDOK TINGGI;NON RAWAT INAP;PERKOTAAN
