id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;tahun_2021;tahun_2022;tahun_2023;tahun_2024
1;15;JAMBI;1501;24.674;14.536;11.231;7.267
2;15;JAMBI;1502;42.496;25.799;22.909;13.152
3;15;JAMBI;1503;29.851;19.822;17.638;11.615
4;15;JAMBI;1504;27.745;17.139;15.708;11.152
5;15;JAMBI;1505;40.511;24.520;21.491;14.706
6;15;JAMBI;1506;38.295;33.378;31.135;25.781
7;15;JAMBI;1507;30.433;25.166;21.401;15.734
8;15;JAMBI;1508;33.263;22.702;19.413;13.835
9;15;JAMBI;1509;34.068;19.666;14.153;9.908
10;15;JAMBI;1571;39.444;17.549;13.608;11.877
11;15;JAMBI;1572;7.920;4.482;3.251;2.068
