NO;kode_provinsi;nama_provinsi;kode_kabupaten;nama_kabupaten;komoditi;luas_tanaman_belum_menghasilkan;luas_tanaman_menghasilkan;luas_tanaman_tidak_menghasilkan_atau_tanaman_rusak;jumlah;satuan;tahun
1;15;JAMBI;1502;MERANGIN;KOPI ARABICA;39;17;-;56;HEKTAR;2022
2;15;JAMBI;1501;KERINCI;KOPI ARABICA;1.258;1.311;-;2.569;HEKTAR;2022
3;15;JAMBI;1572;SUNGAI PENUH;KOPI ARABICA;499;254;436;1.189;HEKTAR;2022
4;15;JAMBI;1502;MERANGIN;KOPI ARABICA;35;17;-;52;HEKTAR;2023
5;15;JAMBI;1501;KERINCI;KOPI ARABICA;1.240;1.365;-;2.605;HEKTAR;2023
6;15;JAMBI;1572;SUNGAI PENUH;KOPI ARABICA;264;522;191;977;HEKTAR;2023
;;;;;;;;;;; 
