id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;produktivitas;satuan;tahun;
;15;JAMBI;1505;KOPI LIBERIKA;0;KG/HA;2024;
;15;JAMBI;1506;KARET;501;KG/HA;2024;
;15;JAMBI;1506;KELAPA SAWIT;2607;KG/HA;2024;
;15;JAMBI;1506;KELAPA DALAM;1366;KG/HA;2024;
;15;JAMBI;1506;KOPI ROBUSTA;0;KG/HA;2024;
;15;JAMBI;1506;KOPI ARABIKA;0;KG/HA;2024;
;15;JAMBI;1506;CASSIAVERA;0;KG/HA;2024;
;15;JAMBI;1506;KAKAO;117;KG/HA;2024;
;15;JAMBI;1506;PINANG;1447;KG/HA;2024;
;15;JAMBI;1506;KOPI LIBERIKA;555;KG/HA;2024;
;15;JAMBI;1507;KARET;677;KG/HA;2024;
;15;JAMBI;1507;KELAPA SAWIT;2561;KG/HA;2024;
;15;JAMBI;1507;KELAPA DALAM;1138;KG/HA;2024;
;15;JAMBI;1507;KOPI ROBUSTA;0;KG/HA;2024;
;15;JAMBI;1507;KOPI ARABIKA;0;KG/HA;2024;
;15;JAMBI;1507;CASSIAVERA;0;KG/HA;2024;
;15;JAMBI;1507;KAKAO;819;KG/HA;2024;
;15;JAMBI;1507;PINANG;2160;KG/HA;2024;
;15;JAMBI;1507;KOPI LIBERIKA;543;KG/HA;2024;
;15;JAMBI;1508;KARET;1027;KG/HA;2024;
;15;JAMBI;1508;KELAPA SAWIT;3450;KG/HA;2024;
;15;JAMBI;1508;KELAPA DALAM;859;KG/HA;2024;
;15;JAMBI;1508;KOPI ROBUSTA;964;KG/HA;2024;
;15;JAMBI;1508;KOPI ARABIKA;0;KG/HA;2024;
;15;JAMBI;1508;CASSIAVERA;1059;KG/HA;2024;
;15;JAMBI;1508;KAKAO;0;KG/HA;2024;
;15;JAMBI;1508;PINANG;630;KG/HA;2024;
;15;JAMBI;1508;KOPI LIBERIKA;0;KG/HA;2024;
;15;JAMBI;1509;KARET;804;KG/HA;2024;
;15;JAMBI;1509;KELAPA SAWIT;2799;KG/HA;2024;
;15;JAMBI;1509;KELAPA DALAM;688;KG/HA;2024;
;15;JAMBI;1509;KOPI ROBUSTA;493;KG/HA;2024;
;15;JAMBI;1509;KOPI ARABIKA;0;KG/HA;2024;
;15;JAMBI;1509;CASSIAVERA;0;KG/HA;2024;
;15;JAMBI;1509;KAKAO;483;KG/HA;2024;
;15;JAMBI;1509;PINANG;319;KG/HA;2024;
;15;JAMBI;1509;KOPI LIBERIKA;0;KG/HA;2024;
;15;JAMBI;1571;KARET;0;KG/HA;2024;
;15;JAMBI;1571;KELAPA SAWIT;0;KG/HA;2024;
;15;JAMBI;1571;KELAPA DALAM;0;KG/HA;2024;
;15;JAMBI;1571;KOPI ROBUSTA;0;KG/HA;2024;
;15;JAMBI;1571;KOPI ARABIKA;0;KG/HA;2024;
;15;JAMBI;1571;CASSIAVERA;0;KG/HA;2024;
;15;JAMBI;1571;KAKAO;0;KG/HA;2024;
;15;JAMBI;1571;PINANG;0;KG/HA;2024;
;15;JAMBI;1571;KOPI LIBERIKA;0;KG/HA;2024;
;15;JAMBI;1572;KARET;0;KG/HA;2024;
;15;JAMBI;1572;KELAPA SAWIT;0;KG/HA;2024;
;15;JAMBI;1572;KELAPA DALAM;1000;KG/HA;2024;
;15;JAMBI;1572;KOPI ROBUSTA;545;KG/HA;2024;
;15;JAMBI;1572;KOPI ARABIKA;495;KG/HA;2024;
;15;JAMBI;1572;CASSIAVERA;1408;KG/HA;2024;
;15;JAMBI;1572;KAKAO;408;KG/HA;2024;
;15;JAMBI;1572;PINANG;328;KG/HA;2024;
;15;JAMBI;1572;KOPI LIBERIKA;0;KG/HA;2024;
