NO;kode_provinsi;nama_provinsi;komoditi;jumlah_petani;satuan;tahun
1;15;JAMBI;TEBU / Sugar Cane;1579;KEPALA KELUARGA;2022
2;15;JAMBI;TEMBAKAU / Tobacco;435;KEPALA KELUARGA;2022
3;15;JAMBI;NILAM / Patchouli;2818;KEPALA KELUARGA;2022
4;15;JAMBI;TEBU / Sugar Cane;5584;KEPALA KELUARGA;2023
5;15;JAMBI;TEMBAKAU / Tobacco;623;KEPALA KELUARGA;2023
6;15;JAMBI;NILAM / Patchouli;166;KEPALA KELUARGA;2023
