NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_komoditi;nama_kelompok;keterangan;tahun_data
1;15;JAMBI;1505;BALL BOND CLAY;BAHAN KERAMIK;TANPA KETERANGAN;2023
2;15;JAMBI;1502;BATU GAMPING;MINERAL INDUSTRI;CUKUP BAIK;2023
3;15;JAMBI;1503;BATU GAMPING;MINERAL INDUSTRI;TANPA KETERANGAN;2023
4;15;JAMBI;1503;BATU GAMPING;MINERAL INDUSTRI;TERDAPAT URAT URAT KALSIT;2023
5;15;JAMBI;1502;BATU GAMPING;MINERAL INDUSTRI;SEBARAN 10 HEKTAR;2023
6;15;JAMBI;1502;BATU GAMPING;MINERAL INDUSTRI;CUKUP BAIK;2023
7;15;JAMBI;1502;BATU GAMPING;MINERAL INDUSTRI;BERWARNA KUNING ABU-ABU DAN KUNING KEHIJAUAN;2023
8;15;JAMBI;1508;FELSPARD;BAHAN KERAMIK;BERUPA SABASTONE, KANDUNGAN K2O DAN NA20 = 0,99%;2023
9;15;JAMBI;1508;FELSPARD;BAHAN KERAMIK;BERUPA SABASTONE, KANDUNGAN K2O DAN NA20 = 0,94%;2023
10;15;JAMBI;1508;FELSPARD;BAHAN KERAMIK;BERUPA SABASTONE, KANDUNGAN K2O DAN NA20 = 0,89%;2023
11;15;JAMBI;1508;FELSPARD;BAHAN KERAMIK;BERUPA SABASTONE, KANDUNGAN K2O DAN NA20 = 1,14%;2023
12;15;JAMBI;1508;FELSPARD;BAHAN KERAMIK;BERUPA SABASTONE, KANDUNGAN K2O DAN NA20 = 0,89 - 3,56 %;2023
13;15;JAMBI;1508;FELSPARD;BAHAN KERAMIK;BERUPA SABASTONE, KANDUNGAN K2O DAN NA20 BELUM DIKETAHUI;2023
14;15;JAMBI;1508;FELSPARD;BAHAN KERAMIK;BERUPA SABASTONE, KANDUNGAN K2O DAN NA20 BELUM DIKETAHUI;2023
15;15;JAMBI;1508;FELSPARD;BAHAN KERAMIK;BERUPA SABASTONE, KANDUNGAN K2O DAN NA20 BELUM DIKETAHUI;2023
16;15;JAMBI;1508;FELSPARD;BAHAN KERAMIK;BERUPA SABASTONE, KANDUNGAN K2O DAN NA20 BELUM DIKETAHUI;2023
17;15;JAMBI;1508;GRANIT;BAHAN BANGUNAN;BERWARNA ABU - ABU TUA;2023
18;15;JAMBI;1508;GRANIT;BAHAN BANGUNAN;MUTU CUKUP BAIK;2023
19;15;JAMBI;1508;GRANIT;BAHAN BANGUNAN;BERBINTIK PUTIH MENGANDUNG MIKA;2023
20;15;JAMBI;1508;GRANIT;BAHAN BANGUNAN;BATUAN BERSTRUKTUR HIPIDIOMORFIK;2023
21;15;JAMBI;1501;KAOLIN;BAHAN KERAMIK;CUKUP BAIK;2023
22;15;JAMBI;1571;LEMPUNG;BAHAN KERAMIK;TANPA KETERANGAN;2023
23;15;JAMBI;1509;LEMPUNG;BAHAN KERAMIK;BERWARNA KECOKLATAN SAMPAI KEMERAHAN PLASTISITASNYA CUKUP BAIK;2023
24;15;JAMBI;1502;LEMPUNG;BAHAN KERAMIK;BERWARNA KECOKLATAN SAMPAI KEMERAHAN PLASTISITASNYA CUKUP BAIK;2023
25;15;JAMBI;1571;LEMPUNG;BAHAN KERAMIK;TANPA KETERANGAN;2023
26;15;JAMBI;1508;LEMPUNG;BAHAN KERAMIK;KANDUNGAN SI02 -60,09 %;2023
27;15;JAMBI;1508;LEMPUNG;BAHAN KERAMIK;KANDUNGAN SIO2 -42.84-46.17%;2023
