id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;jenis_kelamin;jumlah;bulan;tahun
94;15;JAMBI;1503;LAKI-LAKI;17;SEPTEMBER;2023
95;15;JAMBI;1501;LAKI-LAKI;7;SEPTEMBER;2023
96;15;JAMBI;1572;LAKI-LAKI;1;SEPTEMBER;2023
97;15;JAMBI;1505;LAKI-LAKI;12;SEPTEMBER;2023
98;15;JAMBI;1506;LAKI-LAKI;261;SEPTEMBER;2023
99;15;JAMBI;1507;LAKI-LAKI;7;SEPTEMBER;2023
100;15;JAMBI;1571;LAKI-LAKI;36;OKTOBER;2023
101;15;JAMBI;1504;LAKI-LAKI;21;OKTOBER;2023
102;15;JAMBI;1509;LAKI-LAKI;4;OKTOBER;2023
103;15;JAMBI;1508;LAKI-LAKI;14;OKTOBER;2023
104;15;JAMBI;1502;LAKI-LAKI;23;OKTOBER;2023
105;15;JAMBI;1503;LAKI-LAKI;16;OKTOBER;2023
106;15;JAMBI;1501;LAKI-LAKI;11;OKTOBER;2023
107;15;JAMBI;1572;LAKI-LAKI;5;OKTOBER;2023
108;15;JAMBI;1505;LAKI-LAKI;16;OKTOBER;2023
109;15;JAMBI;1506;LAKI-LAKI;299;OKTOBER;2023
110;15;JAMBI;1507;LAKI-LAKI;7;OKTOBER;2023
111;15;JAMBI;1571;LAKI-LAKI;52;NOVEMBER;2023
112;15;JAMBI;1504;LAKI-LAKI;24;NOVEMBER;2023
113;15;JAMBI;1509;LAKI-LAKI;8;NOVEMBER;2023
114;15;JAMBI;1508;LAKI-LAKI;15;NOVEMBER;2023
115;15;JAMBI;1502;LAKI-LAKI;8;NOVEMBER;2023
116;15;JAMBI;1503;LAKI-LAKI;20;NOVEMBER;2023
117;15;JAMBI;1501;LAKI-LAKI;8;NOVEMBER;2023
118;15;JAMBI;1572;LAKI-LAKI;5;NOVEMBER;2023
119;15;JAMBI;1505;LAKI-LAKI;11;NOVEMBER;2023
120;15;JAMBI;1506;LAKI-LAKI;192;NOVEMBER;2023
121;15;JAMBI;1507;LAKI-LAKI;5;NOVEMBER;2023
122;15;JAMBI;1571;LAKI-LAKI;52;DESEMBER;2023
123;15;JAMBI;1504;LAKI-LAKI;24;DESEMBER;2023
124;15;JAMBI;1509;LAKI-LAKI;8;DESEMBER;2023
125;15;JAMBI;1508;LAKI-LAKI;15;DESEMBER;2023
126;15;JAMBI;1502;LAKI-LAKI;8;DESEMBER;2023
127;15;JAMBI;1503;LAKI-LAKI;20;DESEMBER;2023
128;15;JAMBI;1501;LAKI-LAKI;8;DESEMBER;2023
129;15;JAMBI;1572;LAKI-LAKI;5;DESEMBER;2023
