id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_kecamatan,nama_kecamatan,kategori,data,satuan,semester,jumlah_penduduk,tahun
1305,15,JAMBI,1508,BUNGO,150814,BATHIN III ULU,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,2094,2022
1306,15,JAMBI,1508,BUNGO,150810,BATIN II BABEKO,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,3166,2022
1307,15,JAMBI,1508,BUNGO,150812,BUNGO DANI,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,5932,2022
1308,15,JAMBI,1508,BUNGO,150804,JUJUHAN,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,2908,2022
1309,15,JAMBI,1508,BUNGO,150816,JUJUHAN ILIR,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,1977,2022
1310,15,JAMBI,1508,BUNGO,150807,LIMBUR LUBUK MENGKUANG,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,3913,2022
1311,15,JAMBI,1508,BUNGO,150808,MUKO-MUKO BATHIN VII,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,3855,2022
1312,15,JAMBI,1508,BUNGO,150803,PASAR MUARO BUNGO,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,4844,2022
1313,15,JAMBI,1508,BUNGO,150806,PELEPAT,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,9741,2022
1314,15,JAMBI,1508,BUNGO,150809,PELEPAT ILIR,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,7716,2022
1315,15,JAMBI,1508,BUNGO,150802,RANTAU PANDAN,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,2592,2022
1316,15,JAMBI,1508,BUNGO,150813,RIMBO TENGAH,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,7117,2022
1317,15,JAMBI,1508,BUNGO,150805,TANAH SEPENGGAL,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,6355,2022
1318,15,JAMBI,1508,BUNGO,150817,TANAH SEPENGGAL LINTAS,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,6106,2022
1319,15,JAMBI,1508,BUNGO,150801,TANAH TUMBUH,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,3292,2022
1320,15,JAMBI,1501,KERINCI,150105,AIR HANGAT,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,1391,2022
1321,15,JAMBI,1501,KERINCI,150121,AIR HANGAT BARAT,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,1145,2022
1322,15,JAMBI,1501,KERINCI,150111,AIR HANGAT TIMUR,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,2791,2022
1323,15,JAMBI,1501,KERINCI,150107,BATANG MERANGIN,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,2340,2022
1324,15,JAMBI,1501,KERINCI,150120,BUKITKERMAN,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,2359,2022
1325,15,JAMBI,1501,KERINCI,150102,DANAU KERINCI,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,2432,2022
1326,15,JAMBI,1501,KERINCI,150123,DANAU KERINCI BARAT,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,1781,2022
1327,15,JAMBI,1501,KERINCI,150117,DEPATI TUJUH,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,2359,2022
1328,15,JAMBI,1501,KERINCI,150106,GUNUNG KERINCI,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,2621,2022
1329,15,JAMBI,1501,KERINCI,150101,GUNUNG RAYA,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,1426,2022
1330,15,JAMBI,1501,KERINCI,150115,GUNUNG TUJUH,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,2823,2022
1331,15,JAMBI,1501,KERINCI,150109,KAYU ARO,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,4422,2022
1332,15,JAMBI,1501,KERINCI,150119,KAYU ARO BARAT,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,3455,2022
1333,15,JAMBI,1501,KERINCI,150108,KELILING DANAU,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,2251,2022
