id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;tanggal_kejadian;keterangan;satuan;jumlah_kejadian; jumlah_kerugian 
41;15;JAMBI;1501;KERINCI;150108;KELILING DANAU;02/01/2025;MENINGGAL;JIWA;0; Rp- 
42;15;JAMBI;1501;KERINCI;150108;KELILING DANAU;02/01/2025;HILANG;JIWA;0; Rp- 
43;15;JAMBI;1501;KERINCI;150108;KELILING DANAU;02/01/2025;LUKA;JIWA;0; Rp- 
44;15;JAMBI;1501;KERINCI;150108;KELILING DANAU;02/01/2025;MENDERITA;JIWA;0; Rp- 
45;15;JAMBI;1501;KERINCI;150108;KELILING DANAU;02/01/2025;MENGUNGSI;JIWA;0; Rp- 
46;15;JAMBI;1501;KERINCI;150108;KELILING DANAU;02/01/2025;RUMAH RUSAK BERAT;UNIT;0; Rp- 
47;15;JAMBI;1501;KERINCI;150108;KELILING DANAU;02/01/2025;RUMAH RUSAK SEDANG;UNIT;0; Rp- 
48;15;JAMBI;1501;KERINCI;150108;KELILING DANAU;02/01/2025;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
49;15;JAMBI;1501;KERINCI;150108;KELILING DANAU;02/01/2025;RUMAH TERENDAM;UNIT;0; Rp- 
50;15;JAMBI;1501;KERINCI;150108;KELILING DANAU;02/01/2025;SARANA PENDIDIKAN;UNIT;0; Rp- 
51;15;JAMBI;1501;KERINCI;150108;KELILING DANAU;02/01/2025;SARANA IBADAH;UNIT;0; Rp- 
52;15;JAMBI;1501;KERINCI;150108;KELILING DANAU;02/01/2025;SARANA KESEHATAN;UNIT;0; Rp- 
53;15;JAMBI;1501;KERINCI;150108;KELILING DANAU;02/01/2025;PERKANTORAN;UNIT;0; Rp- 
54;15;JAMBI;1501;KERINCI;150108;KELILING DANAU;02/01/2025;BANGUNAN LAIN;UNIT;0; Rp- 
55;15;JAMBI;1501;KERINCI;150108;KELILING DANAU;02/01/2025;JEMBATAN;UNIT;0; Rp- 
56;15;JAMBI;1501;KERINCI;150108;KELILING DANAU;02/01/2025;JALAN;KM;0; Rp- 
57;15;JAMBI;1501;KERINCI;150108;KELILING DANAU;02/01/2025;SAWAH;HA;0; Rp- 
58;15;JAMBI;1501;KERINCI;150108;KELILING DANAU;02/01/2025;KEBUN/HUTAN;HA;0; Rp- 
59;15;JAMBI;1501;KERINCI;150108;KELILING DANAU;02/01/2025;KOLAM;HA;0; Rp- 
60;15;JAMBI;1501;KERINCI;150108;KELILING DANAU;02/01/2025;IRIGASI;HA;0; Rp- 
