NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;jumlah_keluarga_berisiko_stunting;keluarga_tidak_memiliki_sumber_air_minum_layak;keluarga_tidak_memiliki_jamban_layak;pus_terlalu_muda;pus_terlalu_tua;pus_terlalu_dekat;pus_terlalu_banyak
;15;JAMBI;1501;KERINCI;150105;AIR HANGAT;874;25;217;7;473;28;314
;15;JAMBI;1501;KERINCI;150121;AIR HANGAT BARAT;690;2;65;13;380;27;326
;15;JAMBI;1501;KERINCI;150111;AIR HANGAT TIMUR;1.889;792;490;40;843;8;484
;15;JAMBI;1501;KERINCI;150107;BATANG MERANGIN;1.293;124;464;24;580;37;593
;15;JAMBI;1501;KERINCI;150120;BUKITKERMAN;1.245;167;314;29;573;34;551
;15;JAMBI;1501;KERINCI;150102;DANAU KERINCI;1.260;27;199;14;646;57;668
;15;JAMBI;1501;KERINCI;150123;DANAU KERINCI BARAT;1.037;113;307;7;464;38;426
;15;JAMBI;1501;KERINCI;150117;DEPATI TUJUH;1.259;8;155;18;666;27;640
;15;JAMBI;1501;KERINCI;150106;GUNUNG KERINCI;1.892;283;1.229;68;574;20;646
;15;JAMBI;1501;KERINCI;150101;GUNUNG RAYA;795;209;195;11;331;55;366
;15;JAMBI;1501;KERINCI;150115;GUNUNG TUJUH;1.610;60;405;59;718;23;852
;15;JAMBI;1501;KERINCI;150109;KAYU ARO;2.404;211;922;78;1.114;19;954
;15;JAMBI;1501;KERINCI;150119;KAYU ARO BARAT;1.766;200;219;29;956;44;773
;15;JAMBI;1501;KERINCI;150108;KELILING DANAU;1.390;139;838;11;567;9;334
;15;JAMBI;1501;KERINCI;150104;SITINJAU LAUT;792;32;245;6;393;19;277
;15;JAMBI;1501;KERINCI;150116;SIULAK;2.582;112;1.187;87;1.087;67;911
;15;JAMBI;1501;KERINCI;150118;SIULAK MUKAI;1.130;106;552;37;488;10;310
;15;JAMBI;1501;KERINCI;150122;TANAH COGOK;766;10;302;8;366;17;236
;15;JAMBI;1502;MERANGIN;150202;BANGKO;3.956;380;192;37;2.029;49;2.378
;15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;1.170;332;178;16;532;15;557
;15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;1.143;118;285;19;460;10;696
;15;JAMBI;1502;MERANGIN;150201;JANGKAT;1.528;850;408;64;431;6;601
;15;JAMBI;1502;MERANGIN;150218;JANGKAT TIMUR;1.706;868;792;71;401;3;739
;15;JAMBI;1502;MERANGIN;150209;LEMBAH MASURAI;2.071;1.166;737;81;615;5;809
;15;JAMBI;1502;MERANGIN;150221;MARGO TABIR;1.711;388;648;98;722;8;581
;15;JAMBI;1502;MERANGIN;150203;MUARA SIAU;1.565;709;640;65;462;12;752
;15;JAMBI;1502;MERANGIN;150211;NALO TANTAN;2.042;361;804;58;811;22;983
;15;JAMBI;1502;MERANGIN;150206;PAMENANG;3.517;846;709;58;1.588;24;1.728
;15;JAMBI;1502;MERANGIN;150213;PAMENANG BARAT;2.134;522;467;62;958;16;1.005
;15;JAMBI;1502;MERANGIN;150220;PAMENANG SELATAN;1.118;170;244;33;504;11;615
;15;JAMBI;1502;MERANGIN;150217;PANGKALAN JAMBU;832;88;236;27;313;2;493
;15;JAMBI;1502;MERANGIN;150219;RENAH PAMENANG;1.412;193;112;24;770;8;681
;15;JAMBI;1502;MERANGIN;150216;RENAH PEMBARAP;1.585;264;397;74;526;16;1.013
;15;JAMBI;1502;MERANGIN;150204;SUNGAI MANAU;1.572;520;556;48;482;14;902
;15;JAMBI;1502;MERANGIN;150205;TABIR;3.831;705;2.236;165;1.253;28;1.602
;15;JAMBI;1502;MERANGIN;150223;TABIR BARAT;1.728;1.199;1.207;27;429;9;643
;15;JAMBI;1502;MERANGIN;150214;TABIR ILIR;1.281;159;696;55;530;2;431
;15;JAMBI;1502;MERANGIN;150222;TABIR LINTAS;931;112;337;19;374;6;386
;15;JAMBI;1502;MERANGIN;150208;TABIR SELATAN;2.796;501;340;38;1.390;30;1.364
;15;JAMBI;1502;MERANGIN;150215;TABIR TIMUR;995;94;359;51;429;8;361
;15;JAMBI;1502;MERANGIN;150207;TABIR ULU;1.250;392;756;44;401;3;485
;15;JAMBI;1502;MERANGIN;150224;TIANG PUMPUNG;622;223;185;25;224;3;259
;15;JAMBI;1503;SAROLANGUN;150307;AIR HITAM;2.700;659;883;39;1.110;102;1.136
;15;JAMBI;1503;SAROLANGUN;150301;BATANG ASAI;2.401;1.625;1.282;78;625;65;1.161
;15;JAMBI;1503;SAROLANGUN;150308;BATHIN VIII;1.779;102;191;28;969;99;814
;15;JAMBI;1503;SAROLANGUN;150310;CERMIN NAN GEDANG;1.470;222;476;33;546;31;928
;15;JAMBI;1503;SAROLANGUN;150302;LIMUN;2.361;609;1.019;70;803;109;1.313
;15;JAMBI;1503;SAROLANGUN;150306;MANDIANGIN;4.466;1.208;1.503;60;1.938;125;2.212
;15;JAMBI;1503;SAROLANGUN;150311;MANDIANGIN TIMUR;0;0;0;0;0;0;0
;15;JAMBI;1503;SAROLANGUN;150304;PAUH;2.519;710;688;60;967;79;1.315
;15;JAMBI;1503;SAROLANGUN;150305;PELAWAN;3.106;455;444;52;1.427;194;1.740
;15;JAMBI;1503;SAROLANGUN;150303;SAROLANGUN;5.131;370;195;52;2.603;166;3.196
;15;JAMBI;1503;SAROLANGUN;150309;SINGKUT;3.918;459;447;54;1.884;84;2.205
;15;JAMBI;1504;BATANGHARI;150407;BAJUBANG;4.550;2.449;1.022;53;1.687;47;1.550
;15;JAMBI;1504;BATANGHARI;150404;BATIN XXIV;2.938;466;617;43;1.315;117;1.482
;15;JAMBI;1504;BATANGHARI;150408;MARO SEBO ILIR;1.312;95;167;7;648;27;696
;15;JAMBI;1504;BATANGHARI;150406;MARO SEBO ULU;4.297;686;2.160;145;1.435;88;2.063
;15;JAMBI;1504;BATANGHARI;150401;MERSAM;2.554;171;381;35;1.303;99;1.334
;15;JAMBI;1504;BATANGHARI;150403;MUARA BULIAN;5.565;1.294;710;53;2.669;42;2.700
;15;JAMBI;1504;BATANGHARI;150402;MUARA TEMBESI;3.263;343;616;36;1.457;152;1.998
;15;JAMBI;1504;BATANGHARI;150405;PEMAYUNG;3.266;421;444;33;1.572;117;1.755
;15;JAMBI;1505;MUARO JAMBI;150510;BAHAR SELATAN;1.771;262;298;17;841;83;841
;15;JAMBI;1505;MUARO JAMBI;150509;BAHAR UTARA;1.342;228;200;19;633;28;593
;15;JAMBI;1505;MUARO JAMBI;150501;JAMBI LUAR KOTA;6.308;906;453;29;3.071;285;3.680
;15;JAMBI;1505;MUARO JAMBI;150503;KUMPEH;3.485;457;1.757;31;1.361;224;1.425
;15;JAMBI;1505;MUARO JAMBI;150506;KUMPEH ULU;5.827;808;544;45;3.002;145;3.088
;15;JAMBI;1505;MUARO JAMBI;150504;MARO SEBO;2.659;1.067;371;18;1.115;71;1.243
;15;JAMBI;1505;MUARO JAMBI;150505;MESTONG;4.388;1.141;1.091;35;2.086;94;1.801
;15;JAMBI;1505;MUARO JAMBI;150502;SEKERNAN;4.274;1.311;517;25;1.920;190;2.020
;15;JAMBI;1505;MUARO JAMBI;150507;SUNGAI BAHAR;2.246;183;108;9;1.307;58;1.121
;15;JAMBI;1505;MUARO JAMBI;150508;SUNGAI GELAM;6.565;1.113;564;34;3.350;203;3.259
;15;JAMBI;1505;MUARO JAMBI;150511;TAMAN RAJO;1.646;796;156;11;631;32;620
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150607;BATANG ASAM;3.595;390;638;59;1.566;140;2.265
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150604;BETARA;3.838;2.599;512;19;1.357;92;1.401
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150611;BRAM ITAM;2.778;2.499;729;12;830;26;860
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150612;KUALA BETARA;2.454;2.427;781;19;594;66;636
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150605;MERLUNG;1.480;109;141;14;770;45;810
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150609;MUARA PAPALIK;1.060;106;54;21;542;19;597
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150603;PENGABUAN;4.365;4.085;1.790;32;1.127;61;1.227
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150608;RENAH MENDALUH;1.545;316;520;30;711;20;687
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150610;SEBERANG KOTA;1.496;1.438;506;8;392;15;285
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150613;SENYERANG;4.427;4.365;1.420;22;1.104;66;866
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150606;TEBING TINGGI;3.467;176;354;23;1.720;92;2.142
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150602;TUNGKAL ILIR;6.418;4.305;1.256;62;2.236;190;2.728
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150601;TUNGKAL ULU;1.372;64;287;13;652;9;804
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150711;BERBAK;1.370;475;691;15;500;13;552
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150706;DENDANG;1.943;936;654;6;732;38;633
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150710;GERAGAI;2.927;1.403;305;16;1.124;64;1.278
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150708;KUALA JAMBI;2.285;1.575;1.156;13;641;73;819
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150703;MENDAHARA;4.345;4.167;2.232;46;1.163;17;1.107
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150709;MENDAHARA ULU;2.281;1.247;717;28;781;16;917
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150707;MUARA SABAK BARAT;2.343;490;251;17;1.109;18;1.271
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150701;MUARA SABAK TIMUR;4.014;2.019;1.577;28;1.375;30;1.370
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150702;NIPAH PANJANG;3.978;3.536;1.676;49;1.085;20;1.342
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150704;RANTAU RASAU;3.171;2.600;441;38;950;16;904
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150705;S A D U;1.776;853;929;31;593;13;754
;15;JAMBI;1508;BUNGO;150815;BATHIN II PELAYANG;936;248;258;20;348;29;500
;15;JAMBI;1508;BUNGO;150811;BATHIN III;2.352;242;364;29;1.167;65;1.304
;15;JAMBI;1508;BUNGO;150814;BATHIN III ULU;1.451;814;689;36;396;10;674
;15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;1.384;119;323;32;591;34;780
;15;JAMBI;1508;BUNGO;150812;BUNGO DANI;2.154;95;146;15;1.082;75;1.361
;15;JAMBI;1508;BUNGO;150804;JUJUHAN;1.846;159;262;29;855;27;1.176
;15;JAMBI;1508;BUNGO;150816;JUJUHAN ILIR;1.023;244;179;11;500;21;404
;15;JAMBI;1508;BUNGO;150807;LIMBUR LUBUK MENGKUANG;1.516;125;794;42;536;20;638
;15;JAMBI;1508;BUNGO;150808;MUKO-MUKO BATHIN VII;1.919;532;983;32;591;59;966
