NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;produktivitas;satuan;tahun
1;15;JAMBI;1504;KAKAO;767;KG/HA;2022
2;15;JAMBI;1505;KAKAO;653;KG/HA;2022
3;15;JAMBI;1508;KAKAO;950;KG/HA;2022
4;15;JAMBI;1509;KAKAO;501;KG/HA;2022
5;15;JAMBI;1502;KAKAO;656;KG/HA;2022
6;15;JAMBI;1503;KAKAO;0;KG/HA;2022
7;15;JAMBI;1506;KAKAO;116;KG/HA;2022
8;15;JAMBI;1507;KAKAO;747;KG/HA;2022
9;15;JAMBI;1501;KAKAO;398;KG/HA;2022
10;15;JAMBI;1572;KAKAO;408;KG/HA;2022
11;15;JAMBI;1504;KAKAO;633;KG/HA;2023
12;15;JAMBI;1505;KAKAO;581;KG/HA;2023
13;15;JAMBI;1508;KAKAO;950;KG/HA;2023
14;15;JAMBI;1509;KAKAO;491;KG/HA;2023
15;15;JAMBI;1502;KAKAO;596;KG/HA;2023
16;15;JAMBI;1503;KAKAO;0;KG/HA;2023
17;15;JAMBI;1506;KAKAO;116;KG/HA;2023
18;15;JAMBI;1507;KAKAO;747;KG/HA;2023
19;15;JAMBI;1501;KAKAO;398;KG/HA;2023
20;15;JAMBI;1572;KAKAO;408;KG/HA;2023
