NO;kode_provinsi;nama_provinsi;kode_kabupaten;nama_kabupaten;komoditi;produktivitas;satuan;tahun
1;15;JAMBI;1509;TEBO;NILAM;528;KG/HA;2022
2;15;JAMBI;1502;MERANGIN;NILAM;168;KG/HA;2022
3;15;JAMBI;1503;SAROLANGUN;NILAM;221;KG/HA;2022
