NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;jumlah_keluarga_risiko_stunting;peringkat_kesejahteraan_1;peringkat_kesejahteraan_2;peringkat_kesejahteraan_3;peringkat_kesejahteraan_4;peringkat_kesejahteraan_>4;peringkat_kesejahteraan_belum_diketahui
;15;JAMBI;1504;BATANGHARI;150408;MARO SEBO ILIR;650;58;98;94;74;197;129
;15;JAMBI;1504;BATANGHARI;150406;MARO SEBO ULU;3.119;839;646;523;281;702;128
;15;JAMBI;1504;BATANGHARI;150401;MERSAM;1.008;121;182;192;125;382;6
;15;JAMBI;1504;BATANGHARI;150403;MUARA BULIAN;3.677;436;527;579;439;1.574;122
;15;JAMBI;1504;BATANGHARI;150402;MUARA TEMBESI;1.515;257;323;227;183;451;74
;15;JAMBI;1504;BATANGHARI;150405;PEMAYUNG;1.628;352;337;311;192;399;37
;15;JAMBI;1505;MUARO JAMBI;150510;BAHAR SELATAN;825;98;133;93;114;381;6
;15;JAMBI;1505;MUARO JAMBI;150509;BAHAR UTARA;555;63;101;61;100;202;28
;15;JAMBI;1505;MUARO JAMBI;150501;JAMBI LUAR KOTA;3.451;243;420;369;407;1.819;193
;15;JAMBI;1505;MUARO JAMBI;150503;KUMPEH;2.250;176;336;241;268;1.177;52
;15;JAMBI;1505;MUARO JAMBI;150506;KUMPEH ULU;3.463;201;444;376;505;1.937;0
;15;JAMBI;1505;MUARO JAMBI;150504;MARO SEBO;1.258;201;303;187;163;350;54
;15;JAMBI;1505;MUARO JAMBI;150505;MESTONG;2.314;311;418;284;349;879;73
;15;JAMBI;1505;MUARO JAMBI;150502;SEKERNAN;2.642;278;417;347;358;1.220;22
;15;JAMBI;1505;MUARO JAMBI;150507;SUNGAI BAHAR;768;33;106;101;102;337;89
;15;JAMBI;1505;MUARO JAMBI;150508;SUNGAI GELAM;3.177;169;431;336;402;1.732;107
;15;JAMBI;1505;MUARO JAMBI;150511;TAMAN RAJO;788;88;118;89;112;344;37
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150607;BATANG ASAM;2.125;228;255;245;310;968;119
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150604;BETARA;3.218;433;679;562;603;874;67
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150611;BRAM ITAM;2.716;530;580;450;372;607;177
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150612;KUALA BETARA;2.378;498;534;475;427;299;145
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150605;MERLUNG;411;53;37;58;52;190;21
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150609;MUARA PAPALIK;241;9;31;25;47;121;8
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150603;PENGABUAN;4.277;1.017;1.058;847;611;690;54
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150608;RENAH MENDALUH;1.171;163;174;171;197;466;0
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150610;SEBERANG KOTA;1.231;336;324;240;135;112;84
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150613;SENYERANG;4.413;878;1.198;974;615;537;211
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150606;TEBING TINGGI;2.890;195;287;351;374;1.288;395
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150602;TUNGKAL ILIR;5.584;1.101;991;872;778;1.622;220
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150601;TUNGKAL ULU;480;48;60;78;81;210;3
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150711;BERBAK;581;148;71;96;91;162;13
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150706;DENDANG;1.371;269;169;208;212;491;22
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150710;GERAGAI;1.522;158;126;198;203;779;58
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150708;KUALA JAMBI;1.858;386;248;249;326;582;67
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150703;MENDAHARA;4.131;812;655;756;724;1.184;0
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150709;MENDAHARA ULU;1.848;457;265;229;229;382;286
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150707;MUARA SABAK BARAT;1.071;95;93;101;132;601;49
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150701;MUARA SABAK TIMUR;3.247;312;288;336;425;1.744;142
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150702;NIPAH PANJANG;3.082;555;429;454;447;939;258
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150704;RANTAU RASAU;1.349;232;188;194;226;464;45
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150705;S A D U;1.341;203;155;139;178;628;38
;15;JAMBI;1508;BUNGO;150815;BATHIN II PELAYANG;407;62;59;66;47;112;61
;15;JAMBI;1508;BUNGO;150811;BATHIN III;1.122;94;110;134;155;596;33
;15;JAMBI;1508;BUNGO;150814;BATHIN III ULU;974;290;238;162;107;174;3
;15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;689;48;107;100;112;316;6
;15;JAMBI;1508;BUNGO;150812;BUNGO DANI;1.218;69;88;108;111;597;245
;15;JAMBI;1508;BUNGO;150804;JUJUHAN;643;57;90;131;106;256;3
