NO;kode_provinsi;kode_kabupaten_kota;jenis_laporan;jenis_penanganan;jumlah_ampk_yang_terlayani;jumlah;total_capaian
93;15;1507;PENELANTARAN;PENDAMPINGAN BANTUAN HUKUM;7;7;100
94;15;1507;PENELANTARAN;PSIKOLOG;7;7;100
95;15;1507;PENELANTARAN;VISUM;7;7;100
96;15;1507;PENELANTARAN;RUMAH AMAN;7;7;100
97;15;1506;SEKSUAL;PENDAMPINGAN BANTUAN HUKUM;13;13;100
98;15;1506;SEKSUAL;PSIKOLOG;13;13;100
99;15;1506;SEKSUAL;VISUM;13;13;100
100;15;1506;SEKSUAL;RUMAH AMAN;13;13;100
101;15;1506;FISIK;PENDAMPINGAN BANTUAN HUKUM;13;13;100
102;15;1506;FISIK;PSIKOLOG;13;13;100
103;15;1506;FISIK;VISUM;13;13;100
104;15;1506;FISIK;RUMAH AMAN;13;13;100
105;15;1506;KENAKALAN REMAJA ABK;PENDAMPINGAN BANTUAN HUKUM;13;13;100
106;15;1506;KENAKALAN REMAJA ABK;PSIKOLOG;13;13;100
107;15;1506;KENAKALAN REMAJA ABK;VISUM;13;13;100
108;15;1506;KENAKALAN REMAJA ABK;RUMAH AMAN;13;13;100
109;15;1506;PENELANTARAN;PENDAMPINGAN BANTUAN HUKUM;13;13;100
110;15;1506;PENELANTARAN;PSIKOLOG;13;13;100
111;15;1506;PENELANTARAN;VISUM;13;13;100
112;15;1506;PENELANTARAN;RUMAH AMAN;13;13;100
113;15;1509;SEKSUAL;PENDAMPINGAN BANTUAN HUKUM;9;9;100
114;15;1509;SEKSUAL;PSIKOLOG;9;9;100
115;15;1509;SEKSUAL;VISUM;9;9;100
116;15;1509;SEKSUAL;RUMAH AMAN;9;9;100
117;15;1509;FISIK;PENDAMPINGAN BANTUAN HUKUM;9;9;100
118;15;1509;FISIK;PSIKOLOG;9;9;100
119;15;1509;FISIK;VISUM;9;9;100
120;15;1509;FISIK;RUMAH AMAN;9;9;100
121;15;1509;KENAKALAN REMAJA ABK;PENDAMPINGAN BANTUAN HUKUM;9;9;100
122;15;1509;KENAKALAN REMAJA ABK;PSIKOLOG;9;9;100
123;15;1509;KENAKALAN REMAJA ABK;VISUM;9;9;100
124;15;1509;KENAKALAN REMAJA ABK;RUMAH AMAN;9;9;100
125;15;1509;PENELANTARAN;PENDAMPINGAN BANTUAN HUKUM;9;9;100
126;15;1509;PENELANTARAN;PSIKOLOG;9;9;100
127;15;1509;PENELANTARAN;VISUM;9;9;100
128;15;1509;PENELANTARAN;RUMAH AMAN;9;9;100
129;15;1508;SEKSUAL;PENDAMPINGAN BANTUAN HUKUM;6;6;100
130;15;1508;SEKSUAL;PSIKOLOG;6;6;100
131;15;1508;SEKSUAL;VISUM;6;6;100
132;15;1508;SEKSUAL;RUMAH AMAN;6;6;100
;15;1508;FISIK;PENDAMPINGAN BANTUAN HUKUM;6;6;100
;15;1508;FISIK;PSIKOLOG;6;6;100
;15;1508;FISIK;VISUM;6;6;100
;15;1508;FISIK;RUMAH AMAN;6;6;100
;15;1508;KENAKALAN REMAJA ABK;PENDAMPINGAN BANTUAN HUKUM;6;6;100
;15;1508;KENAKALAN REMAJA ABK;PSIKOLOG;6;6;100
;15;1508;KENAKALAN REMAJA ABK;VISUM;6;6;100
;15;1508;KENAKALAN REMAJA ABK;RUMAH AMAN;6;6;100
;15;1508;PENELANTARAN;PENDAMPINGAN BANTUAN HUKUM;6;6;100
;15;1508;PENELANTARAN;PSIKOLOG;6;6;100
;15;1508;PENELANTARAN;VISUM;6;6;100
;15;1508;PENELANTARAN;RUMAH AMAN;6;6;100
;15;1571;SEKSUAL;PENDAMPINGAN BANTUAN HUKUM;4;4;100
;15;1571;SEKSUAL;PSIKOLOG;4;4;100
;15;1571;SEKSUAL;VISUM;4;4;100
;15;1571;SEKSUAL;RUMAH AMAN;4;4;100
;15;1571;FISIK;PENDAMPINGAN BANTUAN HUKUM;4;4;100
;15;1571;FISIK;PSIKOLOG;4;4;100
;15;1571;FISIK;VISUM;4;4;100
;15;1571;FISIK;RUMAH AMAN;4;4;100
;15;1571;KENAKALAN REMAJA ABK;PENDAMPINGAN BANTUAN HUKUM;4;4;100
;15;1571;KENAKALAN REMAJA ABK;PSIKOLOG;4;4;100
;15;1571;KENAKALAN REMAJA ABK;VISUM;4;4;100
;15;1571;KENAKALAN REMAJA ABK;RUMAH AMAN;4;4;100
;15;1571;PENELANTARAN;PENDAMPINGAN BANTUAN HUKUM;4;4;100
;15;1571;PENELANTARAN;PSIKOLOG;4;4;100
;15;1571;PENELANTARAN;VISUM;4;4;100
;15;1571;PENELANTARAN;RUMAH AMAN;4;4;100
;15;1572;SEKSUAL;PENDAMPINGAN BANTUAN HUKUM;7;7;100
;15;1572;SEKSUAL;PSIKOLOG;7;7;100
;15;1572;SEKSUAL;VISUM;7;7;100
;15;1572;SEKSUAL;RUMAH AMAN;7;7;100
;15;1572;FISIK;PENDAMPINGAN BANTUAN HUKUM;7;7;100
;15;1572;FISIK;PSIKOLOG;7;7;100
;15;1572;FISIK;VISUM;7;7;100
;15;1572;FISIK;RUMAH AMAN;7;7;100
;15;1572;KENAKALAN REMAJA ABK;PENDAMPINGAN BANTUAN HUKUM;7;7;100
;15;1572;KENAKALAN REMAJA ABK;PSIKOLOG;7;7;100
;15;1572;KENAKALAN REMAJA ABK;VISUM;7;7;100
;15;1572;KENAKALAN REMAJA ABK;RUMAH AMAN;7;7;100
;15;1572;PENELANTARAN;PENDAMPINGAN BANTUAN HUKUM;7;7;100
;15;1572;PENELANTARAN;PSIKOLOG;7;7;100
;15;1572;PENELANTARAN;VISUM;7;7;100
;15;1572;PENELANTARAN;RUMAH AMAN;7;7;100
