no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;nama_usaha;jenis;fasilitas
79;15;JAMBI;1571;157103;Karaoke Tiara;KARAOKE;1,3,4,5
80;15;JAMBI;1571;157104;Pub Golden Palace;BAR;1,3,4,5
81;15;JAMBI;1571;157104;Pub Dan Bar Euphoria;BAR;1,3,4,5
82;15;JAMBI;1571;157108;Pub Omnia Lounge / PT.Harisman Sentosa;BAR;1,3,4,5
83;15;JAMBI;1571;157104;Pub Dua D;BAR;1,3,4,5
84;15;JAMBI;1571;157111;Pub Regent;BAR;1,3,4,5
85;15;JAMBI;1571;157104;Pub V.S.O.P / PT. Kuning Jaya Bersama;BAR;1,3,4,5
86;15;JAMBI;1571;157108;Nirwana Pub;BAR;1,3,4,5
87;15;JAMBI;1571;157107;Fitnes Factory;PUSAT KEBUGARAN;1,3,4,5
88;15;JAMBI;1571;157107;Fitnes Cahaya Prima;PUSAT KEBUGARAN;1,3,4,5
89;15;JAMBI;1571;157108;Vinz Gym;PUSAT KEBUGARAN;1,3,4,5
90;15;JAMBI;1571;157107;Fitness Executive;PUSAT KEBUGARAN;1,3,4,5
91;15;JAMBI;1571;157110;Fitness World Club;PUSAT KEBUGARAN;1,3,4,5
92;15;JAMBI;1571;157109;Fitness Monster Power Gym;PUSAT KEBUGARAN;1,3,4,5
93;15;JAMBI;1571;157103;Fitness Rebound Gym;PUSAT KEBUGARAN;1,3,4,5
94;15;JAMBI;1571;157109;Robust Fitness Center;PUSAT KEBUGARAN;1,3,4,5
95;15;JAMBI;1571;157104;Fitness Gym Evolve / PT. Jasmani Sehat Prima;PUSAT KEBUGARAN;1,3,4,5
96;15;JAMBI;1571;157109;Fitness Spartans;PUSAT KEBUGARAN;1,3,4,5
97;15;JAMBI;1571;157107;Fitness Alpama;PUSAT KEBUGARAN;1,3,4,5
98;15;JAMBI;1571;157111;Fitnes Ab 8 Gym;PUSAT KEBUGARAN;1,3,4,5
99;15;JAMBI;1571;157102;Anen Fitness Jambi;PUSAT KEBUGARAN;1,3,4,5
100;15;JAMBI;1502;150206;Kolam Pemancingan Bungo Tanjung;PEMANCINGAN;1,3
101;15;JAMBI;1502;150206;Planet Family Karaoke;KARAOKE;1,3,4
102;15;JAMBI;1502;150206;Pemancingan Umum;PEMANCINGAN;1,3
103;15;JAMBI;1502;150202;Karaoke Raden;KARAOKE;1,3,4
104;15;JAMBI;1502;150202;Karaoke Keluarga;KARAOKE;1,3,4
