NO;kode_provinsi;kode_kabupaten_kota;kategori;uraian;jumlah;satuan;tahun
88;15;1508;TERNAK UNGGAS;ITIK MANILA;0;KG;2020
89;15;1509;TERNAK BESAR;SAPI;899.529,00;KG;2020
90;15;1509;TERNAK BESAR;KERBAU;379.461,00;KG;2020
91;15;1509;TERNAK BESAR;KUDA;0;KG;2020
92;15;1509;TERNAK KECIL;KAMBING;83.386,00;KG;2020
93;15;1509;TERNAK KECIL;DOMBA;27.904,00;KG;2020
94;15;1509;TERNAK KECIL;BABI;7.077,00;KG;2020
95;15;1509;TERNAK UNGGAS;AYAM KAMPUNG;476.376,00;KG;2020
96;15;1509;TERNAK UNGGAS;AYAM PETELUR;13.036,00;KG;2020
97;15;1509;TERNAK UNGGAS;AYAM PEDAGING;19.246.154,00;KG;2020
98;15;1509;TERNAK UNGGAS;ITIK;45.550,00;KG;2020
99;15;1509;TERNAK UNGGAS;ITIK MANILA;0;KG;2020
100;15;1571;TERNAK BESAR;SAPI;254.387,00;KG;2020
101;15;1571;TERNAK BESAR;KERBAU;221.914,00;KG;2020
102;15;1571;TERNAK BESAR;KUDA;0;KG;2020
103;15;1571;TERNAK KECIL;KAMBING;192.486,00;KG;2020
104;15;1571;TERNAK KECIL;DOMBA;15.422,00;KG;2020
105;15;1571;TERNAK KECIL;BABI;129.480,00;KG;2020
106;15;1571;TERNAK UNGGAS;AYAM KAMPUNG;49.731,00;KG;2020
107;15;1571;TERNAK UNGGAS;AYAM PETELUR;23.394,00;KG;2020
108;15;1571;TERNAK UNGGAS;AYAM PEDAGING;2.783.960,00;KG;2020
109;15;1571;TERNAK UNGGAS;ITIK;4.509,00;KG;2020
110;15;1571;TERNAK UNGGAS;ITIK MANILA;0;KG;2020
111;15;1572;TERNAK BESAR;SAPI;292.493,00;KG;2020
112;15;1572;TERNAK BESAR;KERBAU;19.876,00;KG;2020
113;15;1572;TERNAK BESAR;KUDA;147;KG;2020
114;15;1572;TERNAK KECIL;KAMBING;45.669,00;KG;2020
115;15;1572;TERNAK KECIL;DOMBA;4.561,00;KG;2020
116;15;1572;TERNAK KECIL;BABI;0;KG;2020
117;15;1572;TERNAK UNGGAS;AYAM KAMPUNG;111.965,00;KG;2020
118;15;1572;TERNAK UNGGAS;AYAM PETELUR;245.168,00;KG;2020
119;15;1572;TERNAK UNGGAS;AYAM PEDAGING;837.282,00;KG;2020
120;15;1572;TERNAK UNGGAS;ITIK;128.196,00;KG;2020
121;15;1572;TERNAK UNGGAS;ITIK MANILA;0;KG;2020
122;15;1501;TERNAK BESAR;SAPI;309.960,00;KG;2021
123;15;1501;TERNAK BESAR;KERBAU;109.405,00;KG;2021
124;15;1501;TERNAK BESAR;KUDA;0;KG;2021
125;15;1501;TERNAK KECIL;KAMBING;23.464,00;KG;2021
