NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;jumlah_petani;satuan;tahun
1;15;JAMBI;1502;KOPI ARABICA;18;KEPALA KELUARGA;2022
2;15;JAMBI;1501;KOPI ARABICA;2867;KEPALA KELUARGA;2022
3;15;JAMBI;1572;KOPI ARABICA;1589;KEPALA KELUARGA;2022
4;15;JAMBI;1502;KOPI ARABICA;16;KEPALA KELUARGA;2023
5;15;JAMBI;1501;KOPI ARABICA;2897;KEPALA KELUARGA;2023
6;15;JAMBI;1572;KOPI ARABICA;1409;KEPALA KELUARGA;2023
