id;kode_provinsi;nama_provinsi;tahun_ajaran;bentuk_pendidikan;jumlah
1;15;JAMBI;2023/2024 GENAP;TK;49.651
2;15;JAMBI;2023/2024 GENAP;KB;50.751
3;15;JAMBI;2023/2024 GENAP;TPA;1.389
4;15;JAMBI;2023/2024 GENAP;SPS;5.688
5;15;JAMBI;2023/2024 GENAP;PKBM;22.378
6;15;JAMBI;2023/2024 GENAP;SKB;1.580
7;15;JAMBI;2023/2024 GENAP;SD;367.800
8;15;JAMBI;2023/2024 GENAP;SMP;119.446
9;15;JAMBI;2023/2024 GENAP;SMA;80.904
10;15;JAMBI;2023/2024 GENAP;SMK;48.375
11;15;JAMBI;2023/2024 GENAP;SLB;2.374
12;15;JAMBI;2023/2024 GANJIL;TK;51.392
13;15;JAMBI;2023/2024 GANJIL;KB;58.116
14;15;JAMBI;2023/2024 GANJIL;TPA;1.494
15;15;JAMBI;2023/2024 GANJIL;SPS;6.447
16;15;JAMBI;2023/2024 GANJIL;PKBM;21.966
17;15;JAMBI;2023/2024 GANJIL;SKB;1.596
18;15;JAMBI;2023/2024 GANJIL;SD;368.349
19;15;JAMBI;2023/2024 GANJIL;SMP;119.711
20;15;JAMBI;2023/2024 GANJIL;SMA;81.412
21;15;JAMBI;2023/2024 GANJIL;SMK;49.002
22;15;JAMBI;2023/2024 GANJIL;SLB;2.367
23;15;JAMBI;2022/2023 GENAP;SD;369.348
24;15;JAMBI;2022/2023 GENAP;SMP;119.424
25;15;JAMBI;2022/2023 GENAP;SMA;78.598
26;15;JAMBI;2022/2023 GENAP;SMK;49.903
27;15;JAMBI;2022/2023 GENAP;TK;50.103
28;15;JAMBI;2022/2023 GENAP;KB;55.907
29;15;JAMBI;2022/2023 GENAP;PKBM;24.543
30;15;JAMBI;2022/2023 GENAP;SLB;2.184
31;15;JAMBI;2022/2023 GENAP;SPS;5.490
32;15;JAMBI;2022/2023 GENAP;TPA;1.335
33;15;JAMBI;2022/2023 GENAP;SKB;1.725
34;15;JAMBI;2022/2023 GANJIL;SD;137.757
35;15;JAMBI;2022/2023 GANJIL;SMP;84.840
36;15;JAMBI;2022/2023 GANJIL;SMA;59.392
37;15;JAMBI;2022/2023 GANJIL;SMK;39.722
38;15;JAMBI;2022/2023 GANJIL;TK;50.338
39;15;JAMBI;2022/2023 GANJIL;KB;57.560
40;15;JAMBI;2022/2023 GANJIL;PKBM;24.893
41;15;JAMBI;2022/2023 GANJIL;SLB;2.193
42;15;JAMBI;2022/2023 GANJIL;SPS;5.860
43;15;JAMBI;2022/2023 GANJIL;TPA;1.345
44;15;JAMBI;2022/2023 GANJIL;SKB;1.742
45;15;JAMBI;2021/2022 GENAP;SD;136.700
46;15;JAMBI;2021/2022 GENAP;SMP;83.673
47;15;JAMBI;2021/2022 GENAP;SMA;59.553
48;15;JAMBI;2021/2022 GENAP;SMK;40.217
49;15;JAMBI;2021/2022 GENAP;TK;47.068
50;15;JAMBI;2021/2022 GENAP;KB;55.730
51;15;JAMBI;2021/2022 GENAP;PKBM;26.961
52;15;JAMBI;2021/2022 GENAP;SLB;2.052
