id;kode_provinsi;nama_provinsi;tenaga_kesehatan;jumlah
1;15;JAMBI;TENAGA PERAWAT;108
2;15;JAMBI;TENAGA KESMAS;88
3;15;JAMBI;TENAGA BIDAN;81
4;15;JAMBI;TENAGA GIZI;48
5;15;JAMBI;TENAGA TEKNIK BIOMEDIKA;44
6;15;JAMBI;TENAGA FARMASI;40
7;15;JAMBI;TENAGA KESLING;29
8;15;JAMBI;TENAGA KETEKNISIAN MEDIS;2
9;15;JAMBI;KETERAPIAN FISIK;0
