id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;produksi;satuan;tahun
;15;JAMBI;1509;KOPI ROBUSTA;46;TON;2022
;15;JAMBI;1509;KOPI ARABIKA;0;TON;2022
;15;JAMBI;1509;CASSIAVERA;0;TON;2022
;15;JAMBI;1509;KAKAO;72;TON;2022
;15;JAMBI;1509;PINANG;40;TON;2022
;15;JAMBI;1509;KOPI LIBERIKA;0;TON;2022
;15;JAMBI;1571;KARET;0;TON;2022
;15;JAMBI;1571;KELAPA SAWIT;0;TON;2022
;15;JAMBI;1571;KELAPA DALAM;0;TON;2022
;15;JAMBI;1571;KOPI ROBUSTA;0;TON;2022
;15;JAMBI;1571;KOPI ARABIKA;0;TON;2022
;15;JAMBI;1571;CASSIAVERA;0;TON;2022
;15;JAMBI;1571;KAKAO;0;TON;2022
;15;JAMBI;1571;PINANG;0;TON;2022
;15;JAMBI;1571;KOPI LIBERIKA;0;TON;2022
;15;JAMBI;1572;KARET;0;TON;2022
;15;JAMBI;1572;KELAPA SAWIT;0;TON;2022
;15;JAMBI;1572;KELAPA DALAM;3;TON;2022
;15;JAMBI;1572;KOPI ROBUSTA;113;TON;2022
;15;JAMBI;1572;KOPI ARABIKA;102;TON;2022
;15;JAMBI;1572;CASSIAVERA;171;TON;2022
;15;JAMBI;1572;KAKAO;40;TON;2022
;15;JAMBI;1572;PINANG;21;TON;2022
;15;JAMBI;1572;KOPI LIBERIKA;0;TON;2022
;15;JAMBI;1501;KARET;546;TON;2023
;15;JAMBI;1501;KELAPA SAWIT;32;TON;2023
;15;JAMBI;1501;KELAPA DALAM;12;TON;2023
;15;JAMBI;1501;KOPI ROBUSTA;4447;TON;2023
;15;JAMBI;1501;KOPI ARABIKA;1038;TON;2023
;15;JAMBI;1501;CASSIAVERA;26609;TON;2023
;15;JAMBI;1501;KAKAO;53;TON;2023
;15;JAMBI;1501;PINANG;32;TON;2023
;15;JAMBI;1501;KOPI LIBERIKA;0;TON;2023
;15;JAMBI;1502;KARET;77961;TON;2023
;15;JAMBI;1502;KELAPA SAWIT;183133;TON;2023
;15;JAMBI;1502;KELAPA DALAM;746;TON;2023
;15;JAMBI;1502;KOPI ROBUSTA;10126;TON;2023
;15;JAMBI;1502;KOPI ARABIKA;11;TON;2023
;15;JAMBI;1502;CASSIAVERA;3554;TON;2023
;15;JAMBI;1502;KAKAO;59;TON;2023
;15;JAMBI;1502;PINANG;49;TON;2023
;15;JAMBI;1502;KOPI LIBERIKA;0;TON;2023
;15;JAMBI;1503;KARET;56721;TON;2023
;15;JAMBI;1503;KELAPA SAWIT;106230;TON;2023
;15;JAMBI;1503;KELAPA DALAM;195;TON;2023
;15;JAMBI;1503;KOPI ROBUSTA;628;TON;2023
;15;JAMBI;1503;KOPI ARABIKA;0;TON;2023
;15;JAMBI;1503;CASSIAVERA;59;TON;2023
;15;JAMBI;1503;KAKAO;8;TON;2023
;15;JAMBI;1503;PINANG;21;TON;2023
;15;JAMBI;1503;KOPI LIBERIKA;0;TON;2023
;15;JAMBI;1504;KARET;61208;TON;2023
;15;JAMBI;1504;KELAPA SAWIT;329228;TON;2023
;15;JAMBI;1504;KELAPA DALAM;302;TON;2023
;15;JAMBI;1504;KOPI ROBUSTA;0;TON;2023
;15;JAMBI;1504;KOPI ARABIKA;0;TON;2023
;15;JAMBI;1504;CASSIAVERA;0;TON;2023
;15;JAMBI;1504;KAKAO;19;TON;2023
;15;JAMBI;1504;PINANG;17;TON;2023
;15;JAMBI;1504;KOPI LIBERIKA;0;TON;2023
;15;JAMBI;1505;KARET;24516;TON;2023
;15;JAMBI;1505;KELAPA SAWIT;233551;TON;2023
;15;JAMBI;1505;KELAPA DALAM;579;TON;2023
;15;JAMBI;1505;KOPI ROBUSTA;27;TON;2023
;15;JAMBI;1505;KOPI ARABIKA;0;TON;2023
;15;JAMBI;1505;CASSIAVERA;0;TON;2023
;15;JAMBI;1505;KAKAO;151;TON;2023
;15;JAMBI;1505;PINANG;32;TON;2023
;15;JAMBI;1505;KOPI LIBERIKA;0;TON;2023
;15;JAMBI;1506;KARET;3028;TON;2023
;15;JAMBI;1506;KELAPA SAWIT;152563;TON;2023
;15;JAMBI;1506;KELAPA DALAM;54265;TON;2023
;15;JAMBI;1506;KOPI ROBUSTA;0;TON;2023
;15;JAMBI;1506;KOPI ARABIKA;0;TON;2023
;15;JAMBI;1506;CASSIAVERA;0;TON;2023
;15;JAMBI;1506;KAKAO;21;TON;2023
;15;JAMBI;1506;PINANG;13933;TON;2023
;15;JAMBI;1506;KOPI LIBERIKA;1140;TON;2023
;15;JAMBI;1507;KARET;2515;TON;2023
;15;JAMBI;1507;KELAPA SAWIT;76378;TON;2023
