 ;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_kelurahan_desa;nama_perusahaan;nama_pemilik;badan_usaha;kbli_2020;jenis_industri;kategori_industri;jenis_produk;jumlah_produksi;satuan;status;tahun
33;15;JAMBI;1502;150201;1502012010;SAMANI;SAMANI;PO;10722;INDUSTRI GULA MERAH;INDUSTRI MAKANAN;GULA AREN;2400;BUAH;AKTIF;2023
34;15;JAMBI;1502;150201;1502012010;MERDI;MERDI;PO;10722;INDUSTRI GULA MERAH;INDUSTRI MAKANAN;GULA AREN;2160;BUAH;AKTIF;2023
35;15;JAMBI;1502;150201;1502012010;SURDIAN;SURDIAN;PO;10722;INDUSTRI GULA MERAH;INDUSTRI MAKANAN;GULA AREN;2400;BUAH;AKTIF;2023
36;15;JAMBI;1502;150201;1502012010;ARMI;ARMI;PO;10722;INDUSTRI GULA MERAH;INDUSTRI MAKANAN;GULA AREN;2160;BUAH;AKTIF;2023
37;15;JAMBI;1502;150201;1502012010;SARMAN;SARMAN;PO;10722;INDUSTRI GULA MERAH;INDUSTRI MAKANAN;GULA AREN;1920;BUAH;AKTIF;2023
38;15;JAMBI;1502;150201;1502012011;GULA AREN KASRION;KASRION;PO;10722;INDUSTRI GULA MERAH;INDUSTRI MAKANAN;GULA AREN;2400; BUAH ;AKTIF;2023
39;15;JAMBI;1502;150201;1502012011;GULA AREN;SAKIM;PO;10722;INDUSTRI GULA MERAH;INDUSTRI MAKANAN;GULA AREN;2400; BUAH ;AKTIF;2023
40;15;JAMBI;1502;150201;1502012011;GULA AREN;AHMAD;PO;10722;INDUSTRI GULA MERAH;INDUSTRI MAKANAN;GULA AREN;2400; BUAH ;AKTIF;2023
41;15;JAMBI;1502;150201;1502012011;GULA AREN;SARNI;PO;10722;INDUSTRI GULA MERAH;INDUSTRI MAKANAN;GULA AREN;2400; BUAH ;AKTIF;2023
42;15;JAMBI;1502;150201;1502012010;GULA AREN;SIAM;PO;10722;INDUSTRI GULA MERAH;INDUSTRI MAKANAN;GULA AREN;2400; BUAH ;AKTIF;2023
43;15;JAMBI;1502;150201;1502012010;GULA AREN;YAHYA;PO;10722;INDUSTRI GULA MERAH;INDUSTRI MAKANAN;GULA AREN;2400; BUAH ;AKTIF;2023
44;15;JAMBI;1502;150201;1502012010;GULA AREN;JAMRIN;PO;10722;INDUSTRI GULA MERAH;INDUSTRI MAKANAN;GULA AREN;2400; BUAH ;AKTIF;2023
45;15;JAMBI;1502;150201;1502012010;GULA AREN;SURDIAN;PO;10722;INDUSTRI GULA MERAH;INDUSTRI MAKANAN;GULA AREN;2400; BUAH ;AKTIF;2023
46;15;JAMBI;1502;150205;1502051005;GULA AREN;AHMAD TAWIL;PO;10722;INDUSTRI GULA MERAH;INDUSTRI MAKANAN;GULA AREN;14400;BUAH;AKTIF;2023
47;15;JAMBI;1502;150205;1502051005;GULA AREN;BURHAN;PO;10722;INDUSTRI GULA MERAH;INDUSTRI MAKANAN;GULA AREN;9000;BUNGKUS;AKTIF;2023
48;15;JAMBI;1502;150205;1502051005;GULA AREN;SULAIMAN;PO;10722;INDUSTRI GULA MERAH;INDUSTRI MAKANAN;GULA AREN;14400;BUAH;AKTIF;2023
49;15;JAMBI;1502;150205;1502051005;GULA AREN;BASIR;PO;10722;INDUSTRI GULA MERAH;INDUSTRI MAKANAN;GULA AREN;9720;BUAH;AKTIF;2023
50;15;JAMBI;1502;150205;1503082004;GULA AREN;USMAN;PO;10722;INDUSTRI GULA MERAH;INDUSTRI MAKANAN;GULA AREN;625; CETAK ;AKTIF;2023
51;15;JAMBI;1502;150205;1503082004;GULA AREN;IDHOM;PO;10722;INDUSTRI GULA MERAH;INDUSTRI MAKANAN;GULA AREN;625; CETAK ;AKTIF;2023
52;15;JAMBI;1502;150205;1503082004;GULA AREN;MAHMUN;PO;10722;INDUSTRI GULA MERAH;INDUSTRI MAKANAN;GULA AREN;625; CETAK ;AKTIF;2023
53;15;JAMBI;1502;150202;1502021010;SUGIMAN;SUGIMAN;PO;10216;INDUSTRI BERBASIS DAGING LUMATAN DAN SURIMI;INDUSTRI MAKANAN;PENGGILINGAN DAGING;16200;KG;AKTIF;2023
54;15;JAMBI;1502;150202;1502021010;TIMBUL;NGATIMIN TIMBUL;PO;10216;INDUSTRI BERBASIS DAGING LUMATAN DAN SURIMI;INDUSTRI MAKANAN;PENGGILINGAN DAGING;7200;KG;AKTIF;2023
55;15;JAMBI;1502;150219;1502192001;SUWARNO;SUWARNO;PO;10216;INDUSTRI BERBASIS DAGING LUMATAN DAN SURIMI;INDUSTRI MAKANAN;PENGGILINGAN DAGING;3600;KG;AKTIF;2023
56;15;JAMBI;1502;150213;1502132004;BAKSO IKAN;KASDI;PO;10216;INDUSTRI BERBASIS DAGING LUMATAN DAN SURIMI;INDUSTRI MAKANAN;BAKSO IKAN;720;KG;AKTIF;2023
57;15;JAMBI;1502;150211;1502112006;USAHA BERSAMA;AMRI;PO;10216;INDUSTRI BERBASIS DAGING LUMATAN DAN SURIMI;INDUSTRI MAKANAN;NUGGET;140000; BUAH ;AKTIF;2023
58;15;JAMBI;1502;150208;1502082003;BAKSO BAKAR PAK EDI;EDI SUPRIYONO;PO;10216;INDUSTRI BERBASIS DAGING LUMATAN DAN SURIMI;INDUSTRI MAKANAN;BAKSO BAKAR;57600; BUAH ;AKTIF;2023
59;15;JAMBI;1502;150224;1502242002;MJC;MERANGI JENI CARNELA;PO;10216;INDUSTRI BERBASIS DAGING LUMATAN DAN SURIMI;INDUSTRI MAKANAN;BAKSO AYAM;3000;PAK;AKTIF;2023
60;15;JAMBI;1502;150202;1502021010;TAUFAN;TAUFAN;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;3000;KG;AKTIF;2023
61;15;JAMBI;1502;150202;1502021010;GUNUNG MASURAI;TATI;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;2500;KG;AKTIF;2023
