NO;kode_provinsi;nama_provinsi;komoditi;produktivitas;satuan_produktivitas;tahun
1;15;JAMBI;TEBU / Sugar Cane;5.715;KG/HEKTAR;2022
2;15;JAMBI;TEMBAKAU / Tobacco;582;KG/HEKTAR;2022
3;15;JAMBI;NILAM / Patchouli;187;KG/HEKTAR;2022
4;15;JAMBI;TEBU / Sugar Cane;5.584;KG/HEKTAR;2023
5;15;JAMBI;TEMBAKAU / Tobacco;623;KG/HEKTAR;2023
6;15;JAMBI;NILAM / Patchouli;166;KG/HEKTAR;2023
