NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;indikator;sub_indikator;nama_indikator;terget;capaian;periode
;15;JAMBI;1504;BATANGHARI;PILAR 5;PILAR 5A7;TERSELENGGARANYA PEMANTAUAN DAN EVALUASI PERCEPATAN PENURUNAN STUNTING DI PEMERINTAH DESA;100;100;SEMESTER I (2024)
;15;JAMBI;1505;MUARO JAMBI;PILAR 5;PILAR 5A7;TERSELENGGARANYA PEMANTAUAN DAN EVALUASI PERCEPATAN PENURUNAN STUNTING DI PEMERINTAH DESA;100;100;SEMESTER I (2024)
;15;JAMBI;1506;TANJUNG JABUNG BARAT;PILAR 5;PILAR 5A7;TERSELENGGARANYA PEMANTAUAN DAN EVALUASI PERCEPATAN PENURUNAN STUNTING DI PEMERINTAH DESA;100;100;SEMESTER I (2024)
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;PILAR 5;PILAR 5A7;TERSELENGGARANYA PEMANTAUAN DAN EVALUASI PERCEPATAN PENURUNAN STUNTING DI PEMERINTAH DESA;100;100;SEMESTER I (2024)
;15;JAMBI;1508;BUNGO;PILAR 5;PILAR 5A7;TERSELENGGARANYA PEMANTAUAN DAN EVALUASI PERCEPATAN PENURUNAN STUNTING DI PEMERINTAH DESA;100;100;SEMESTER I (2024)
;15;JAMBI;1509;TEBO;PILAR 5;PILAR 5A7;TERSELENGGARANYA PEMANTAUAN DAN EVALUASI PERCEPATAN PENURUNAN STUNTING DI PEMERINTAH DESA;100;100;SEMESTER I (2024)
;15;JAMBI;1571;KOTA JAMBI;PILAR 5;PILAR 5A7;TERSELENGGARANYA PEMANTAUAN DAN EVALUASI PERCEPATAN PENURUNAN STUNTING DI PEMERINTAH DESA;100;100;SEMESTER I (2024)
;15;JAMBI;1572;KOTA SUNGAI PENUH;PILAR 5;PILAR 5A7;TERSELENGGARANYA PEMANTAUAN DAN EVALUASI PERCEPATAN PENURUNAN STUNTING DI PEMERINTAH DESA;100;100;SEMESTER I (2024)
;15;JAMBI;1501;KERINCI;PILAR 3;PILAR 3B7;PERSENTASE UNMET NEED PELAYANAN KELUARGA BERENCANA;7,4;5,2;SEMESTER I (2024)
;15;JAMBI;1502;MERANGIN;PILAR 3;PILAR 3B7;PERSENTASE UNMET NEED PELAYANAN KELUARGA BERENCANA;7,4;4,8;SEMESTER I (2024)
;15;JAMBI;1503;SAROLANGUN;PILAR 3;PILAR 3B7;PERSENTASE UNMET NEED PELAYANAN KELUARGA BERENCANA;7,4;8;SEMESTER I (2024)
;15;JAMBI;1504;BATANGHARI;PILAR 3;PILAR 3B7;PERSENTASE UNMET NEED PELAYANAN KELUARGA BERENCANA;7,4;7,8;SEMESTER I (2024)
;15;JAMBI;1505;MUARO JAMBI;PILAR 3;PILAR 3B7;PERSENTASE UNMET NEED PELAYANAN KELUARGA BERENCANA;7,4;10,6;SEMESTER I (2024)
;15;JAMBI;1506;TANJUNG JABUNG BARAT;PILAR 3;PILAR 3B7;PERSENTASE UNMET NEED PELAYANAN KELUARGA BERENCANA;7,4;10,3;SEMESTER I (2024)
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;PILAR 3;PILAR 3B7;PERSENTASE UNMET NEED PELAYANAN KELUARGA BERENCANA;7,4;8,6;SEMESTER I (2024)
;15;JAMBI;1508;BUNGO;PILAR 3;PILAR 3B7;PERSENTASE UNMET NEED PELAYANAN KELUARGA BERENCANA;7,4;8;SEMESTER I (2024)
;15;JAMBI;1509;TEBO;PILAR 3;PILAR 3B7;PERSENTASE UNMET NEED PELAYANAN KELUARGA BERENCANA;7,4;6,5;SEMESTER I (2024)
;15;JAMBI;1571;KOTA JAMBI;PILAR 3;PILAR 3B7;PERSENTASE UNMET NEED PELAYANAN KELUARGA BERENCANA;7,4;9,2;SEMESTER I (2024)
;15;JAMBI;1572;KOTA SUNGAI PENUH;PILAR 3;PILAR 3B7;PERSENTASE UNMET NEED PELAYANAN KELUARGA BERENCANA;7,4;5,7;SEMESTER I (2024)
;15;JAMBI;1501;KERINCI;SENSITIF;SENSITIF2;PERSENTASE KEHAMILAN YANG TIDAK DIINGINKAN;15,5;-;SEMESTER I (2024)
;15;JAMBI;1502;MERANGIN;SENSITIF;SENSITIF2;PERSENTASE KEHAMILAN YANG TIDAK DIINGINKAN;15,5;-;SEMESTER I (2024)
;15;JAMBI;1503;SAROLANGUN;SENSITIF;SENSITIF2;PERSENTASE KEHAMILAN YANG TIDAK DIINGINKAN;15,5;11,6;SEMESTER I (2024)
;15;JAMBI;1504;BATANGHARI;SENSITIF;SENSITIF2;PERSENTASE KEHAMILAN YANG TIDAK DIINGINKAN;15,5;5,6;SEMESTER I (2024)
;15;JAMBI;1505;MUARO JAMBI;SENSITIF;SENSITIF2;PERSENTASE KEHAMILAN YANG TIDAK DIINGINKAN;15,5;10,5;SEMESTER I (2024)
;15;JAMBI;1506;TANJUNG JABUNG BARAT;SENSITIF;SENSITIF2;PERSENTASE KEHAMILAN YANG TIDAK DIINGINKAN;15,5;-;SEMESTER I (2024)
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;SENSITIF;SENSITIF2;PERSENTASE KEHAMILAN YANG TIDAK DIINGINKAN;15,5;-;SEMESTER I (2024)
;15;JAMBI;1508;BUNGO;SENSITIF;SENSITIF2;PERSENTASE KEHAMILAN YANG TIDAK DIINGINKAN;15,5;6,8;SEMESTER I (2024)
