kode_provinsi;nama_provinsi;kode_kabupaten;nama_kabupaten;kode_kecamatan;nama_kecamatan;data_pokok;tahun_ajaran;status;bidang_pendidikan;jumlah
15;JAMBI;1503;SAROLANGUN;150307;AIR HITAM;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMA;1
15;JAMBI;1503;SAROLANGUN;150307;AIR HITAM;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMK;2
15;JAMBI;1503;SAROLANGUN;150307;AIR HITAM;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SLB;0
15;JAMBI;1571;KOTA JAMBI;157109;ALAM BARAJO;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TK;0
15;JAMBI;1571;KOTA JAMBI;157109;ALAM BARAJO;DATA SEKOLAH;2022/2023 GENAP;NEGERI;KB;0
15;JAMBI;1571;KOTA JAMBI;157109;ALAM BARAJO;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TPA;0
15;JAMBI;1571;KOTA JAMBI;157109;ALAM BARAJO;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SPS;0
15;JAMBI;1571;KOTA JAMBI;157109;ALAM BARAJO;DATA SEKOLAH;2022/2023 GENAP;NEGERI;PKBM;0
15;JAMBI;1571;KOTA JAMBI;157109;ALAM BARAJO;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SKB;0
15;JAMBI;1571;KOTA JAMBI;157109;ALAM BARAJO;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SD;16
15;JAMBI;1571;KOTA JAMBI;157109;ALAM BARAJO;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMP;2
15;JAMBI;1571;KOTA JAMBI;157109;ALAM BARAJO;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMA;3
15;JAMBI;1571;KOTA JAMBI;157109;ALAM BARAJO;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMK;1
15;JAMBI;1571;KOTA JAMBI;157109;ALAM BARAJO;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SLB;0
15;JAMBI;1505;MUARO JAMBI;150510;BAHAR SELATAN;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TK;1
15;JAMBI;1505;MUARO JAMBI;150510;BAHAR SELATAN;DATA SEKOLAH;2022/2023 GENAP;NEGERI;KB;0
15;JAMBI;1505;MUARO JAMBI;150510;BAHAR SELATAN;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TPA;0
15;JAMBI;1505;MUARO JAMBI;150510;BAHAR SELATAN;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SPS;0
15;JAMBI;1505;MUARO JAMBI;150510;BAHAR SELATAN;DATA SEKOLAH;2022/2023 GENAP;NEGERI;PKBM;0
15;JAMBI;1505;MUARO JAMBI;150510;BAHAR SELATAN;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SKB;0
15;JAMBI;1505;MUARO JAMBI;150510;BAHAR SELATAN;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SD;15
15;JAMBI;1505;MUARO JAMBI;150510;BAHAR SELATAN;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMP;5
15;JAMBI;1505;MUARO JAMBI;150510;BAHAR SELATAN;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMA;1
15;JAMBI;1505;MUARO JAMBI;150510;BAHAR SELATAN;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMK;0
15;JAMBI;1505;MUARO JAMBI;150510;BAHAR SELATAN;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SLB;0
15;JAMBI;1505;MUARO JAMBI;150509;BAHAR UTARA;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TK;1
15;JAMBI;1505;MUARO JAMBI;150509;BAHAR UTARA;DATA SEKOLAH;2022/2023 GENAP;NEGERI;KB;0
15;JAMBI;1505;MUARO JAMBI;150509;BAHAR UTARA;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TPA;0
15;JAMBI;1505;MUARO JAMBI;150509;BAHAR UTARA;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SPS;0
15;JAMBI;1505;MUARO JAMBI;150509;BAHAR UTARA;DATA SEKOLAH;2022/2023 GENAP;NEGERI;PKBM;0
15;JAMBI;1505;MUARO JAMBI;150509;BAHAR UTARA;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SKB;0
15;JAMBI;1505;MUARO JAMBI;150509;BAHAR UTARA;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SD;11
15;JAMBI;1505;MUARO JAMBI;150509;BAHAR UTARA;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMP;4
15;JAMBI;1505;MUARO JAMBI;150509;BAHAR UTARA;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMA;1
15;JAMBI;1505;MUARO JAMBI;150509;BAHAR UTARA;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMK;1
15;JAMBI;1505;MUARO JAMBI;150509;BAHAR UTARA;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SLB;0
15;JAMBI;1504;BATANGHARI;150407;BAJUBANG;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TK;1
15;JAMBI;1504;BATANGHARI;150407;BAJUBANG;DATA SEKOLAH;2022/2023 GENAP;NEGERI;KB;0
15;JAMBI;1504;BATANGHARI;150407;BAJUBANG;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TPA;0
15;JAMBI;1504;BATANGHARI;150407;BAJUBANG;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SPS;0
15;JAMBI;1504;BATANGHARI;150407;BAJUBANG;DATA SEKOLAH;2022/2023 GENAP;NEGERI;PKBM;0
15;JAMBI;1504;BATANGHARI;150407;BAJUBANG;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SKB;0
15;JAMBI;1504;BATANGHARI;150407;BAJUBANG;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SD;28
15;JAMBI;1504;BATANGHARI;150407;BAJUBANG;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMP;7
15;JAMBI;1504;BATANGHARI;150407;BAJUBANG;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMA;1
15;JAMBI;1504;BATANGHARI;150407;BAJUBANG;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMK;1
15;JAMBI;1504;BATANGHARI;150407;BAJUBANG;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SLB;0
15;JAMBI;1502;MERANGIN;150202;BANGKO;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TK;2
15;JAMBI;1502;MERANGIN;150202;BANGKO;DATA SEKOLAH;2022/2023 GENAP;NEGERI;KB;0
15;JAMBI;1502;MERANGIN;150202;BANGKO;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TPA;0
15;JAMBI;1502;MERANGIN;150202;BANGKO;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SPS;0
15;JAMBI;1502;MERANGIN;150202;BANGKO;DATA SEKOLAH;2022/2023 GENAP;NEGERI;PKBM;0
15;JAMBI;1502;MERANGIN;150202;BANGKO;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SKB;0
15;JAMBI;1502;MERANGIN;150202;BANGKO;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SD;23
15;JAMBI;1502;MERANGIN;150202;BANGKO;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMP;5
15;JAMBI;1502;MERANGIN;150202;BANGKO;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMA;3
15;JAMBI;1502;MERANGIN;150202;BANGKO;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMK;1
15;JAMBI;1502;MERANGIN;150202;BANGKO;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SLB;1
15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TK;0
15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;DATA SEKOLAH;2022/2023 GENAP;NEGERI;KB;0
15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TPA;0
15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SPS;0
15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;DATA SEKOLAH;2022/2023 GENAP;NEGERI;PKBM;0
15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SKB;0
15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SD;11
15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMP;2
15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMA;0
15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMK;0
15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SLB;0
15;JAMBI;1503;SAROLANGUN;150301;BATANG ASAI;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TK;0
15;JAMBI;1503;SAROLANGUN;150301;BATANG ASAI;DATA SEKOLAH;2022/2023 GENAP;NEGERI;KB;0
15;JAMBI;1503;SAROLANGUN;150301;BATANG ASAI;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TPA;0
15;JAMBI;1503;SAROLANGUN;150301;BATANG ASAI;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SPS;0
15;JAMBI;1503;SAROLANGUN;150301;BATANG ASAI;DATA SEKOLAH;2022/2023 GENAP;NEGERI;PKBM;0
15;JAMBI;1503;SAROLANGUN;150301;BATANG ASAI;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SKB;0
15;JAMBI;1503;SAROLANGUN;150301;BATANG ASAI;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SD;34
