id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kategori;jenis_psks;jumlah;satuan;tahun
25;15;JAMBI;1504;BATANGHARI;JUMLAH POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;75;ORANG;2023
24;15;JAMBI;1505;MUARO JAMBI;JUMLAH POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;50;ORANG;2023
26;15;JAMBI;1506;TANJUNG JABUNG BARAT;JUMLAH POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;77;ORANG;2023
28;15;JAMBI;1508;BUNGO;JUMLAH POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;60;ORANG;2023
27;15;JAMBI;1509;TEBO;JUMLAH POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;65;ORANG;2023
23;15;JAMBI;1571;KOTA JAMBI;JUMLAH POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;40;ORANG;2023
32;15;JAMBI;1572;KOTA SUNGAI PENUH;JUMLAH POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;51;ORANG;2023
39;15;JAMBI;1501;KERINCI;JUMLAH POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;59;ORANG;2024
38;15;JAMBI;1503;SAROLANGUN;JUMLAH POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;51;ORANG;2024
35;15;JAMBI;1504;BATANGHARI;JUMLAH POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;83;ORANG;2024
34;15;JAMBI;1505;MUARO JAMBI;JUMLAH POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;50;ORANG;2024
36;15;JAMBI;1506;TANJUNG JABUNG BARAT;JUMLAH POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;77;ORANG;2024
37;15;JAMBI;1509;TEBO;JUMLAH POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;65;ORANG;2024
33;15;JAMBI;1571;KOTA JAMBI;JUMLAH POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;50;ORANG;2024
40;15;JAMBI;1572;KOTA SUNGAI PENUH;JUMLAH POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;51;ORANG;2024
