id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;nama_kabupaten_kota;produktivitas;satuan;tahun
;15;JAMBI;1505;NILAM;MUARO JAMBI;0;KG/HA;2024
;15;JAMBI;1506;TEBU;TANJUNG JABUNG BARAT;0;KG/HA;2024
;15;JAMBI;1506;TEMBAKAU;TANJUNG JABUNG BARAT;0;KG/HA;2024
;15;JAMBI;1506;NILAM;TANJUNG JABUNG BARAT;0;KG/HA;2024
;15;JAMBI;1507;TEBU;TANJUNG JABUNG TIMUR;0;KG/HA;2024
;15;JAMBI;1507;TEMBAKAU;TANJUNG JABUNG TIMUR;0;KG/HA;2024
;15;JAMBI;1507;NILAM;TANJUNG JABUNG TIMUR;0;KG/HA;2024
;15;JAMBI;1508;TEBU;BUNGO;0;KG/HA;2024
;15;JAMBI;1508;TEMBAKAU;BUNGO;0;KG/HA;2024
;15;JAMBI;1508;NILAM;BUNGO;0;KG/HA;2024
;15;JAMBI;1509;TEBU;TEBO;0;KG/HA;2024
;15;JAMBI;1509;TEMBAKAU;TEBO;0;KG/HA;2024
;15;JAMBI;1509;NILAM;TEBO;0;KG/HA;2024
;15;JAMBI;1571;TEBU;KOTA JAMBI;0;KG/HA;2024
;15;JAMBI;1571;TEMBAKAU;KOTA JAMBI;0;KG/HA;2024
;15;JAMBI;1571;NILAM;KOTA JAMBI;0;KG/HA;2024
;15;JAMBI;1572;TEBU;KOTA SUNGAI PENUH;2000;KG/HA;2024
;15;JAMBI;1572;TEMBAKAU;KOTA SUNGAI PENUH;1000;KG/HA;2024
;15;JAMBI;1572;NILAM;KOTA SUNGAI PENUH;0;KG/HA;2024
