id;kode_provinsi;nama_provinsi;kode_kabupaten;nama_kabupaten_kota;komoditi;jumlah_petani;satuan;tahun
1;15;JAMBI;1506;TANJAB BARAT;KOPI LIBERIKA;2441;KEPALA KELUARGA;2022
2;15;JAMBI;1507;TANJAB TIMUR;KOPI LIBERIKA;2762;KEPALA KELUARGA;2022
