id;kode_provinsi;nama_provinsi;tahun_ajaran;bentuk_pendidikan;jumlah
1;15;JAMBI;2023/2024 GENAP;TK;4.193
2;15;JAMBI;2023/2024 GENAP;KB;3.797
3;15;JAMBI;2023/2024 GENAP;TPA;152
4;15;JAMBI;2023/2024 GENAP;SPS;368
5;15;JAMBI;2023/2024 GENAP;PKBM;631
6;15;JAMBI;2023/2024 GENAP;SKB;92
7;15;JAMBI;2023/2024 GENAP;SD;26.409
8;15;JAMBI;2023/2024 GENAP;SMP;11.020
9;15;JAMBI;2023/2024 GENAP;SMA;5.817
10;15;JAMBI;2023/2024 GENAP;SMK;4.276
11;15;JAMBI;2023/2024 GENAP;SLB;389
12;15;JAMBI;2023/2024 GANJIL;TK;4.300
13;15;JAMBI;2023/2024 GANJIL;KB;3.869
14;15;JAMBI;2023/2024 GANJIL;TPA;152
15;15;JAMBI;2023/2024 GANJIL;SPS;391
16;15;JAMBI;2023/2024 GANJIL;PKBM;593
17;15;JAMBI;2023/2024 GANJIL;SKB;89
18;15;JAMBI;2023/2024 GANJIL;SD;25.471
19;15;JAMBI;2023/2024 GANJIL;SMP;10.849
20;15;JAMBI;2023/2024 GANJIL;SMA;5.910
21;15;JAMBI;2023/2024 GANJIL;SMK;4.316
22;15;JAMBI;2023/2024 GANJIL;SLB;428
23;15;JAMBI;2022/2023 GENAP;TK;4.248
24;15;JAMBI;2022/2023 GENAP;KB;3.962
25;15;JAMBI;2022/2023 GENAP;TPA;147
26;15;JAMBI;2022/2023 GENAP;SPS;383
27;15;JAMBI;2022/2023 GENAP;PKBM;605
28;15;JAMBI;2022/2023 GENAP;SKB;96
29;15;JAMBI;2022/2023 GENAP;SD;24.802
30;15;JAMBI;2022/2023 GENAP;SMP;10.935
31;15;JAMBI;2022/2023 GENAP;SMA;5.885
32;15;JAMBI;2022/2023 GENAP;SMK;4.273
33;15;JAMBI;2022/2023 GENAP;SLB;407
34;15;JAMBI;2022/2023 GANJIL;TK;4.233
35;15;JAMBI;2022/2023 GANJIL;KB;3.992
36;15;JAMBI;2022/2023 GANJIL;TPA;135
37;15;JAMBI;2022/2023 GANJIL;SPS;376
38;15;JAMBI;2022/2023 GANJIL;PKBM;611
39;15;JAMBI;2022/2023 GANJIL;SKB;98
40;15;JAMBI;2022/2023 GANJIL;SD;24.840
41;15;JAMBI;2022/2023 GANJIL;SMP;10.985
42;15;JAMBI;2022/2023 GANJIL;SMA;5.890
43;15;JAMBI;2022/2023 GANJIL;SMK;4.308
44;15;JAMBI;2022/2023 GANJIL;SLB;400
45;15;JAMBI;2021/2022 GENAP;SD;24.899
46;15;JAMBI;2021/2022 GENAP;SMP;11.018
47;15;JAMBI;2021/2022 GENAP;SMA;5.861
48;15;JAMBI;2021/2022 GENAP;SMK;4.299
49;15;JAMBI;2021/2022 GENAP;TK;4.135
50;15;JAMBI;2021/2022 GENAP;KB;3.955
51;15;JAMBI;2021/2022 GENAP;PKBM;720
52;15;JAMBI;2021/2022 GENAP;SLB;401
53;15;JAMBI;2021/2022 GENAP;SPS;370
54;15;JAMBI;2021/2022 GENAP;TPA;129
55;15;JAMBI;2021/2022 GENAP;SKB;78
56;15;JAMBI;2021/2022 GANJIL;SD;24.962
57;15;JAMBI;2021/2022 GANJIL;SMP;10.985
58;15;JAMBI;2021/2022 GANJIL;SMA;5.856
59;15;JAMBI;2021/2022 GANJIL;SMK;4.312
60;15;JAMBI;2021/2022 GANJIL;TK;4.099
61;15;JAMBI;2021/2022 GANJIL;KB;3.933
62;15;JAMBI;2021/2022 GANJIL;PKBM;742
63;15;JAMBI;2021/2022 GANJIL;SLB;395
64;15;JAMBI;2021/2022 GANJIL;SPS;373
65;15;JAMBI;2021/2022 GANJIL;TPA;135
66;15;JAMBI;2021/2022 GANJIL;SKB;76
67;15;JAMBI;2020/2021 GENAP;SD;25.014
68;15;JAMBI;2020/2021 GENAP;SMP;11.044
69;15;JAMBI;2020/2021 GENAP;SMA;5.801
70;15;JAMBI;2020/2021 GENAP;SMK;4.276
71;15;JAMBI;2020/2021 GENAP;TK;4.091
72;15;JAMBI;2020/2021 GENAP;KB;4.073
73;15;JAMBI;2020/2021 GENAP;PKBM;830
74;15;JAMBI;2020/2021 GENAP;SPS;411
75;15;JAMBI;2020/2021 GENAP;SLB;380
76;15;JAMBI;2020/2021 GENAP;TPA;151
77;15;JAMBI;2020/2021 GENAP;SKB;81
78;15;JAMBI;2020/2021 GANJIL;SD;24.504
79;15;JAMBI;2020/2021 GANJIL;SMP;10.641
80;15;JAMBI;2020/2021 GANJIL;SMA;5.784
81;15;JAMBI;2020/2021 GANJIL;SMK;4.176
82;15;JAMBI;2020/2021 GANJIL;TK;3.860
83;15;JAMBI;2020/2021 GANJIL;KB;3.807
84;15;JAMBI;2020/2021 GANJIL;PKBM;787
85;15;JAMBI;2020/2021 GANJIL;SPS;397
86;15;JAMBI;2020/2021 GANJIL;SLB;376
87;15;JAMBI;2020/2021 GANJIL;TPA;136
88;15;JAMBI;2020/2021 GANJIL;SKB;65
89;15;JAMBI;2019/2020 GENAP;SD;24.428
90;15;JAMBI;2019/2020 GENAP;SMP;10.457
91;15;JAMBI;2019/2020 GENAP;SMA;5.716
92;15;JAMBI;2019/2020 GENAP;SMK;4.121
93;15;JAMBI;2019/2020 GENAP;SLB;364
94;15;JAMBI;2019/2020 GENAP;KB;0
95;15;JAMBI;2019/2020 GENAP;PKBM;0
96;15;JAMBI;2019/2020 GENAP;SKB;0
97;15;JAMBI;2019/2020 GENAP;SPS;0
98;15;JAMBI;2019/2020 GENAP;TK;0
99;15;JAMBI;2019/2020 GENAP;TPA;0
100;15;JAMBI;2019/2020 GANJIL;SD;24.509
101;15;JAMBI;2019/2020 GANJIL;SMP;10.498
102;15;JAMBI;2019/2020 GANJIL;SMA;5.665
103;15;JAMBI;2019/2020 GANJIL;SMK;4.136
104;15;JAMBI;2019/2020 GANJIL;SLB;350
105;15;JAMBI;2019/2020 GANJIL;KB;0
106;15;JAMBI;2019/2020 GANJIL;PKBM;0
107;15;JAMBI;2019/2020 GANJIL;SKB;0
108;15;JAMBI;2019/2020 GANJIL;SPS;0
109;15;JAMBI;2019/2020 GANJIL;TK;0
110;15;JAMBI;2019/2020 GANJIL;TPA;0
