id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_kecamatan,nama_kecamatan,kategori,data,satuan,semester,jumlah,tahun
870,15,JAMBI,1504,BATANGHARI,150405,PEMAYUNG,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,680,2022
871,15,JAMBI,1508,BUNGO,150815,BATHIN II PELAYANG,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,115,2022
872,15,JAMBI,1508,BUNGO,150811,BATHIN III,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,447,2022
873,15,JAMBI,1508,BUNGO,150814,BATHIN III ULU,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,135,2022
874,15,JAMBI,1508,BUNGO,150810,BATIN II BABEKO,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,411,2022
875,15,JAMBI,1508,BUNGO,150812,BUNGO DANI,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,485,2022
876,15,JAMBI,1508,BUNGO,150804,JUJUHAN,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,257,2022
877,15,JAMBI,1508,BUNGO,150816,JUJUHAN ILIR,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,99,2022
878,15,JAMBI,1508,BUNGO,150807,LIMBUR LUBUK MENGKUANG,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,173,2022
879,15,JAMBI,1508,BUNGO,150808,MUKO-MUKO BATHIN VII,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,170,2022
880,15,JAMBI,1508,BUNGO,150803,PASAR MUARO BUNGO,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,580,2022
881,15,JAMBI,1508,BUNGO,150806,PELEPAT,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,936,2022
882,15,JAMBI,1508,BUNGO,150809,PELEPAT ILIR,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,490,2022
883,15,JAMBI,1508,BUNGO,150802,RANTAU PANDAN,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,188,2022
884,15,JAMBI,1508,BUNGO,150813,RIMBO TENGAH,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,490,2022
885,15,JAMBI,1508,BUNGO,150805,TANAH SEPENGGAL,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,580,2022
886,15,JAMBI,1508,BUNGO,150817,TANAH SEPENGGAL LINTAS,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,539,2022
887,15,JAMBI,1508,BUNGO,150801,TANAH TUMBUH,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,170,2022
888,15,JAMBI,1501,KERINCI,150105,AIR HANGAT,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,180,2022
889,15,JAMBI,1501,KERINCI,150121,AIR HANGAT BARAT,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,173,2022
890,15,JAMBI,1501,KERINCI,150111,AIR HANGAT TIMUR,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,431,2022
891,15,JAMBI,1501,KERINCI,150107,BATANG MERANGIN,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,437,2022
892,15,JAMBI,1501,KERINCI,150120,BUKITKERMAN,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,379,2022
893,15,JAMBI,1501,KERINCI,150102,DANAU KERINCI,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,436,2022
894,15,JAMBI,1501,KERINCI,150123,DANAU KERINCI BARAT,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,218,2022
895,15,JAMBI,1501,KERINCI,150117,DEPATI TUJUH,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,323,2022
896,15,JAMBI,1501,KERINCI,150106,GUNUNG KERINCI,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,365,2022
897,15,JAMBI,1501,KERINCI,150101,GUNUNG RAYA,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,157,2022
898,15,JAMBI,1501,KERINCI,150115,GUNUNG TUJUH,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,266,2022
899,15,JAMBI,1501,KERINCI,150109,KAYU ARO,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,518,2022
900,15,JAMBI,1501,KERINCI,150119,KAYU ARO BARAT,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,402,2022
901,15,JAMBI,1501,KERINCI,150108,KELILING DANAU,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,234,2022
902,15,JAMBI,1501,KERINCI,150104,SITINJAU LAUT,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,184,2022
903,15,JAMBI,1501,KERINCI,150116,SIULAK,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,445,2022
904,15,JAMBI,1501,KERINCI,150118,SIULAK MUKAI,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,202,2022
905,15,JAMBI,1501,KERINCI,150122,TANAH COGOK,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,253,2022
906,15,JAMBI,1571,KOTA JAMBI,157109,ALAM BARAJO,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,2117,2022
907,15,JAMBI,1571,KOTA JAMBI,157110,DANAU SIPIN,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,752,2022
908,15,JAMBI,1571,KOTA JAMBI,157106,DANAU TELUK,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,272,2022
909,15,JAMBI,1571,KOTA JAMBI,157102,JAMBI SELATAN,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,934,2022
910,15,JAMBI,1571,KOTA JAMBI,157103,JAMBI TIMUR,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,943,2022
911,15,JAMBI,1571,KOTA JAMBI,157108,JELUTUNG,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,749,2022
912,15,JAMBI,1571,KOTA JAMBI,157107,KOTA BARU,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,1287,2022
913,15,JAMBI,1571,KOTA JAMBI,157111,PAAL MERAH,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,2077,2022
914,15,JAMBI,1571,KOTA JAMBI,157104,PASAR JAMBI,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,175,2022
915,15,JAMBI,1571,KOTA JAMBI,157105,PELAYANGAN,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,230,2022
916,15,JAMBI,1571,KOTA JAMBI,157101,TELANAIPURA,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,734,2022
917,15,JAMBI,1572,KOTA SUNGAI PENUH,157203,HAMPARAN RAWANG,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,230,2022
918,15,JAMBI,1572,KOTA SUNGAI PENUH,157207,KOTO BARU,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,371,2022
919,15,JAMBI,1572,KOTA SUNGAI PENUH,157205,KUMUN DEBAI,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,264,2022
