NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;tahun;jumlah_keluarga_sasaran;jumlah_keluarga_berisiko_stunting;persentase_keluarga_berisiko_stunting
52;15;JAMBI;1503;SAROLANGUN;150303;SAROLANGUN;2021;9.813;5.131;52,29
53;15;JAMBI;1503;SAROLANGUN;150309;SINGKUT;2021;7.579;3.918;51,70
54;15;JAMBI;1504;BATANGHARI;150407;BAJUBANG;2021;6.906;4.550;65,88
55;15;JAMBI;1504;BATANGHARI;150404;BATIN XXIV;2021;5.259;2.938;55,87
56;15;JAMBI;1504;BATANGHARI;150408;MARO SEBO ILIR;2021;2.705;1.312;48,50
57;15;JAMBI;1504;BATANGHARI;150406;MARO SEBO ULU;2021;6.263;4.297;68,61
58;15;JAMBI;1504;BATANGHARI;150401;MERSAM;2021;5.021;2.554;50,87
59;15;JAMBI;1504;BATANGHARI;150403;MUARA BULIAN;2021;10.100;5.565;55,10
60;15;JAMBI;1504;BATANGHARI;150402;MUARA TEMBESI;2021;5.768;3.263;56,57
61;15;JAMBI;1504;BATANGHARI;150405;PEMAYUNG;2021;6.216;3.266;52,54
62;15;JAMBI;1505;MUARO JAMBI;150510;BAHAR SELATAN;2021;3.304;1.771;53,60
63;15;JAMBI;1505;MUARO JAMBI;150509;BAHAR UTARA;2021;2.557;1.342;52,48
64;15;JAMBI;1505;MUARO JAMBI;150501;JAMBI LUAR KOTA;2021;11.443;6.308;55,13
65;15;JAMBI;1505;MUARO JAMBI;150503;KUMPEH;2021;5.180;3.485;67,28
66;15;JAMBI;1505;MUARO JAMBI;150506;KUMPEH ULU;2021;10.794;5.827;53,98
67;15;JAMBI;1505;MUARO JAMBI;150504;MARO SEBO;2021;4.279;2.659;62,14
68;15;JAMBI;1505;MUARO JAMBI;150505;MESTONG;2021;8.103;4.388;54,15
69;15;JAMBI;1505;MUARO JAMBI;150502;SEKERNAN;2021;7.365;4.274;58,03
70;15;JAMBI;1505;MUARO JAMBI;150507;SUNGAI BAHAR;2021;4.762;2.246;47,17
71;15;JAMBI;1505;MUARO JAMBI;150508;SUNGAI GELAM;2021;12.587;6.565;52,16
72;15;JAMBI;1505;MUARO JAMBI;150511;TAMAN RAJO;2021;2.563;1.646;64,22
73;15;JAMBI;1506;TANJUNG JABUNG BARAT;150607;BATANG ASAM;2021;6.057;3.595;59,35
74;15;JAMBI;1506;TANJUNG JABUNG BARAT;150604;BETARA;2021;5.140;3.838;74,67
75;15;JAMBI;1506;TANJUNG JABUNG BARAT;150611;BRAM ITAM;2021;3.112;2.778;89,27
76;15;JAMBI;1506;TANJUNG JABUNG BARAT;150612;KUALA BETARA;2021;2.544;2.454;96,46
77;15;JAMBI;1506;TANJUNG JABUNG BARAT;150605;MERLUNG;2021;2.966;1.480;49,90
78;15;JAMBI;1506;TANJUNG JABUNG BARAT;150609;MUARA PAPALIK;2021;2.239;1.060;47,34
79;15;JAMBI;1506;TANJUNG JABUNG BARAT;150603;PENGABUAN;2021;4.602;4.365;94,85
80;15;JAMBI;1506;TANJUNG JABUNG BARAT;150608;RENAH MENDALUH;2021;2.799;1.545;55,20
81;15;JAMBI;1506;TANJUNG JABUNG BARAT;150610;SEBERANG KOTA;2021;1.579;1.496;94,74
82;15;JAMBI;1506;TANJUNG JABUNG BARAT;150613;SENYERANG;2021;4.652;4.427;95,16
83;15;JAMBI;1506;TANJUNG JABUNG BARAT;150606;TEBING TINGGI;2021;6.798;3.467;51,00
84;15;JAMBI;1506;TANJUNG JABUNG BARAT;150602;TUNGKAL ILIR;2021;8.755;6.418;73,31
85;15;JAMBI;1506;TANJUNG JABUNG BARAT;150601;TUNGKAL ULU;2021;2.505;1.372;54,77
86;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150711;BERBAK;2021;2.007;1.370;68,26
87;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150706;DENDANG;2021;2.939;1.943;66,11
88;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150710;GERAGAI;2021;4.874;2.927;60,05
89;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150708;KUALA JAMBI;2021;2.492;2.285;91,69
90;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150703;MENDAHARA;2021;4.523;4.345;96,06
91;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150709;MENDAHARA ULU;2021;3.091;2.281;73,79
92;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150707;MUARA SABAK BARAT;2021;4.013;2.343;58,39
93;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150701;MUARA SABAK TIMUR;2021;5.248;4.014;76,49
94;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150702;NIPAH PANJANG;2021;4.279;3.978;92,97
95;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150704;RANTAU RASAU;2021;4.147;3.171;76,46
96;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150705;S A D U;2021;2.389;1.776;74,34
97;15;JAMBI;1508;BUNGO;150815;BATHIN II PELAYANG;2021;1.545;936;60,58
98;15;JAMBI;1508;BUNGO;150811;BATHIN III;2021;4.452;2.352;52,83
99;15;JAMBI;1508;BUNGO;150814;BATHIN III ULU;2021;1.713;1.451;84,71
100;15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;2021;2.758;1.384;50,18
101;15;JAMBI;1508;BUNGO;150812;BUNGO DANI;2021;4.208;2.154;51,19
102;15;JAMBI;1508;BUNGO;150804;JUJUHAN;2021;3.607;1.846;51,18
103;15;JAMBI;1508;BUNGO;150816;JUJUHAN ILIR;2021;1.822;1.023;56,15
104;15;JAMBI;1508;BUNGO;150807;LIMBUR LUBUK MENGKUANG;2021;2.489;1.516;60,91
105;15;JAMBI;1508;BUNGO;150808;MUKO-MUKO BATHIN VII;2021;2.788;1.919;68,83
106;15;JAMBI;1508;BUNGO;150803;PASAR MUARO BUNGO;2021;3.229;1.672;51,78
107;15;JAMBI;1508;BUNGO;150806;PELEPAT;2021;5.936;3.001;50,56
108;15;JAMBI;1508;BUNGO;150809;PELEPAT ILIR;2021;9.459;4.491;47,48
109;15;JAMBI;1508;BUNGO;150802;RANTAU PANDAN;2021;2.020;1.374;68,02
110;15;JAMBI;1508;BUNGO;150813;RIMBO TENGAH;2021;3.266;1.351;41,37
111;15;JAMBI;1508;BUNGO;150805;TANAH SEPENGGAL;2021;4.413;2.687;60,89
112;15;JAMBI;1508;BUNGO;150817;TANAH SEPENGGAL LINTAS;2021;4.355;2.414;55,43
113;15;JAMBI;1508;BUNGO;150801;TANAH TUMBUH;2021;2.814;1.692;60,13
114;15;JAMBI;1509;TEBO;150912;MUARA TABIR;2021;3.692;2.160;58,50
115;15;JAMBI;1509;TEBO;150904;RIMBO BUJANG;2021;11.225;5.495;48,95
116;15;JAMBI;1509;TEBO;150908;RIMBO ILIR;2021;3.595;1.955;54,38
117;15;JAMBI;1509;TEBO;150907;RIMBO ULU;2021;7.307;3.689;50,49
118;15;JAMBI;1509;TEBO;150910;SERAI SERUMPUN;2021;2.226;1.338;60,11
119;15;JAMBI;1509;TEBO;150905;SUMAY;2021;4.145;2.353;56,77
120;15;JAMBI;1509;TEBO;150902;TEBO ILIR;2021;5.690;3.367;59,17
121;15;JAMBI;1509;TEBO;150901;TEBO TENGAH;2021;5.018;2.871;57,21
122;15;JAMBI;1509;TEBO;150903;TEBO ULU;2021;6.500;3.886;59,78
123;15;JAMBI;1509;TEBO;150909;TENGAH ILIR;2021;4.600;2.693;58,54
124;15;JAMBI;1509;TEBO;150906;VII KOTO;2021;3.723;2.208;59,31
125;15;JAMBI;1509;TEBO;150911;VII KOTO ILIR;2021;3.379;2.053;60,76
126;15;JAMBI;1571;KOTA JAMBI;157109;ALAM BARAJO;2021;18.776;8.368;44,57
127;15;JAMBI;1571;KOTA JAMBI;157110;DANAU SIPIN;2021;5.548;2.852;51,41
128;15;JAMBI;1571;KOTA JAMBI;157106;DANAU TELUK;2021;1.927;986;51,17
129;15;JAMBI;1571;KOTA JAMBI;157102;JAMBI SELATAN;2021;6.884;3.218;46,75
130;15;JAMBI;1571;KOTA JAMBI;157103;JAMBI TIMUR;2021;8.973;4.472;49,84
131;15;JAMBI;1571;KOTA JAMBI;157108;JELUTUNG;2021;7.695;3.840;49,90
132;15;JAMBI;1571;KOTA JAMBI;157107;KOTA BARU;2021;9.439;4.533;48,02
133;15;JAMBI;1571;KOTA JAMBI;157111;PAAL MERAH;2021;15.101;6.856;45,40
134;15;JAMBI;1571;KOTA JAMBI;157104;PASAR JAMBI;2021;1.061;535;50,42
135;15;JAMBI;1571;KOTA JAMBI;157105;PELAYANGAN;2021;1.934;1.141;59,00
136;15;JAMBI;1571;KOTA JAMBI;157101;TELANAIPURA;2021;5.632;2.643;46,93
137;15;JAMBI;1572;KOTA SUNGAI PENUH;157203;HAMPARAN RAWANG;2021;2.700;1.295;47,96
138;15;JAMBI;1572;KOTA SUNGAI PENUH;157207;KOTO BARU;2021;1.690;801;47,40
139;15;JAMBI;1572;KOTA SUNGAI PENUH;157205;KUMUN DEBAI;2021;1.621;738;45,53
140;15;JAMBI;1572;KOTA SUNGAI PENUH;157202;PESISIR BUKIT;2021;2.067;1.145;55,39
141;15;JAMBI;1572;KOTA SUNGAI PENUH;157206;PONDOK TINGGI;2021;2.830;1.591;56,22
142;15;JAMBI;1572;KOTA SUNGAI PENUH;157208;SUNGAI BUNGKAL;2021;1.602;866;54,06
143;15;JAMBI;1572;KOTA SUNGAI PENUH;157201;SUNGAI PENUH;2021;1.386;736;53,10
144;15;JAMBI;1572;KOTA SUNGAI PENUH;157204;TANAH KAMPUNG;2021;1.779;748;42,05
;15;JAMBI;1501;KERINCI;150105;AIR HANGAT;2022;2.033;303;14,90
;15;JAMBI;1501;KERINCI;150121;AIR HANGAT BARAT;2022;1.905;180;9,45
;15;JAMBI;1501;KERINCI;150111;AIR HANGAT TIMUR;2022;3.723;1.671;44,88
;15;JAMBI;1501;KERINCI;150107;BATANG MERANGIN;2022;2.341;766;32,72
;15;JAMBI;1501;KERINCI;150120;BUKITKERMAN;2022;2.449;668;27,28
;15;JAMBI;1501;KERINCI;150102;DANAU KERINCI;2022;2.457;536;21,82
;15;JAMBI;1501;KERINCI;150123;DANAU KERINCI BARAT;2022;1.842;566;30,73
;15;JAMBI;1501;KERINCI;150117;DEPATI TUJUH;2022;2.842;514;18,09
;15;JAMBI;1501;KERINCI;150106;GUNUNG KERINCI;2022;2.650;1.504;56,75
;15;JAMBI;1501;KERINCI;150101;GUNUNG RAYA;2022;1.506;374;24,83
;15;JAMBI;1501;KERINCI;150115;GUNUNG TUJUH;2022;3.380;733;21,69
;15;JAMBI;1501;KERINCI;150109;KAYU ARO;2022;4.458;1.417;31,79
;15;JAMBI;1501;KERINCI;150119;KAYU ARO BARAT;2022;4.059;726;17,89
;15;JAMBI;1501;KERINCI;150108;KELILING DANAU;2022;2.252;1.069;47,47
;15;JAMBI;1501;KERINCI;150104;SITINJAU LAUT;2022;1.765;522;29,58
;15;JAMBI;1501;KERINCI;150116;SIULAK;2022;4.677;1.569;33,55
;15;JAMBI;1501;KERINCI;150118;SIULAK MUKAI;2022;2.308;880;38,13
;15;JAMBI;1501;KERINCI;150122;TANAH COGOK;2022;1.615;538;33,31
;15;JAMBI;1502;MERANGIN;150202;BANGKO;2022;7.267;1.851;25,47
;15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;2022;2.170;803;37,00
;15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;2022;1.985;586;29,52
;15;JAMBI;1502;MERANGIN;150201;JANGKAT;2022;2.308;1.135;49,18
;15;JAMBI;1502;MERANGIN;150218;JANGKAT TIMUR;2022;2.143;1.408;65,70
;15;JAMBI;1502;MERANGIN;150209;LEMBAH MASURAI;2022;2.679;1.670;62,34
;15;JAMBI;1502;MERANGIN;150221;MARGO TABIR;2022;3.193;994;31,13
;15;JAMBI;1502;MERANGIN;150203;MUARA SIAU;2022;2.213;998;45,10
;15;JAMBI;1502;MERANGIN;150211;NALO TANTAN;2022;3.309;1.283;38,77
;15;JAMBI;1502;MERANGIN;150206;PAMENANG;2022;6.315;2.078;32,91
;15;JAMBI;1502;MERANGIN;150213;PAMENANG BARAT;2022;3.575;1.118;31,27
;15;JAMBI;1502;MERANGIN;150220;PAMENANG SELATAN;2022;1.949;525;26,94
;15;JAMBI;1502;MERANGIN;150217;PANGKALAN JAMBU;2022;1.416;368;25,99
;15;JAMBI;1502;MERANGIN;150219;RENAH PAMENANG;2022;2.855;406;14,22
;15;JAMBI;1502;MERANGIN;150216;RENAH PEMBARAP;2022;2.604;766;29,42
;15;JAMBI;1502;MERANGIN;150204;SUNGAI MANAU;2022;2.235;1.136;50,83
;15;JAMBI;1502;MERANGIN;150205;TABIR;2022;5.964;2.787;46,73
;15;JAMBI;1502;MERANGIN;150223;TABIR BARAT;2022;1.871;1.416;75,68
;15;JAMBI;1502;MERANGIN;150214;TABIR ILIR;2022;2.081;825;39,64
;15;JAMBI;1502;MERANGIN;150222;TABIR LINTAS;2022;1.689;539;31,91
;15;JAMBI;1502;MERANGIN;150208;TABIR SELATAN;2022;5.684;1.204;21,18
;15;JAMBI;1502;MERANGIN;150215;TABIR TIMUR;2022;1.709;649;37,98
;15;JAMBI;1502;MERANGIN;150207;TABIR ULU;2022;1.771;911;51,44
;15;JAMBI;1502;MERANGIN;150224;TIANG PUMPUNG;2022;1.098;343;31,24
;15;JAMBI;1503;SAROLANGUN;150307;AIR HITAM;2022;4.213;1.438;34,13
;15;JAMBI;1503;SAROLANGUN;150301;BATANG ASAI;2022;3.410;2.793;81,91
;15;JAMBI;1503;SAROLANGUN;150308;BATHIN VIII;2022;4.030;1.254;31,12
;15;JAMBI;1503;SAROLANGUN;150310;CERMIN NAN GEDANG;2022;2.357;766;32,50
;15;JAMBI;1503;SAROLANGUN;150302;LIMUN;2022;3.359;1.714;51,03
;15;JAMBI;1503;SAROLANGUN;150306;MANDIANGIN;2022;4.382;2.116;48,29
;15;JAMBI;1503;SAROLANGUN;150311;MANDIANGIN TIMUR;2022;2.584;1.034;40,02
;15;JAMBI;1503;SAROLANGUN;150304;PAUH;2022;3.976;1.583;39,81
;15;JAMBI;1503;SAROLANGUN;150305;PELAWAN;2022;5.932;2.151;36,26
;15;JAMBI;1503;SAROLANGUN;150303;SAROLANGUN;2022;10.129;2.867;28,30
;15;JAMBI;1503;SAROLANGUN;150309;SINGKUT;2022;7.514;2.106;28,03
;15;JAMBI;1504;BATANGHARI;150407;BAJUBANG;2022;6.671;2.820;42,27
;15;JAMBI;1504;BATANGHARI;150404;BATIN XXIV;2022;5.259;1.795;34,13
;15;JAMBI;1504;BATANGHARI;150408;MARO SEBO ILIR;2022;2.640;518;19,62
;15;JAMBI;1504;BATANGHARI;150406;MARO SEBO ULU;2022;6.498;3.184;49,00
;15;JAMBI;1504;BATANGHARI;150401;MERSAM;2022;5.403;1.135;21,01
;15;JAMBI;1504;BATANGHARI;150403;MUARA BULIAN;2022;11.081;4.056;36,60
;15;JAMBI;1504;BATANGHARI;150402;MUARA TEMBESI;2022;5.882;1.647;28,00
;15;JAMBI;1504;BATANGHARI;150405;PEMAYUNG;2022;5.946;1.984;33,37
;15;JAMBI;1505;MUARO JAMBI;150510;BAHAR SELATAN;2022;3.320;933;28,10
;15;JAMBI;1505;MUARO JAMBI;150509;BAHAR UTARA;2022;2.476;718;29,00
;15;JAMBI;1505;MUARO JAMBI;150501;JAMBI LUAR KOTA;2022;11.338;3.481;30,70
;15;JAMBI;1505;MUARO JAMBI;150503;KUMPEH;2022;4.976;2.648;53,22
;15;JAMBI;1505;MUARO JAMBI;150506;KUMPEH ULU;2022;11.331;3.603;31,80
;15;JAMBI;1505;MUARO JAMBI;150504;MARO SEBO;2022;4.187;1.733;41,39
;15;JAMBI;1505;MUARO JAMBI;150505;MESTONG;2022;7.497;2.599;34,67
;15;JAMBI;1505;MUARO JAMBI;150502;SEKERNAN;2022;7.671;3.162;41,22
;15;JAMBI;1505;MUARO JAMBI;150507;SUNGAI BAHAR;2022;4.632;1.027;22,17
;15;JAMBI;1505;MUARO JAMBI;150508;SUNGAI GELAM;2022;13.028;3.641;27,95
;15;JAMBI;1505;MUARO JAMBI;150511;TAMAN RAJO;2022;2.512;975;38,81
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150607;BATANG ASAM;2022;5.938;2.123;35,75
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150604;BETARA;2022;5.117;3.285;64,20
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150611;BRAM ITAM;2022;3.148;2.807;89,17
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150612;KUALA BETARA;2022;2.444;2.425;99,22
