NO;kode_provinsi;nama_provinsi;kode_kabupaten;nama_kabupaten;komoditi;produktivitas;satuan;tahun
1;15;JAMBI;1506;TANJAB BARAT;KOPI LIBERIKA;575;KG/HA;2022
2;15;JAMBI;1507;TANJAB TIMUR;KOPI LIBERIKA;543;KG/HA;2022
