NO;kode_provinsi;nama_provinsi;kode_kabupaten;nama_kabupaten;komoditi;produktivitas;satuan;tahun
1;15;JAMBI;1504;BATANGHARI;KAKAO;767;KG/HA;2022
2;15;JAMBI;1505;MUARO JAMBI;KAKAO;653;KG/HA;2022
3;15;JAMBI;1508;BUNGO;KAKAO;950;KG/HA;2022
4;15;JAMBI;1509;TEBO;KAKAO;501;KG/HA;2022
5;15;JAMBI;1502;MERANGIN;KAKAO;656;KG/HA;2022
6;15;JAMBI;1503;SAROLANGUN;KAKAO;0;KG/HA;2022
7;15;JAMBI;1506;TANJAB BARAT;KAKAO;116;KG/HA;2022
8;15;JAMBI;1507;TANJAB TIMUR;KAKAO;747;KG/HA;2022
9;15;JAMBI;1501;KERINCI;KAKAO;398;KG/HA;2022
10;15;JAMBI;1572;SUNGAI PENUH;KAKAO;408;KG/HA;2022
