id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_komoditi;jumlah_produksi;satuan;tahun
;15;JAMBI;1502;DURIAN;24461;KUINTAL;2023
;15;JAMBI;1502;JENGKOL;18265;KUINTAL;2023
;15;JAMBI;1502;JERUK;12987;KUINTAL;2023
;15;JAMBI;1502;MANGGIS;15218;KUINTAL;2023
;15;JAMBI;1502;NANAS;146107,6;KUINTAL;2023
;15;JAMBI;1502;PISANG;18553;KUINTAL;2023
;15;JAMBI;1503;ALPUKAT;208,9;KUINTAL;2023
;15;JAMBI;1503;DUKU;357,25;KUINTAL;2023
;15;JAMBI;1503;DURIAN;60879,8;KUINTAL;2023
;15;JAMBI;1503;JENGKOL;4495,2;KUINTAL;2023
;15;JAMBI;1503;JERUK;18861,75;KUINTAL;2023
;15;JAMBI;1503;MANGGIS;148;KUINTAL;2023
;15;JAMBI;1503;NANAS;598,98;KUINTAL;2023
;15;JAMBI;1503;PISANG;71548,6;KUINTAL;2023
;15;JAMBI;1504;ALPUKAT;90,05;KUINTAL;2023
;15;JAMBI;1504;DUKU;1080,94;KUINTAL;2023
;15;JAMBI;1504;DURIAN;15954,39;KUINTAL;2023
;15;JAMBI;1504;JENGKOL;4177,03;KUINTAL;2023
;15;JAMBI;1504;JERUK;13557,92;KUINTAL;2023
;15;JAMBI;1504;MANGGIS;1823,77;KUINTAL;2023
;15;JAMBI;1504;NANAS;1679,17;KUINTAL;2023
;15;JAMBI;1504;PISANG;32120,71;KUINTAL;2023
;15;JAMBI;1505;ALPUKAT;11090,6;KUINTAL;2023
;15;JAMBI;1505;DUKU;9591,36;KUINTAL;2023
;15;JAMBI;1505;DURIAN;39503,48;KUINTAL;2023
;15;JAMBI;1505;JENGKOL;15194,5;KUINTAL;2023
;15;JAMBI;1505;JERUK;12523,02;KUINTAL;2023
;15;JAMBI;1505;MANGGIS;657,8;KUINTAL;2023
;15;JAMBI;1505;NANAS;1701979;KUINTAL;2023
;15;JAMBI;1505;PISANG;86925,06;KUINTAL;2023
;15;JAMBI;1506;ALPUKAT;296;KUINTAL;2023
;15;JAMBI;1506;DUKU;203;KUINTAL;2023
;15;JAMBI;1506;DURIAN;3410,48;KUINTAL;2023
;15;JAMBI;1506;JENGKOL;6152,5;KUINTAL;2023
;15;JAMBI;1506;JERUK;6957;KUINTAL;2023
;15;JAMBI;1506;MANGGIS;2506;KUINTAL;2023
;15;JAMBI;1506;NANAS;12455;KUINTAL;2023
;15;JAMBI;1506;PISANG;159111,32;KUINTAL;2023
;15;JAMBI;1507;ALPUKAT;1044,55;KUINTAL;2023
;15;JAMBI;1507;DUKU;17532,35;KUINTAL;2023
;15;JAMBI;1507;DURIAN;38107,94;KUINTAL;2023
;15;JAMBI;1507;JENGKOL;3251,69;KUINTAL;2023
;15;JAMBI;1507;JERUK;11214,9;KUINTAL;2023
;15;JAMBI;1507;MANGGIS;1210,31;KUINTAL;2023
;15;JAMBI;1507;NANAS;2552,37;KUINTAL;2023
;15;JAMBI;1507;PISANG;35805,3;KUINTAL;2023
;15;JAMBI;1508;ALPUKAT;640,3;KUINTAL;2023
;15;JAMBI;1508;DUKU;3046,7;KUINTAL;2023
;15;JAMBI;1508;DURIAN;16979,5;KUINTAL;2023
;15;JAMBI;1508;JENGKOL;3544,2;KUINTAL;2023
;15;JAMBI;1508;JERUK;4195,75;KUINTAL;2023
;15;JAMBI;1508;MANGGIS;1315,55;KUINTAL;2023
;15;JAMBI;1508;NANAS;481,4;KUINTAL;2023
;15;JAMBI;1508;PISANG;11432,8;KUINTAL;2023
;15;JAMBI;1509;ALPUKAT;1797,92;KUINTAL;2023
;15;JAMBI;1509;DUKU;9116,15;KUINTAL;2023
;15;JAMBI;1509;DURIAN;11941,22;KUINTAL;2023
;15;JAMBI;1509;JENGKOL;5825,95;KUINTAL;2023
;15;JAMBI;1509;JERUK;8409,33;KUINTAL;2023
;15;JAMBI;1509;MANGGIS;1155,73;KUINTAL;2023
;15;JAMBI;1509;NANAS;138,9;KUINTAL;2023
;15;JAMBI;1509;PISANG;5966,04;KUINTAL;2023
;15;JAMBI;1571;ALPUKAT;306,35;KUINTAL;2023
;15;JAMBI;1571;DUKU;22;KUINTAL;2023
;15;JAMBI;1571;DURIAN;202,8;KUINTAL;2023
;15;JAMBI;1571;JENGKOL;1115,7;KUINTAL;2023
;15;JAMBI;1571;JERUK;23,5;KUINTAL;2023
;15;JAMBI;1571;MANGGIS;86;KUINTAL;2023
;15;JAMBI;1571;NANAS;10,6;KUINTAL;2023
;15;JAMBI;1571;PISANG;469,2;KUINTAL;2023
;15;JAMBI;1572;ALPUKAT;2716,28;KUINTAL;2023
;15;JAMBI;1572;DUKU;463;KUINTAL;2023
;15;JAMBI;1572;DURIAN;2976;KUINTAL;2023
;15;JAMBI;1572;JENGKOL;80,2;KUINTAL;2023
;15;JAMBI;1572;JERUK;14607;KUINTAL;2023
;15;JAMBI;1572;MANGGIS;4166;KUINTAL;2023
;15;JAMBI;1572;NANAS;12;KUINTAL;2023
;15;JAMBI;1572;PISANG;4992,6;KUINTAL;2023
;15;JAMBI;1501;ALPUKAT;132639,4;KUINTAL;2024
;15;JAMBI;1501;DUKU;9306,90;KUINTAL;2024
;15;JAMBI;1501;DURIAN;58135;KUINTAL;2024
;15;JAMBI;1501;JENGKOL;2613,8;KUINTAL;2024
;15;JAMBI;1501;JERUK;403589;KUINTAL;2024
;15;JAMBI;1501;MANGGIS;113151,4;KUINTAL;2024
;15;JAMBI;1501;NANAS;105;KUINTAL;2024
