id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,sumber,persentase
1,15,JAMBI,1501,KEMENDAGRI,"8,3"
2,15,JAMBI,1502,KEMENDAGRI,"1,8"
3,15,JAMBI,1503,KEMENDAGRI,"5,4"
4,15,JAMBI,1504,KEMENDAGRI,9
5,15,JAMBI,1505,KEMENDAGRI,"1,8"
6,15,JAMBI,1507,KEMENDAGRI,"5,5"
7,15,JAMBI,1506,KEMENDAGRI,"4,7"
8,15,JAMBI,1509,KEMENDAGRI,"0,8"
9,15,JAMBI,1508,KEMENDAGRI,"1,6"
10,15,JAMBI,1571,KEMENDAGRI,"2,9"
11,15,JAMBI,1572,KEMENDAGRI,5
