id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;jumlah_produktivitas;satuan;tahun;
;15;JAMBI;1571;NANAS;2469,14;KUINTAL/HEKTAR;2022;
;15;JAMBI;1571;PISANG;287,16;KUINTAL/HEKTAR;2022;
;15;JAMBI;1572;ALPUKAT;127,67;KUINTAL/HEKTAR;2022;
;15;JAMBI;1572;DUKU;311,64;KUINTAL/HEKTAR;2022;
;15;JAMBI;1572;DURIAN;643,07;KUINTAL/HEKTAR;2022;
;15;JAMBI;1572;JENGKOL;40;KUINTAL/HEKTAR;2022;
;15;JAMBI;1572;JERUK;1076,3;KUINTAL/HEKTAR;2022;
;15;JAMBI;1572;MANGGIS;1076,3;KUINTAL/HEKTAR;2022;
;15;JAMBI;1572;NANAS;2068,97;KUINTAL/HEKTAR;2022;
;15;JAMBI;1572;PISANG;954,49;KUINTAL/HEKTAR;2022;
;15;JAMBI;1501;ALPUKAT;586,78;KUINTAL/HEKTAR;2023;
;15;JAMBI;1501;DUKU;427,91;KUINTAL/HEKTAR;2023;
;15;JAMBI;1501;DURIAN;500,77;KUINTAL/HEKTAR;2023;
;15;JAMBI;1501;JENGKOL;346,69;KUINTAL/HEKTAR;2023;
;15;JAMBI;1501;JERUK;1010,93;KUINTAL/HEKTAR;2023;
;15;JAMBI;1501;MANGGIS;465,41;KUINTAL/HEKTAR;2023;
;15;JAMBI;1501;NANAS;3900;KUINTAL/HEKTAR;2023;
;15;JAMBI;1501;PISANG;1149,89;KUINTAL/HEKTAR;2023;
;15;JAMBI;1502;ALPUKAT;182,84;KUINTAL/HEKTAR;2023;
;15;JAMBI;1502;DUKU;75,81;KUINTAL/HEKTAR;2023;
;15;JAMBI;1502;DURIAN;80,65;KUINTAL/HEKTAR;2023;
;15;JAMBI;1502;JENGKOL;95,03;KUINTAL/HEKTAR;2023;
;15;JAMBI;1502;JERUK;408,49;KUINTAL/HEKTAR;2023;
;15;JAMBI;1502;MANGGIS;97,55;KUINTAL/HEKTAR;2023;
;15;JAMBI;1502;NANAS;576,25;KUINTAL/HEKTAR;2023;
;15;JAMBI;1502;PISANG;482,89;KUINTAL/HEKTAR;2023;
;15;JAMBI;1503;ALPUKAT;51,71;KUINTAL/HEKTAR;2023;
;15;JAMBI;1503;DUKU;19,86;KUINTAL/HEKTAR;2023;
;15;JAMBI;1503;DURIAN;336,82;KUINTAL/HEKTAR;2023;
;15;JAMBI;1503;JENGKOL;109,4;KUINTAL/HEKTAR;2023;
;15;JAMBI;1503;JERUK;405,26;KUINTAL/HEKTAR;2023;
;15;JAMBI;1503;MANGGIS;44,71;KUINTAL/HEKTAR;2023;
;15;JAMBI;1503;NANAS;4225,31;KUINTAL/HEKTAR;2023;
;15;JAMBI;1503;PISANG;377,05;KUINTAL/HEKTAR;2023;
;15;JAMBI;1504;ALPUKAT;48,41;KUINTAL/HEKTAR;2023;
;15;JAMBI;1504;DUKU;31,84;KUINTAL/HEKTAR;2023;
;15;JAMBI;1504;DURIAN;104,53;KUINTAL/HEKTAR;2023;
;15;JAMBI;1504;JENGKOL;130,29;KUINTAL/HEKTAR;2023;
;15;JAMBI;1504;JERUK;604,39;KUINTAL/HEKTAR;2023;
;15;JAMBI;1504;MANGGIS;127,8;KUINTAL/HEKTAR;2023;
;15;JAMBI;1504;NANAS;2658,43;KUINTAL/HEKTAR;2023;
;15;JAMBI;1504;PISANG;1093,58;KUINTAL/HEKTAR;2023;
;15;JAMBI;1505;ALPUKAT;254,78;KUINTAL/HEKTAR;2023;
;15;JAMBI;1505;DUKU;84,7;KUINTAL/HEKTAR;2023;
;15;JAMBI;1505;DURIAN;74,08;KUINTAL/HEKTAR;2023;
;15;JAMBI;1505;JENGKOL;197,82;KUINTAL/HEKTAR;2023;
;15;JAMBI;1505;JERUK;799,68;KUINTAL/HEKTAR;2023;
;15;JAMBI;1505;MANGGIS;48,83;KUINTAL/HEKTAR;2023;
;15;JAMBI;1505;NANAS;4282,77;KUINTAL/HEKTAR;2023;
;15;JAMBI;1505;PISANG;481,05;KUINTAL/HEKTAR;2023;
;15;JAMBI;1506;ALPUKAT;870,59;KUINTAL/HEKTAR;2023;
;15;JAMBI;1506;DUKU;43,66;KUINTAL/HEKTAR;2023;
;15;JAMBI;1506;DURIAN;78,51;KUINTAL/HEKTAR;2023;
;15;JAMBI;1506;JENGKOL;106,52;KUINTAL/HEKTAR;2023;
;15;JAMBI;1506;JERUK;424,08;KUINTAL/HEKTAR;2023;
;15;JAMBI;1506;MANGGIS;258,35;KUINTAL/HEKTAR;2023;
;15;JAMBI;1506;NANAS;768,42;KUINTAL/HEKTAR;2023;
;15;JAMBI;1506;PISANG;1038,25;KUINTAL/HEKTAR;2023;
;15;JAMBI;1507;ALPUKAT;87,56;KUINTAL/HEKTAR;2023;
;15;JAMBI;1507;DUKU;157,16;KUINTAL/HEKTAR;2023;
;15;JAMBI;1507;DURIAN;317,06;KUINTAL/HEKTAR;2023;
;15;JAMBI;1507;JENGKOL;90,73;KUINTAL/HEKTAR;2023;
;15;JAMBI;1507;JERUK;358,33;KUINTAL/HEKTAR;2023;
;15;JAMBI;1507;MANGGIS;43,6;KUINTAL/HEKTAR;2023;
;15;JAMBI;1507;NANAS;1225,31;KUINTAL/HEKTAR;2023;
;15;JAMBI;1507;PISANG;377,66;KUINTAL/HEKTAR;2023;
;15;JAMBI;1508;ALPUKAT;99,43;KUINTAL/HEKTAR;2023;
;15;JAMBI;1508;DUKU;41,14;KUINTAL/HEKTAR;2023;
;15;JAMBI;1508;DURIAN;130,5;KUINTAL/HEKTAR;2023;
;15;JAMBI;1508;JENGKOL;56,54;KUINTAL/HEKTAR;2023;
;15;JAMBI;1508;JERUK;101,58;KUINTAL/HEKTAR;2023;
;15;JAMBI;1508;MANGGIS;196,64;KUINTAL/HEKTAR;2023;
;15;JAMBI;1508;NANAS;3995,68;KUINTAL/HEKTAR;2023;
;15;JAMBI;1508;PISANG;428,63;KUINTAL/HEKTAR;2023;
;15;JAMBI;1509;ALPUKAT;221,69;KUINTAL/HEKTAR;2023;
;15;JAMBI;1509;DUKU;163,28;KUINTAL/HEKTAR;2023;
;15;JAMBI;1509;DURIAN;165,37;KUINTAL/HEKTAR;2023;
;15;JAMBI;1509;JENGKOL;194,2;KUINTAL/HEKTAR;2023;
;15;JAMBI;1509;JERUK;1061,78;KUINTAL/HEKTAR;2023;
;15;JAMBI;1509;MANGGIS;156,39;KUINTAL/HEKTAR;2023;
;15;JAMBI;1509;NANAS;3694,15;KUINTAL/HEKTAR;2023;
;15;JAMBI;1509;PISANG;1307,77;KUINTAL/HEKTAR;2023;
;15;JAMBI;1571;ALPUKAT;130,92;KUINTAL/HEKTAR;2023;
;15;JAMBI;1571;DUKU;115,79;KUINTAL/HEKTAR;2023;
;15;JAMBI;1571;DURIAN;68,28;KUINTAL/HEKTAR;2023;
;15;JAMBI;1571;JENGKOL;189,74;KUINTAL/HEKTAR;2023;
;15;JAMBI;1571;JERUK;247,37;KUINTAL/HEKTAR;2023;
;15;JAMBI;1571;MANGGIS;409,52;KUINTAL/HEKTAR;2023;
;15;JAMBI;1571;NANAS;2523,81;KUINTAL/HEKTAR;2023;
;15;JAMBI;1571;PISANG;351,46;KUINTAL/HEKTAR;2023;
;15;JAMBI;1572;ALPUKAT;146,67;KUINTAL/HEKTAR;2023;
;15;JAMBI;1572;DUKU;291,19;KUINTAL/HEKTAR;2023;
;15;JAMBI;1572;DURIAN;630,51;KUINTAL/HEKTAR;2023;
;15;JAMBI;1572;JENGKOL;151,32;KUINTAL/HEKTAR;2023;
;15;JAMBI;1572;JERUK;1200,74;KUINTAL/HEKTAR;2023;
;15;JAMBI;1572;MANGGIS;207,47;KUINTAL/HEKTAR;2023;
;15;JAMBI;1572;NANAS;2068,97;KUINTAL/HEKTAR;2023;
;15;JAMBI;1572;PISANG;864,67;KUINTAL/HEKTAR;2023;
;15;JAMBI;1501;ALPUKAT;346,04;KUINTAL/HEKTAR;2024;
;15;JAMBI;1501;DUKU;586,08;KUINTAL/HEKTAR;2024;
;15;JAMBI;1501;DURIAN;514,97;KUINTAL/HEKTAR;2024;
;15;JAMBI;1501;JENGKOL;154,48;KUINTAL/HEKTAR;2024;
;15;JAMBI;1501;JERUK;929,40;KUINTAL/HEKTAR;2024;
;15;JAMBI;1501;MANGGIS;378,00;KUINTAL/HEKTAR;2024;
;15;JAMBI;1501;NANAS;5250,00;KUINTAL/HEKTAR;2024;
;15;JAMBI;1501;PISANG;794,44;KUINTAL/HEKTAR;2024;
;15;JAMBI;1502;ALPUKAT;155,16;KUINTAL/HEKTAR;2024;
;15;JAMBI;1502;DUKU;165,84;KUINTAL/HEKTAR;2024;
;15;JAMBI;1502;DURIAN;88,60;KUINTAL/HEKTAR;2024;
;15;JAMBI;1502;JENGKOL;134,45;KUINTAL/HEKTAR;2024;
;15;JAMBI;1502;JERUK;614,62;KUINTAL/HEKTAR;2024;
;15;JAMBI;1502;MANGGIS;86,90;KUINTAL/HEKTAR;2024;
;15;JAMBI;1502;NANAS;2728,88;KUINTAL/HEKTAR;2024;
;15;JAMBI;1502;PISANG;1076,82;KUINTAL/HEKTAR;2024;
;15;JAMBI;1503;ALPUKAT;59,92;KUINTAL/HEKTAR;2024;
;15;JAMBI;1503;DUKU;79,07;KUINTAL/HEKTAR;2024;
;15;JAMBI;1503;DURIAN;251,72;KUINTAL/HEKTAR;2024;
;15;JAMBI;1503;JENGKOL;148,05;KUINTAL/HEKTAR;2024;
;15;JAMBI;1503;JERUK;1001,37;KUINTAL/HEKTAR;2024;
;15;JAMBI;1503;MANGGIS;36,92;KUINTAL/HEKTAR;2024;
;15;JAMBI;1503;NANAS;5018,41;KUINTAL/HEKTAR;2024;
;15;JAMBI;1503;PISANG;360,63;KUINTAL/HEKTAR;2024;
;15;JAMBI;1504;ALPUKAT;110,91;KUINTAL/HEKTAR;2024;
;15;JAMBI;1504;DUKU;81,41;KUINTAL/HEKTAR;2024;
;15;JAMBI;1504;DURIAN;111,00;KUINTAL/HEKTAR;2024;
;15;JAMBI;1504;JENGKOL;89,37;KUINTAL/HEKTAR;2024;
;15;JAMBI;1504;JERUK;520,63;KUINTAL/HEKTAR;2024;
;15;JAMBI;1504;MANGGIS;150,00;KUINTAL/HEKTAR;2024;
;15;JAMBI;1504;NANAS;3101,11;KUINTAL/HEKTAR;2024;
;15;JAMBI;1504;PISANG;1451,52;KUINTAL/HEKTAR;2024;
;15;JAMBI;1505;ALPUKAT;223,65;KUINTAL/HEKTAR;2024;
;15;JAMBI;1505;DUKU;124,54;KUINTAL/HEKTAR;2024;
;15;JAMBI;1505;DURIAN;133,85;KUINTAL/HEKTAR;2024;
;15;JAMBI;1505;JENGKOL;154,19;KUINTAL/HEKTAR;2024;
;15;JAMBI;1505;JERUK;889,17;KUINTAL/HEKTAR;2024;
;15;JAMBI;1505;MANGGIS;68,32;KUINTAL/HEKTAR;2024;
;15;JAMBI;1505;NANAS;1747,93;KUINTAL/HEKTAR;2024;
;15;JAMBI;1505;PISANG;434,27;KUINTAL/HEKTAR;2024;
;15;JAMBI;1506;ALPUKAT;188,52;KUINTAL/HEKTAR;2024;
;15;JAMBI;1506;DUKU;134,09;KUINTAL/HEKTAR;2024;
;15;JAMBI;1506;DURIAN;37,96;KUINTAL/HEKTAR;2024;
;15;JAMBI;1506;JENGKOL;73,09;KUINTAL/HEKTAR;2024;
;15;JAMBI;1506;JERUK;39,36;KUINTAL/HEKTAR;2024;
;15;JAMBI;1506;MANGGIS;39,76;KUINTAL/HEKTAR;2024;
;15;JAMBI;1506;NANAS;878,99;KUINTAL/HEKTAR;2024;
