NO;kode_provinsi;kode_kabupaten_kota;nama;jumlah_produksi;satuan;tahun
128;15;1508;JANGUNG;6111.92;TON;2023
129;15;1508;KEDELAI;2399.95;TON;2023
130;15;1508;KACANG TANAH;82.76;TON;2023
131;15;1508;KACANG HIJAU;1.7;TON;2023
132;15;1508;UBI KAYU;4504.39;TON;2023
133;15;1508;UBI JALAR;641.74;TON;2023
134;15;1509;PADI;22228.19;TON;2023
135;15;1509;JANGUNG;4411.94;TON;2023
136;15;1509;KEDELAI;770.19;TON;2023
137;15;1509;KACANG TANAH;103.28;TON;2023
138;15;1509;KACANG HIJAU;12;TON;2023
139;15;1509;UBI KAYU;3546;TON;2023
140;15;1509;UBI JALAR;744.61;TON;2023
141;15;1571;PADI;1344.63;TON;2023
142;15;1571;JANGUNG;321.26;TON;2023
143;15;1571;KEDELAI;0;TON;2023
144;15;1571;KACANG TANAH;41.64;TON;2023
145;15;1571;KACANG HIJAU;1;TON;2023
146;15;1571;UBI KAYU;2020.57;TON;2023
147;15;1571;UBI JALAR;336.08;TON;2023
148;15;1572;PADI;28866.11;TON;2023
149;15;1572;JANGUNG;205.08;TON;2023
150;15;1572;KEDELAI;0;TON;2023
151;15;1572;KACANG TANAH;6.49;TON;2023
152;15;1572;KACANG HIJAU;0;TON;2023
153;15;1572;UBI KAYU;1577.94;TON;2023
154;15;1572;UBI JALAR;1252.33;TON;2023
