NO;kode_provinsi;nama_provinsi;kode_kabupaten;nama_kabupaten;komoditi;produktivitas;satuan;tahun
1;15;JAMBI;1502;MERANGIN;KOPI ARABICA;647;KG/HA;2022
2;15;JAMBI;1501;KERINCI;KOPI ARABICA;691;KG/HA;2022
3;15;JAMBI;1572;SUNGAI PENUH;KOPI ARABICA;402;KG/HA;2022
