id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;nama;alamat;tematik_dtw;tahun
31;15;JAMBI;1507;TANJUNG JABUNG TIMUR;MAKAM ORANG KAYO HITAM;-;WISATA BUDAYA;2024
32;15;JAMBI;1507;TANJUNG JABUNG TIMUR;MAKAM PUTRI JULAN;-;WISATA BUDAYA;2024
33;15;JAMBI;1508;BUNGO;MORA GARDEN;MUARABUNGO, JL.PUSO, KECAMATAN RIMBO TENGAH, KELURAHAN CADIKA;WISATA BUATAN;2024
34;15;JAMBI;1571;KOTA JAMBI;MUSEUM BIOSKOP JAMBI;JL. TEMPOA II NO 21 CEMPAKA PUTIH JELUTUNG;WISATA BUDAYA;2024
35;15;JAMBI;1507;TANJUNG JABUNG TIMUR;PERAHU KUNO;-;WISATA BUDAYA;2024
36;15;JAMBI;1503;SAROLANGUN;PONDOK BULUH BUKIT RAYO;DESA MUARA CUBAN KECAMATAN BATANG ASAI KABUPATEN SAROLANGUN;WISATA ALAM, WISATA BUATAN;2024
37;15;JAMBI;1501;KERINCI;RAWA BENTO;DESA JERNIH JAYA KECAMATAN GUNUNG TUJUH;WISATA ALAM;2024
38;15;JAMBI;1507;TANJUNG JABUNG TIMUR;SITUS MAKAM SITI HAWA;-;-;2024
39;15;JAMBI;1508;BUNGO;TAMAN KAPAL KOTA LINTAS;TAMAN KAPAL KOTA LINTAS, MUARABUNGO ;WISATA BUATAN;2024
40;15;JAMBI;1507;TANJUNG JABUNG TIMUR;TAMAN NASIONAL BERBAK DAN SEMBILANG;-;WISATA ALAM;2024
41;15;JAMBI;1501;KERINCI;TAMAN PERTIWI;DESA PENDUNG TALANG GENTING KECAMATAN DANAU KERINCI;WISATA BUATAN;2024
42;15;JAMBI;1508;BUNGO;TAMAN UTAKA SANAK;MUARABUNGO, KECAMATAN RIMBO TENGAH, KELURAHAN CADIKA.;WISATA BUATAN;2024
43;15;JAMBI;1571;KOTA JAMBI;TAMAN WISATA PEMANCINGAN DONOREJO;JL. DONOREJO RT.25 KEL. PASIR PUTIH KEC. JAMBI SELATAN;WISATA BUATAN;2024
44;15;JAMBI;1508;BUNGO;TAMAN WISATA TALIBA GARDEN;KECAMATAN BABEKO, KABUPATEN BUNGO, PROVINSI JAMBI ;WISATA BUATAN;2024
45;15;JAMBI;1571;KOTA JAMBI;TELANAIPURA GOLF CLUB;JL. A. THALIB KEL. PEMATANG SULUR;WISATA BUATAN;2024
46;15;JAMBI;1571;KOTA JAMBI;TEMPOA ART GALLERY;JL. TEMPOA II NO 21 CEMPAKA PUTIH JELUTUNG;WISATA BUDAYA;2024
47;15;JAMBI;1508;BUNGO;WISATA ALAM AIR TERJUN SUNGAI BESAR;RENAH SUNGAI BESAR, KECAMATAN LIMBUR LUBUK MENGKUANG;WISATA ALAM;2024
48;15;JAMBI;1506;TANJUNG JABUNG BARAT;WISATA DANAU JABUNG;DESA KUALA DASAL KECAMATAN TUNGKAL ULU KABUPATEN TANJUNG JABUNG BARAT;WISATA ALAM, WISATA BUATAN;2024
49;15;JAMBI;1506;TANJUNG JABUNG BARAT;WISATA PANTAI KELAPA MANGROVE;DESA TUNGKAL 1 PARIT 9;WISATA ALAM, WISATA BUATAN;2024
