No;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;nama_sekolah;tipe;jenjang_pendidikan;akreditasi;tahun_akreditasi;tahun_terbit_sertifikat_akreditasi;tahun_berakhir_sertifikat_akreditasi;status
38;15;JAMBI;1571;157107;SMAS PURNAMA;SWASTA;SMA;A;2023;04/12/2023;31/12/2028;Akreditasi 2023
39;15;JAMBI;1571;157103;SMAS UNGGUL SAKTI;SWASTA;SMA;A;2022;20/10/2022;20/10/2027;Akreditasi 2022
40;15;JAMBI;1571;157102;SMAS XAVERIUS 1;SWASTA;SMA;A;2022;06/12/2022;06/12/2027;Akreditasi 2022
41;15;JAMBI;1571;157101;SMAS XAVERIUS 2;SWASTA;SMA;A;2021;08/12/2021;31/12/2026;Akreditasi 2021
42;15;JAMBI;1571;157111;SMAS YADIKA;SWASTA;SMA;A;2022;06/12/2022;06/12/2027;Akreditasi 2022
43;15;JAMBI;1571;157103;SMAS YPWI MUSLIMAT;SWASTA;SMA;B;2020;15/12/2020;15/12/2025;Akreditasi 2020
44;15;JAMBI;1571;157109;SMAIT NURUL ILMI;SWASTA;SMA;B;2019;18/11/2019;18/11/2024;Rencana Akreditasi 2024
45;15;JAMBI;1571;157108;SMA SWASTA KARUNIA GLOBAL SCHOOL;SWASTA;SMA;TT;2021;11/11/2021;11/11/2026;Rencana Akreditasi 2024
46;15;JAMBI;1571;157101;SMA INSAN MADANI BOARDING SCHOOL JAMBI;SWASTA;SMA;C;2021;11/11/2021;11/11/2026;Akreditasi 2021
47;15;JAMBI;1571;157101;SMA IT AN-NAHL PERCIKAN IMAN JAMBI;SWASTA;SMA;BT;BT;0;0;Rencana Akreditasi 2024
48;15;JAMBI;1571;157101;SMKN 1 KOTA JAMBI;NEGERI;SMK;A;2022;31/12/2022;31/12/2027;Akreditasi 2022
49;15;JAMBI;1571;157102;SMKN 2 KOTA JAMBI;NEGERI;SMK;A;2022;31/12/2022;31/12/2027;Akreditasi 2022
50;15;JAMBI;1571;157109;SMKN 3 KOTA JAMBI;NEGERI;SMK;B;2022;31/12/2022;31/12/2027;Akreditasi 2022
51;15;JAMBI;1571;157110;SMKN 4 KOTA JAMBI;NEGERI;SMK;A;2021;08/12/2021;31/12/2026;Akreditasi 2021
52;15;JAMBI;1571;157106;SMK NEGERI 5 KOTA JAMBI;NEGERI;SMK;B;2023;04/12/2023;31/12/2028;Akreditasi 2023
53;15;JAMBI;1571;157111;SMKN 6 KOTA JAMBI;NEGERI;SMK;B;2023;21/11/2023;21/11/2028;Akreditasi 2023
54;15;JAMBI;1571;157110;SMK BAITURRAHIM;SWASTA;SMK;B;2023;04/12/2023;31/12/2028;Akreditasi 2023
55;15;JAMBI;1571;157111;SMK MAMBA UL ULUM;SWASTA;SMK;C;2023;12/12/2023;12/12/2028;Akreditasi 2023
56;15;JAMBI;1571;157103;SMK MUHAMMADIYAH KOTA JAMBI;SWASTA;SMK;B;2023;04/12/2023;31/12/2028;Akreditasi 2023
57;15;JAMBI;1571;157110;SMK REVANY INDRA PUTRA JAMBI;SWASTA;SMK;A;2023;04/12/2023;31/12/2028;Akreditasi 2023
58;15;JAMBI;1571;157103;SMK S TAMAN BUDAYA;SWASTA;SMK;C;2020;15/12/2020;15/12/2025;Akreditasi 2020
59;15;JAMBI;1571;157107;SMK SATRIA PUTRA BANGSA;SWASTA;SMK;C;2021;11/11/2021;11/11/2026;Akreditasi 2021
60;15;JAMBI;1571;157111;SMKS AL IRSYAD JAMBI;SWASTA;SMK;B;2021;08/12/2021;31/12/2026;Akreditasi 2021
61;15;JAMBI;1571;157109;SMKS BATANGHARI JAMBI;SWASTA;SMK;B;2023;21/11/2023;21/11/2028;Akreditasi 2023
62;15;JAMBI;1571;157108;SMKS DHARMA BHAKTI 1 JAMBI;SWASTA;SMK;B;2023;04/12/2023;31/12/2028;Akreditasi 2023
63;15;JAMBI;1571;157102;SMKS DHARMA BHAKTI 4 JAMBI;SWASTA;SMK;B;2021;08/12/2021;31/12/2026;Akreditasi 2021
64;15;JAMBI;1571;157102;SMKS HARAPAN BANGSA;SWASTA;SMK;B;2022;31/12/2022;31/12/2027;Akreditasi 2022
65;15;JAMBI;1571;157110;SMKS JAMBI IX LURAH 2;SWASTA;SMK;B;2022;31/12/2022;31/12/2027;Akreditasi 2022
66;15;JAMBI;1571;157107;SMKS KESEHATAN FANIA SALSABILA;SWASTA;SMK;A;2022;06/12/2022;06/12/2027;Akreditasi 2022
67;15;JAMBI;1571;157111;SMKS KELUARGA BUNDA JAMBI;SWASTA;SMK;B;2019;18/11/2019;18/11/2024;Rencana Akreditasi 2024
68;15;JAMBI;1571;157110;SMKS NUSANTARA JAMBI;SWASTA;SMK;B;2020;15/12/2020;15/12/2025;Akreditasi 2020
69;15;JAMBI;1571;157110;SMKS PGRI 1 JAMBI;SWASTA;SMK;B;2022;31/12/2022;31/12/2027;Akreditasi 2022
70;15;JAMBI;1571;157111;SMKS PGRI 2 JAMBI;SWASTA;SMK;A;2022;31/12/2022;31/12/2027;Akreditasi 2022
71;15;JAMBI;1571;157104;SMKS PRASASTI KARANG BERAHI JAMBI;SWASTA;SMK;C;2021;08/12/2021;31/12/2026;Akreditasi 2021
72;15;JAMBI;1571;157107;SMKS PURNAMA 1 JAMBI;SWASTA;SMK;B;2021;08/12/2021;31/12/2026;Akreditasi 2021
73;15;JAMBI;1571;157107;SMKS SATRIA JAMBI;SWASTA;SMK;B;2023;12/12/2023;12/12/2028;Akreditasi 2023
74;15;JAMBI;1571;157102;SMKS SURYA IBU JAMBI;SWASTA;SMK;C;2020;15/12/2020;15/12/2025;Akreditasi 2020
75;15;JAMBI;1571;157107;SMKS TARUNA INDONESIA JAMBI;SWASTA;SMK;B;2022;31/12/2022;31/12/2027;Akreditasi 2022
76;15;JAMBI;1571;157107;SMKS TEKNOLOGI PENERBANGAN INDONESIA JAMBI;SWASTA;SMK;C;2021;08/12/2021;31/12/2026;Akreditasi 2021
77;15;JAMBI;1571;157111;SMKS TERPADU PELITA RAYA;SWASTA;SMK;A;2021;08/12/2021;31/12/2026;Akreditasi 2021
78;15;JAMBI;1571;157103;SMKS UNGGUL SAKTI JAMBI;SWASTA;SMK;A;2022;31/12/2022;31/12/2027;Akreditasi 2022
79;15;JAMBI;1571;157103;SMKS VETERAN JAMBI;SWASTA;SMK;B;2021;08/12/2021;31/12/2026;Akreditasi 2021
80;15;JAMBI;1571;157111;SMKS YADIKA JAMBI;SWASTA;SMK;A;2023;21/11/2023;21/11/2028;Akreditasi 2023
81;15;JAMBI;1571;157108;SMK KRISTEN BINA KASIH;SWASTA;SMK;BT;BT;0;0;Rencana Akreditasi 2024
82;15;JAMBI;1571;157102;SLB NEGERI 1 KOTA JAMBI;NEGERI;SLB;B;2019;18/11/2019;18/11/2024;Rencana Akreditasi 2024
83;15;JAMBI;1571;157110;SLB NEGERI 2 KOTA JAMBI;NEGERI;SLB;A;2019;18/11/2019;18/11/2024;Rencana Akreditasi 2024
84;15;JAMBI;1571;157101;SLB PROF. DR. SRI SOEDEWI MASJCHUN SOFWAN, SH JAMB;NEGERI;SLB;A;2019;18/11/2019;18/11/2024;Rencana Akreditasi 2024
85;15;JAMBI;1571;157102;SLB HARAPAN MULIA;SWASTA;SLB;B;2019;18/11/2019;18/11/2024;Rencana Akreditasi 2024
86;15;JAMBI;1571;157103;SLBS BUNGONG JEUMPA KOTA JAMBI;SWASTA;SLB;C;2019;18/11/2019;18/11/2024;Rencana Akreditasi 2024
87;15;JAMBI;1571;157101;SLB BUAH HATI;SWASTA;SLB;B;2019;18/11/2019;18/11/2024;Rencana Akreditasi 2024
88;15;JAMBI;1571;157103;SLB UNGGUL SAKTI;SWASTA;SLB;C;2023;21/11/2023;21/11/2028;Akreditasi 2023
89;15;JAMBI;1571;157109;SLB MUTIARA;SWASTA;SLB;BT;BT;0;0;Rencana Akreditasi 2024
90;15;JAMBI;1505;150501;SMAN 1 MUARO JAMBI;NEGERI;SMA;A;2022;06/12/2022;06/12/2027;Akreditasi 2022
91;15;JAMBI;1505;150502;SMAN 2 MUARO JAMBI;NEGERI;SMA;A;2022;06/12/2022;06/12/2027;Akreditasi 2022
92;15;JAMBI;1505;150505;SMAN 3 MUARO JAMBI;NEGERI;SMA;A;2022;06/12/2022;06/12/2027;Akreditasi 2022
93;15;JAMBI;1505;150507;SMAN 4 MUARO JAMBI;NEGERI;SMA;A;2020;15/12/2020;15/12/2025;Akreditasi 2020
94;15;JAMBI;1505;150506;SMAN 5 MUARO JAMBI;NEGERI;SMA;B;2022;20/10/2022;20/10/2027;Akreditasi 2022
95;15;JAMBI;1505;150504;SMAN 6 MUARO JAMBI;NEGERI;SMA;A;2022;06/12/2022;06/12/2027;Akreditasi 2022
96;15;JAMBI;1505;150503;SMAN 7 MUARO JAMBI;NEGERI;SMA;B;2022;20/10/2022;20/10/2027;Akreditasi 2022
97;15;JAMBI;1505;150501;SMAN 8 MUARO JAMBI;NEGERI;SMA;A;2022;06/12/2022;06/12/2027;Akreditasi 2022
98;15;JAMBI;1505;150510;SMAN 9 MUARO JAMBI;NEGERI;SMA;A;2023;21/11/2023;21/11/2028;Akreditasi 2023
99;15;JAMBI;1505;150508;SMAN 10 MUARO JAMBI;NEGERI;SMA;A;2022;06/12/2022;06/12/2027;Akreditasi 2022
100;15;JAMBI;1505;150501;SMAN 11 MUARO JAMBI;NEGERI;SMA;B;2022;21/11/2022;21/11/2027;Akreditasi 2022
101;15;JAMBI;1505;150508;SMA 12 MUARO JAMBI;NEGERI;SMA;C;2021;08/12/2021;31/12/2026;Akreditasi 2021
102;15;JAMBI;1505;150505;SMAN 13 MUARO JAMBI;NEGERI;SMA;B;2022;21/11/2022;21/11/2027;Akreditasi 2022
103;15;JAMBI;1505;150509;SMAN 14 MUARO JAMBI;NEGERI;SMA;B;2022;21/11/2022;21/11/2027;Akreditasi 2022
104;15;JAMBI;1505;150505;SMAN 15 MUARO JAMBI;NEGERI;SMA;C;2019;18/11/2019;18/11/2024;Rencana Akreditasi 2024
105;15;JAMBI;1505;150502;SMAN 16 MUARO JAMBI;NEGERI;SMA;BT;BT;0;0;Rencana Akreditasi 2024
106;15;JAMBI;1505;150506;SMAN 17 MUARO JAMBI;NEGERI;SMA;BT;BT;0;0;Rencana Akreditasi 2024
107;15;JAMBI;1505;150501;SMAN TITIAN TERAS;NEGERI;SMA;A;2022;20/10/2022;20/10/2027;Akreditasi 2022
108;15;JAMBI;1505;150507;SMA ISLAM TERPADU AL IRSYAD;SWASTA;SMA;B;2023;04/12/2023;31/12/2028;Akreditasi 2023
109;15;JAMBI;1505;150506;SMAS DARMA PERTIWI;SWASTA;SMA;C;2021;08/12/2021;31/12/2026;Akreditasi 2021
110;15;JAMBI;1505;150505;SMAS ISLAM AL ARIEF;SWASTA;SMA;A;2022;06/12/2022;06/12/2027;Akreditasi 2022
111;15;JAMBI;1505;150505;SMAS ISLAM DARUL FIKRI;SWASTA;SMA;C;2022;21/11/2022;21/11/2027;Akreditasi 2022
112;15;JAMBI;1505;150506;SMAS ISLAM JAUHARUL FALAH;SWASTA;SMA;A;2022;20/10/2022;20/10/2027;Akreditasi 2022
113;15;JAMBI;1505;150508;SMAS YKI PETALING;SWASTA;SMA;C;2019;18/11/2019;18/11/2024;Rencana Akreditasi 2024
114;15;JAMBI;1505;150505;SMAS YP-SP3 3 MESTONG;SWASTA;SMA;C;2022;21/11/2022;21/11/2027;Akreditasi 2022
115;15;JAMBI;1505;150502;SMA IT AL HUJJAH AWIN JAMBI;SWASTA;SMA;B;2022;06/12/2022;06/12/2027;Akreditasi 2022
116;15;JAMBI;1505;150508;SMA ISLAM TARBIYATUL UMMAH;SWASTA;SMA;C;2023;28/04/2023;28/04/2028;Akreditasi 2023
117;15;JAMBI;1505;150502;SMKN 1 MUARO JAMBI;NEGERI;SMK;A;2021;08/12/2021;31/12/2026;Akreditasi 2021
118;15;JAMBI;1505;150507;SMKN 2 MUARO JAMBI;NEGERI;SMK;B;2021;08/12/2021;31/12/2026;Akreditasi 2021
119;15;JAMBI;1505;150511;SMKN 3 MUARO JAMBI;NEGERI;SMK;B;2021;08/12/2021;31/12/2026;Akreditasi 2021
120;15;JAMBI;1505;150501;SMKN 4 MUARO JAMBI;NEGERI;SMK;B;2023;04/12/2023;31/12/2028;Akreditasi 2023
121;15;JAMBI;1505;150503;SMKN 5 MUARO JAMBI;NEGERI;SMK;B;2021;08/12/2021;31/12/2026;Akreditasi 2021
122;15;JAMBI;1505;150509;SMKN 6 MUARO JAMBI;NEGERI;SMK;B;2023;04/12/2023;31/12/2028;Akreditasi 2023
123;15;JAMBI;1505;150507;SMKN 7 MUARO JAMBI;NEGERI;SMK;B;2021;08/12/2021;31/12/2026;Akreditasi 2021
124;15;JAMBI;1505;150505;SMKN 8 MUARO JAMBI;NEGERI;SMK;B;2022;31/12/2022;31/12/2027;Akreditasi 2022
125;15;JAMBI;1505;150501;SMKN 9 MUARO JAMBI;NEGERI;SMK;B;2021;08/12/2021;31/12/2026;Akreditasi 2021
126;15;JAMBI;1505;150508;SMK NEGERI 10 MUARO JAMBI;NEGERI;SMK;C;2021;08/12/2021;31/12/2026;Akreditasi 2021
127;15;JAMBI;1505;150504;SMK NEGERI 11 MUARO JAMBI;NEGERI;SMK;B;2022;31/12/2022;31/12/2027;Akreditasi 2022
128;15;JAMBI;1505;150505;SMK ASY ARIYAH;SWASTA;SMK;A;2023;21/11/2023;21/11/2028;Akreditasi 2023
129;15;JAMBI;1505;150502;SMKS ANNAJAH MUARO JAMBI;SWASTA;SMK;C;2021;08/12/2021;31/12/2026;Akreditasi 2021
130;15;JAMBI;1505;150506;SMKS DARMA PERTIWI;SWASTA;SMK;B;2021;08/12/2021;31/12/2026;Akreditasi 2021
131;15;JAMBI;1505;150505;SMKS ISLAM AL-ARIEF;SWASTA;SMK;C;2022;31/12/2022;31/12/2027;Akreditasi 2022
132;15;JAMBI;1505;150507;SMKS MUHAMMADIYAH SUNGAI BAHAR;SWASTA;SMK;B;2021;08/12/2021;31/12/2026;Akreditasi 2021
133;15;JAMBI;1505;150506;SMKS PONPES AL FAQIH MUARO JAMBI;SWASTA;SMK;C;2022;31/12/2022;31/12/2027;Akreditasi 2022
134;15;JAMBI;1505;150508;SMK SUDASIA MUARO JAMBI;SWASTA;SMK;BT;BT;0;0;Rencana Akreditasi 2024
