kode_provinsi ;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;data_pokok;tahun_ajaran;status;jenjang_pendidikan;jumlah
15;JAMBI;1508;150812;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1508;150812;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
15;JAMBI;1508;150812;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
15;JAMBI;1508;150812;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1508;150812;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1508;150812;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;1
15;JAMBI;1508;150804;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1508;150804;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
15;JAMBI;1508;150804;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
15;JAMBI;1508;150804;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1508;150804;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1508;150804;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1508;150816;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1508;150816;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
15;JAMBI;1508;150816;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
15;JAMBI;1508;150816;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1508;150816;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1508;150816;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1508;150807;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1508;150807;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;0
15;JAMBI;1508;150807;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
15;JAMBI;1508;150807;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1508;150807;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1508;150807;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1508;150808;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1508;150808;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
15;JAMBI;1508;150808;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
15;JAMBI;1508;150808;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1508;150808;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1508;150808;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1508;150806;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1508;150806;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
15;JAMBI;1508;150806;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;3
15;JAMBI;1508;150806;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;1
15;JAMBI;1508;150806;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1508;150806;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1508;150809;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1508;150809;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;2
15;JAMBI;1508;150809;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;2
15;JAMBI;1508;150809;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1508;150809;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;1
15;JAMBI;1508;150809;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1508;150802;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1508;150802;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
15;JAMBI;1508;150802;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
15;JAMBI;1508;150802;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1508;150802;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1508;150802;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1508;150813;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;1
15;JAMBI;1508;150813;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;4
15;JAMBI;1508;150813;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
15;JAMBI;1508;150813;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;1
15;JAMBI;1508;150813;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1508;150813;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1508;150805;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1508;150805;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;2
15;JAMBI;1508;150805;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
15;JAMBI;1508;150805;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1508;150805;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1508;150805;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1508;150817;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1508;150817;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;2
15;JAMBI;1508;150817;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
15;JAMBI;1508;150817;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1508;150817;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1508;150817;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1508;150801;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1508;150801;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;2
15;JAMBI;1508;150801;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
15;JAMBI;1508;150801;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1508;150801;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1508;150801;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1501;150105;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1501;150105;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1501;150105;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;0
15;JAMBI;1501;150105;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;1
15;JAMBI;1501;150105;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
15;JAMBI;1501;150105;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1501;150121;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1501;150121;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1501;150121;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
15;JAMBI;1501;150121;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1501;150121;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
15;JAMBI;1501;150121;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;1
15;JAMBI;1501;150111;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1501;150111;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;1
15;JAMBI;1501;150111;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;2
15;JAMBI;1501;150111;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1501;150111;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
15;JAMBI;1501;150111;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1501;150107;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1501;150107;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1501;150107;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;2
15;JAMBI;1501;150107;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1501;150107;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
15;JAMBI;1501;150107;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1501;150120;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1501;150120;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1501;150120;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
15;JAMBI;1501;150120;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1501;150120;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
15;JAMBI;1501;150120;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1501;150102;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1501;150102;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
