no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kategori;tahun;"jumlah
"
94;15;JAMBI;1506;WISATA NUSANTARA;2019;14.76
95;15;JAMBI;1507;WISATA NUSANTARA;2019;9.525
97;15;JAMBI;1501;WISATA NUSANTARA;2020;186.825
98;15;JAMBI;1572;WISATA NUSANTARA;2020;15.512
99;15;JAMBI;1502;WISATA NUSANTARA;2020;90.931
100;15;JAMBI;1503;WISATA NUSANTARA;2020;54.328
101;15;JAMBI;1508;WISATA NUSANTARA;2020;84.747
102;15;JAMBI;1509;WISATA NUSANTARA;2020;94.764
103;15;JAMBI;1504;WISATA NUSANTARA;2020;3.433
104;15;JAMBI;1505;WISATA NUSANTARA;2020;60.6
105;15;JAMBI;1571;WISATA NUSANTARA;2020;295.945
106;15;JAMBI;1506;WISATA NUSANTARA;2020;44.468
107;15;JAMBI;1507;WISATA NUSANTARA;2020;25.678
109;15;JAMBI;1501;WISATA NUSANTARA;2021;252.324
110;15;JAMBI;1572;WISATA NUSANTARA;2021;10.693
111;15;JAMBI;1502;WISATA NUSANTARA;2021;246.939
112;15;JAMBI;1503;WISATA NUSANTARA;2021;93.873
113;15;JAMBI;1508;WISATA NUSANTARA;2021;184.863
114;15;JAMBI;1509;WISATA NUSANTARA;2021;162.808
115;15;JAMBI;1504;WISATA NUSANTARA;2021;3.244
116;15;JAMBI;1505;WISATA NUSANTARA;2021;85.8
117;15;JAMBI;1571;WISATA NUSANTARA;2021;268.309
118;15;JAMBI;1506;WISATA NUSANTARA;2021;25.164
119;15;JAMBI;1507;WISATA NUSANTARA;2021;38.974
120;15;JAMBI;1501;WISATA NUSANTARA;2022;317.234
121;15;JAMBI;1572;WISATA NUSANTARA;2022;116.687
122;15;JAMBI;1502;WISATA NUSANTARA;2022;202.512
123;15;JAMBI;1503;WISATA NUSANTARA;2022;93.976
124;15;JAMBI;1508;WISATA NUSANTARA;2022;209.863
125;15;JAMBI;1509;WISATA NUSANTARA;2022;259.149
126;15;JAMBI;1504;WISATA NUSANTARA;2022;364.984
127;15;JAMBI;1505;WISATA NUSANTARA;2022;120.9
128;15;JAMBI;1571;WISATA NUSANTARA;2022;539.669
129;15;JAMBI;1506;WISATA NUSANTARA;2022;25.012
130;15;JAMBI;1507;WISATA NUSANTARA;2022;59.517
