id;kode_provinsi;nama_provinsi;hari_tanggal;waktu;lokasi;organisasi;tuntutan;pemecahan_masalah;instan_terkait;keterangan;;
13;15;JAMBI;"Jumat
17        Maret
2023";"Jam 12.00
s/d selesai";Kantor Gubernur Jambi;"Aliansi   Pemantau  Kesejahteraan Masyarakat Jambi (APKM-JAMBI) di Kantor Gubernur dengan masa
± 15 orang Jambi";"-Meminta  semua  data  (tahun  2020  s.d 2022) penggunaan dana APBN atau dari sumber   dana   lainnya   terkait   program DUMISAKE   untuk   141   kecamatan   di provinsi jambi.
-meminta  DUMISAKE  dihentikan  karna tidak ada manfaatnya.
-Meminta data (tahun 2020 s.d 2022) dan
pertanggung  jawaban  penggunaan  dana atas program DUMISAKE";Akan ditindak lanjuti;-;Aman dan terkendali;;
14;15;JAMBI;"Senin
20        Maret
2023";"Jam 10.00
s/d selesai";Kantor Gubernur Jambi;Aliansi   Pemantau  Kesejahteraan Masyarakat Jambi (APKM-JAMBI) dengan  masa  ±  12  orang    dan BEM  Nusantara  Jambi  di  Kantor Gubernur  Jambi.  dengan  masa  ± 50 orang;"Aliansi        Pemantau        Kesejahteraan Masyarakat       Jambi       (APKM-JAMBI) dengan   tuntutan   meminta   DUMISAKE dihentikan  karna  tidak  ada  manfaatnya dan   BEM   Nusantara   Jambi   di   Kantor Gubernur  Jambi.  dengan  tuntutan  agar Pemprov  Jambi  untuk  memberhentikan Operasioanl   Pengangkutan   Batu   Bara
sebelum jalur Kendaraan Angkutan Batu Bara direalisasikan";Akan ditindak lanjuti;Diterima oleh : - Asisten III Setda Provinsi Jambi;Aman dan terkendali;;
15;15;JAMBI;"Jumat
24        Maret
2023";"Jam
09.00  s/d Selesai";Kantor     Sat Pol  PP  dan Damkar Prov. Jambi;Lembaga perlindungan konsumen nusantara    inedonesia.    Dengan masa ± 26 orang.;Menuntut          pemberantasan          dan pemusnahan   pakaian   bekas   impor   di Provinsi Jambi.;"Akan ditindalanjuti namun pihak Pol menjalankan tugas dan tupoksi pada Satpol PP dan Damkar Provinsi
Jambi";"Diterima oleh : Kabid Trantibum dan Kabid PPUD Sat Pol PP dan Damkar Provinsi
Jambi";Aman dan terkendali;;
16;15;JAMBI;"Selasa
28        Maret
2023";"Jam
09.00  s/d Selesai";Kantor Gubernur Jambi;Lembaga perlindungan konsumen nusantara     Indonesia     (LPKNI). Dengan masa ± 27 orang.;Menuntut  copot  Kasat  Pol  PP  beserta Kabid-kabid  Pol  PP atas  tidak melakuka Tindakan yang semestinya  yang padahal dapat         mereka         lakukan         atas pemberantasan       dan       pemusnahan pakaian bekas impor;Akan             ditindalanjuti namun        pihak        Pol menjalankan   tugas   dan tupoksi  pada  Satpol  PP dan     Damkar     Provinsi Jambi;Diterima oleh : Sekretaris  SatPol PP dan Damkar Provinsi Jambi;Aman dan terkendali;;
17;15;JAMBI;"Kamis
30        Maret
2023";"Jam 11.00
s/d selesai";"Kantor DPRD
Provinsi Jambi";Forum   Guru   Prioritas   Pertama Swasta dan Negeri Provinsi Jambi dengan masa ± 200 orang Jambi;Maksimalkan formasi PPPK 2023/Angkat jadi status PPPK;Akan    diajukan    sesuai dengan kebutuhan;Diterima oleh : Komisi IV DPRD Provinsi Jambi;Aman dan terkendali;;
18;15;JAMBI;"Rabu
05          April
2023";"Jam 13.30
s/d selesai";"Kantor Gubernur dan    Kantor DPRD
Provinsi Jambi";Bem  Nusantara  Jambi  di  Kantor Gubernur     Jambi     dan    Kantor DPRD  Provinsi  Jambi.     dengan masa ± 200 orang Jambi;Revolusi Tolak Ciptaker Wakil Rakyat;Diadakan  koordinasi  dan akan dilaporkan ke ketua dan    keanggota    dewan melalui   rapat   paripurna dan Akan ditindak lanjuti;"Diterima oleh
:sekretaris DPRD provinsi jambi";"Sedikit anarkis namun bisa teratasi aman   dan
kendali";;
19;15;JAMBI;"Kamis
06          April
2023";"Jam 13.30
s/d selesai";"Kantor Gubernur dan    Kantor DPRD
Provinsi Jambi";Bem  Nusantara  Jambi  di  Kantor Gubernur     Jambi     dan    Kantor DPRD  Provinsi  Jambi.     dengan masa ± 200 orang Jambi;Revolusi Tolak Ciptaker Wakil Rakyat;Akan ditindak lanjuti;Diterima oleh : ketua DPRD provinsi jambi;"Sedikit anarkis namun bisa teratasi
aman   dan kendali";;
20;15;JAMBI;"Senin
10          April
2023";"Jam 13.30
s/d selesai";"Kantor DPRD
Provinsi Jambi";Aliansi  Mahasiswa  Jambi  Kantor DPRD  Provinsi  Jambi.     dengan masa ± 250 orang;"-   Tolak UU Cipta Kerja
-   Evaluasi Kinerja Ketua DPRD Provinsi Jambi
-   Tolak    diskriminasi     dan    eksplotasi terhadap perempuan";-;Aspirasi para pengunjukrasa tidak ada yang menerima;"Sedikit anarkis saling berdorong an  dengan apparat namun bisa teratasi
aman   dan kendali";;
21;15;JAMBI;"Kamis 13 april
2023";"Jam 14.00
s/d selesai";"Kantor DPRD
Provinsi Jambi";Aliansi  Mahasiswa  Jambi  Kantor DPRD  Provinsi  Jambi.     dengan masa ± 150 orang;Merealisasikan tuntutan kami (demonstran) yaitu total undang-undang cipta kerja dan evaluasi kinerja anggota dewan;Akan ditindak lanjuti;Diterima oleh : Kasubag humas DPRD provinsi jambi;Aman dan terkendali;;
22;15;JAMBI;"Jum’at 14 april
2023";"Jam 15.00
s/d selesai";"Kantor DPRD
Provinsi Jambi";Aliansi  Mahasiswa  Jambi  Kantor DPRD  Provinsi  Jambi.     dengan masa ± 150 orang;"-   Tolak UU Cipta Kerja
-   Evaluasi kinerja Anggota
-   Dewan/menemui Anggota Dewan";Tidak ada yang menerima;Diterima oleh : Kasubag humas DPRD provinsi jambi;"Sedikit anarkis namun bisa teratasi aman   dan
kendali";;
23;15;JAMBI;"Senin
01 Mei 2023";"Jam 11.15
s/d selesai";"Kantor Gubernur dan    Kantor DPRD
Provinsi Jambi";Partai   buruh   provinsi   jambi   di Kantor     Gubernur     Jambi     dan Kantor    DPRD    Provinsi    Jambi. dengan masa ± 50 orang Jambi;"- Cabut UU cipta kerja
- Tolak RUU Kesehatan
- Sahkan RUU pekerja rumah tangga
- Jalankan reformasi agraria
- Pilih persiden peduli kaum buruh
- Tolak parlementary treshpold 4%
- Usut tuntas tindakkan kekerasan dalam aksi tolak UU kerja tanggal 10- 04-2023";-;-;Aman dan terkendali;;
24;15;JAMBI;"Rabu
10 Mei 2023";"Jam 11.15
s/d selesai";Kantor Gubernur Jambi;Konferensi Serikat Buruh Sejahtra Indonesia    di    Kantor    Gubernur Jambi;"- Upah/gaji buruh bulan maret 2023 belum dibayar
- THR tahun 2023 tidak diberikan tentang status hukum buruh yang
sudah D.E gultom (ketua)";Menuggu orator;Diterima oleh : Asisten II gubernur jambi bapak Iskandar nasution;Aman dan terkendali;;
25;15;JAMBI;"kamis
11 Mei 2023";"Jam 11.00
s/d selesai";Kantor Gubernur Jambi;Konferensi Serikat Buruh Sejahtra Indonesia   (Lanjutan)   di   Kantor Gubernur Jambi;Mendesak pemprov (gub) DPRD provinsi jambi terhadap perda rtrw khususnya di kab tanjabar;;Diterima oleh : Sekda             dan Asisten   gubernur jambi;Aman dan terkendali;;
26;15;JAMBI;"Rabu
24 Mei 2023";"Jam 10.50
s/d selesai";Kantor Gubernur Jambi;Gerakan mahasiswa nasional Indonesia (gmni) di kantor gubernur Jambi;"-   Meminta gubeRnur jambi untuk menuntaskan permasalahan truk batu bara diprovinsi jambi
-   meminta gubernur jambi utnuk melaksanakan program revorma agraria sejati
-   meminta gubernur jambi menuntaskan program kerjanya yaitu jambi mantap karna bnyak yang belum terealisasi
Penanggulangan batu bara yang belum terealisasi dan masalah";Diajak duduk Bersama untuk membahas terkait tuntutan aksi;"Diterima       oleh
:asisten              II
(hojansyah) didampingi sekretaris   dishub provinsi jambi";Aman dan terkendali;;
27;15;JAMBI;"Senin
05 juni 2023";"Jam 10.00
s/d selesai";Kantor Gubernur Jambi;Koordinator   Daerah   F.   Hukatan KSBSI  Provinsi  Jambi  di  Kantor Gubernur Jambi.   dengan masa ± 200 orang Jambi;"- Perluas perkebunan karet di provisi jambi
- Buka lapangan kerja baru bagi buruh perusahaan karet yang sudah di phk
- Beri Bantuan Pada Petani Karet  Di Provinsi Jambi";-;"Diterima    oleh    :
Asisten               II
Perekonomian Dan Pembangunan(H ojansyah) Didampingi   kadis Perkebunan   Dan Naskentran provinsi jambi";Aman dan terkendali;;
28;15;JAMBI;"rabu
07 juni 2023";"Jam 10.00
s/d selesai";Kantor Gubernur Jambi;Perjuangan  Serikat  Tani  Nelayan Bersama Kth Betung Bersatu, Kth Rimbo  Betung,  Kth  Alam  Lestari dan       Kth      Talang      Betanag Kecamatan   Kumpeh   Kabupaten Muaro  Jambi.     dengan  masa  ± 500 orang Jambi;"- Meminta Kanwil Bpn Provinsi Jambi Dan Gubernur Jambi Memebuat Surat Pencabutan Sk Hgu, Pt Riky Kurnia Kertapersada
- Meminta Dishub Provinsi Jambi Memproses Pengajuan Hutan Sosial 4 Kth
- Meminta Pemerintah Menindak Tegas Yang Mereugikan Jhon/Jon Akbar";-;"Diterima   oleh   : Asisten  III  Setda Prov   Jbi,    Kadis Hut,  Kepala  Bpn, Kepala         Dinas Perkebunan Asisten              III
(Jangcik Moza)";Aman dan terkendali;;
29;15;JAMBI;"Kamis
15 Juni 2023";"Jam 10.00
s/d selesai";"Kantor Gubernur dan    Kantor DPRD
Provinsi Jambi";Petani    Mahasiswa    dan    Kelas Bekerja  Bersatu.  dengan  masa  ± 800 orang Jambi;"- kembalikan lahan masyarakat yang di tikar gulung
- kembalikan lahan prusahaan kepada ahli waris yang terkena HGU
- menanyakan padapemkab muaro jambi dan Batanghari mengenai masalah tersebut
- melakukan peninjauan terhadap masalah tersebut. Melalui hukum denga penelitian dan mencari data- data sengketa itu
- membawah masalah tersebut kemetrian polhukam
- memproses masalah ini sampai selesai.";-;Diterima   oleh   : Asisten  III  Setda Prov Jbi, (Jangcik Moza);Aman dan terkendali;;
30;15;JAMBI;"kamis
13 juli 2023";"Jam 10.00
s/d selesai";Kantor Gubernur Jambi;Forum  Pemantau  Anggaran  dan Pembangunan     Jambi     Budget Monitoring      dan      Development Jambi      (FPAPJ)      Di      Kantor Gubernur Jambi.   dengan masa ± 200 orang Jambi;Memintak penjelasan pengeluaran tentang perjalanan dinas pada waktu covid 19;-;-;Aman dan terkendali;;
31;15;JAMBI;"senin
17 juli 2023";"Jam 09.00
s/d selesai";Kantor Gubernur Jambi;Gerakkan     rakayat     menggugat jambi.   dengan  masa  ±  30  orang Jambi;"- mempertanyakan status lahan pramuka
- meminta kejelasan kep GUB NO 102/Keb GUB/HKM-2-1/2020
- mengenai PT Indo Sawh";Diajak duduk Bersama untuk membahas terkait tuntutan aksi;Diterima   oleh   : Asisten    III    biro administrasi (Jangcik Moza);Aman dan terkendali;;
32;15;JAMBI;"Kamis
20 juli 2023";"Jam 10.00
s/d selesai";Kantor Gubernur Jambi;Lsm    Indonesia   morality    wach. dengan masa ± 25 orang Jambi;Menuntut ketegasan bapak gubernur mengenai ppdb 2023 yang tidak berpihak kepada masyarakat;-;-;Aman dan terkendali;;
33;15;JAMBI;"Kamis
31 juli 2023";"Jam 10.00
s/d selesai";"Kantor DPRD
Provinsi Jambi";Gerakkan masyarakat selamatkan jambi;Diminta menyikapi silpa dan devisit APBD selama 2 tahun terakhir mencapai ratusan milyar;disampaikan kebagian banggar;"Diterima oleh :
-        Zadni Aisyah/bagian persidangan DPRD provinsi jambi
-     Pak rusdi anggota dewan komisi II Kamaludin Afiz
anggota dewan";Aman dan terkendali;;
34;15;JAMBI;"rabu
02     agustus
2023";"Jam 10.00
s/d selesai";"Rumah dinas gubernur jambi      dan Kantor DPRD
provinsi Jambi";LSN    lentera    nasional     Daulat rakyat  (LNDR).    dengan  masa  ± 15 orang;"-  Meminta diknas dan sekolah harus transparan terkait jumlah nilai yang diterima disekolah
-  Meminta tegas permainan oknum kepala sekolah nakal dalam penerimaan PPDB
-  Meminta berdayakan anak berprestasi nilai tinggi, tanpqa embel-embel jalur yang merugikan anak bangsa yang cerdas
-  Meminta agar Bersama-sama menghitung siswa yang terjaring online didalam kelas";-;"Diterima oleh :
Di DPRD yang menerima komisi IV, ketua badan kesbang. Tidak ada yang menerima dirumah dinas gubernur jambi";Aman dan terkendali;;
35;15;JAMBI;"rabu
03     agustus
2023";"Jam 10.00
s/d selesai";"Kantor Gubernur dan    Kantor DPRD
Provinsi Jambi";Forum  Mahasiswa  Dan  Pemuda Desa   Sungai   Bungur      dengan masa ± 100 orang;"-  Mendesak kepada pt. phl dan pembibitan kud usaha berkah serta kud mekar jaya, untuk dapat mengembalikan Kembali Sebagian lahan sk tol
-  Meminta kepada ketua DPRD prov jambi, gub jambi untuk segera melakukan indetifikasi lanjutan terhadap lahan sk- tol msyarakat desa sungai bungur yang belum
terindetifikasi";-;;Aman dan terkendali;;
36;15;JAMBI;"rabu
07     agustus
2023";"Jam 09.00
s/d selesai";"Kantor Gubernur dan    Kantor DPRD
Provinsi Jambi";LSN    lentera    nasional     Daulat rakyat  (LNDR).    dengan  masa  ± 15 orang;"-  Trasparasisi jumlah nilai
-  Ditndak tegas hutang masalah tersebut
-  Berdasarkan anak berprestasi
-  Menghitung siswa terjaring online";-;"Diterima oleh :
(padli) komisi iv/z. (z. herman) KADIS";Aman dan terkendali;;
