id;kode_provinsi;nama_provinsi;jenis_kekerasan_dan_status_perkara_kelayen;kekerasan_dan_status_perkara;kekerasan_pada_anak;jumlah;tahun;;;;;;;;;;;;;;;;;;
57;15;JAMBI;STATUS PERKARA KELAYEN;MASUK RUMAH PERLINDUNGAN;LAKI-LAKI;0;2023;;;;;;;;;;;;;;;;;;
58;15;JAMBI;STATUS PERKARA KELAYEN;MASUK RUMAH PERLINDUNGAN;PEREMPUAN;0;2023;;;;;;;;;;;;;;;;;;
59;15;JAMBI;STATUS PERKARA KELAYEN;RUJUK KE RSPA;LAKI-LAKI;7;2023;;;;;;;;;;;;;;;;;;
60;15;JAMBI;STATUS PERKARA KELAYEN;RUJUK KE RSPA;PEREMPUAN;3;2023;;;;;;;;;;;;;;;;;;
61;15;JAMBI;JENIS KEKERASAN;FISIK;LAKI-LAKI;11;2024;;;;;;;;;;;;;;;;;;
62;15;JAMBI;JENIS KEKERASAN;FISIK;PEREMPUAN;6;2024;;;;;;;;;;;;;;;;;;
63;15;JAMBI;JENIS KEKERASAN;PSIKIS;LAKI-LAKI;18;2024;;;;;;;;;;;;;;;;;;
64;15;JAMBI;JENIS KEKERASAN;PSIKIS;PEREMPUAN;73;2024;;;;;;;;;;;;;;;;;;
65;15;JAMBI;JENIS KEKERASAN;SEKSUAL;LAKI-LAKI;8;2024;;;;;;;;;;;;;;;;;;
66;15;JAMBI;JENIS KEKERASAN;SEKSUAL;PEREMPUAN;64;2024;;;;;;;;;;;;;;;;;;
67;15;JAMBI;JENIS KEKERASAN;PENELANTARAN;LAKI-LAKI;0;2024;;;;;;;;;;;;;;;;;;
68;15;JAMBI;JENIS KEKERASAN;PENELANTARAN;PEREMPUAN;0;2024;;;;;;;;;;;;;;;;;;
69;15;JAMBI;STATUS PERKARA KELAYEN;PROSES HUKUM;LAKI-LAKI;17;2024;;;;;;;;;;;;;;;;;;
70;15;JAMBI;STATUS PERKARA KELAYEN;PROSES HUKUM;PEREMPUAN;55;2024;;;;;;;;;;;;;;;;;;
71;15;JAMBI;STATUS PERKARA KELAYEN;PENGUNDURAN DIRI;LAKI-LAKI;0;2024;;;;;;;;;;;;;;;;;;
72;15;JAMBI;STATUS PERKARA KELAYEN;PENGUNDURAN DIRI;PEREMPUAN;0;2024;;;;;;;;;;;;;;;;;;
73;15;JAMBI;STATUS PERKARA KELAYEN;PENGUNDURAN DIRI TANPA PEMBERITAHUAN;LAKI-LAKI;0;2024;;;;;;;;;;;;;;;;;;
74;15;JAMBI;STATUS PERKARA KELAYEN;PENGUNDURAN DIRI TANPA PEMBERITAHUAN;PEREMPUAN;0;2024;;;;;;;;;;;;;;;;;;
75;15;JAMBI;STATUS PERKARA KELAYEN;"MASIH
 DALAM PROSES HUKUM";LAKI-LAKI;17;2024;;;;;;;;;;;;;;;;;;
