id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;jenis_bencana;tanggal_kejadian;kondisi_kerusakan;satuan;jumlah_kejadian; jumlah_kerugian 
46;15;JAMBI;1508;150809;BANJIR;02/01/2022;RUMAH RUSAK BERAT;UNIT;0; Rp- 
47;15;JAMBI;1508;150809;BANJIR;02/01/2022;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
48;15;JAMBI;1508;150809;BANJIR;02/01/2022;RUMAH TERENDAM;UNIT;0; Rp- 
49;15;JAMBI;1508;150808;BANJIR;02/01/2022;RUMAH RUSAK BERAT;UNIT;0; Rp- 
50;15;JAMBI;1508;150808;BANJIR;02/01/2022;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
51;15;JAMBI;1508;150808;BANJIR;02/01/2022;RUMAH TERENDAM;UNIT;0; Rp- 
52;15;JAMBI;1508;150808;BANJIR;02/01/2022;RUMAH RUSAK BERAT;UNIT;0; Rp- 
53;15;JAMBI;1508;150808;BANJIR;02/01/2022;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
54;15;JAMBI;1508;150808;BANJIR;02/01/2022;RUMAH TERENDAM;UNIT;0; Rp- 
55;15;JAMBI;1508;150812;BANJIR;02/01/2022;RUMAH RUSAK BERAT;UNIT;0; Rp- 
56;15;JAMBI;1508;150812;BANJIR;02/01/2022;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
57;15;JAMBI;1508;150812;BANJIR;02/01/2022;RUMAH TERENDAM;UNIT;0; Rp- 
58;15;JAMBI;1508;150812;BANJIR;02/01/2022;RUMAH RUSAK BERAT;UNIT;0; Rp- 
59;15;JAMBI;1508;150812;BANJIR;02/01/2022;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
60;15;JAMBI;1508;150812;BANJIR;02/01/2022;RUMAH TERENDAM;UNIT;0; Rp- 
61;15;JAMBI;1508;150803;BANJIR;02/01/2022;RUMAH RUSAK BERAT;UNIT;0; Rp- 
62;15;JAMBI;1508;150803;BANJIR;02/01/2022;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
63;15;JAMBI;1508;150803;BANJIR;02/01/2022;RUMAH TERENDAM;UNIT;0; Rp- 
64;15;JAMBI;1508;150803;BANJIR;02/01/2022;RUMAH RUSAK BERAT;UNIT;0; Rp- 
65;15;JAMBI;1508;150803;BANJIR;02/01/2022;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
66;15;JAMBI;1508;150803;BANJIR;02/01/2022;RUMAH TERENDAM;UNIT;0; Rp- 
67;15;JAMBI;1508;150803;BANJIR;02/01/2022;RUMAH RUSAK BERAT;UNIT;0; Rp- 
68;15;JAMBI;1508;150803;BANJIR;02/01/2022;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
69;15;JAMBI;1508;150803;BANJIR;02/01/2022;RUMAH TERENDAM;UNIT;0; Rp- 
70;15;JAMBI;1508;150803;BANJIR;02/01/2022;RUMAH RUSAK BERAT;UNIT;0; Rp- 
71;15;JAMBI;1508;150803;BANJIR;02/01/2022;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
72;15;JAMBI;1508;150803;BANJIR;02/01/2022;RUMAH TERENDAM;UNIT;0; Rp- 
73;15;JAMBI;1508;150811;BANJIR;02/01/2022;RUMAH RUSAK BERAT;UNIT;0; Rp- 
74;15;JAMBI;1508;150811;BANJIR;02/01/2022;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
75;15;JAMBI;1508;150811;BANJIR;02/01/2022;RUMAH TERENDAM;UNIT;0; Rp- 
76;15;JAMBI;1508;150811;BANJIR;02/01/2022;RUMAH RUSAK BERAT;UNIT;0; Rp- 
77;15;JAMBI;1508;150811;BANJIR;02/01/2022;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
78;15;JAMBI;1508;150811;BANJIR;02/01/2022;RUMAH TERENDAM;UNIT;0; Rp- 
79;15;JAMBI;1508;150811;BANJIR;02/01/2022;RUMAH RUSAK BERAT;UNIT;0; Rp- 
80;15;JAMBI;1508;150811;BANJIR;02/01/2022;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
81;15;JAMBI;1508;150811;BANJIR;02/01/2022;RUMAH TERENDAM;UNIT;0; Rp- 
82;15;JAMBI;1508;150811;BANJIR;02/01/2022;RUMAH RUSAK BERAT;UNIT;0; Rp- 
83;15;JAMBI;1508;150811;BANJIR;02/01/2022;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
84;15;JAMBI;1508;150811;BANJIR;02/01/2022;RUMAH TERENDAM;UNIT;0; Rp- 
85;15;JAMBI;1508;150805;BANJIR;02/01/2022;RUMAH RUSAK BERAT;UNIT;0; Rp- 
86;15;JAMBI;1508;150805;BANJIR;02/01/2022;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
87;15;JAMBI;1508;150805;BANJIR;02/01/2022;RUMAH TERENDAM;UNIT;0; Rp- 
88;15;JAMBI;1508;150805;BANJIR;02/01/2022;RUMAH RUSAK BERAT;UNIT;0; Rp- 
89;15;JAMBI;1508;150805;BANJIR;02/01/2022;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
90;15;JAMBI;1508;150805;BANJIR;02/01/2022;RUMAH TERENDAM;UNIT;0; Rp- 
91;15;JAMBI;1508;150805;BANJIR;02/01/2022;RUMAH RUSAK BERAT;UNIT;0; Rp- 
92;15;JAMBI;1508;150805;BANJIR;02/01/2022;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
93;15;JAMBI;1508;150805;BANJIR;02/01/2022;RUMAH TERENDAM;UNIT;0; Rp- 
94;15;JAMBI;1508;150805;BANJIR;02/01/2022;RUMAH RUSAK BERAT;UNIT;0; Rp- 
95;15;JAMBI;1508;150805;BANJIR;02/01/2022;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
96;15;JAMBI;1508;150805;BANJIR;02/01/2022;RUMAH TERENDAM;UNIT;0; Rp- 
97;15;JAMBI;1508;150805;BANJIR;02/01/2022;RUMAH RUSAK BERAT;UNIT;0; Rp- 
98;15;JAMBI;1508;150805;BANJIR;02/01/2022;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
99;15;JAMBI;1508;150805;BANJIR;02/01/2022;RUMAH TERENDAM;UNIT;0; Rp- 
100;15;JAMBI;1508;150805;BANJIR;02/01/2022;RUMAH RUSAK BERAT;UNIT;0; Rp- 
101;15;JAMBI;1508;150805;BANJIR;02/01/2022;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
102;15;JAMBI;1508;150805;BANJIR;02/01/2022;RUMAH TERENDAM;UNIT;0; Rp- 
103;15;JAMBI;1508;150805;BANJIR;02/01/2022;RUMAH RUSAK BERAT;UNIT;0; Rp- 
104;15;JAMBI;1508;150805;BANJIR;02/01/2022;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
105;15;JAMBI;1508;150805;BANJIR;02/01/2022;RUMAH TERENDAM;UNIT;0; Rp- 
106;15;JAMBI;1508;150804;BANJIR;02/01/2022;RUMAH RUSAK BERAT;UNIT;0; Rp- 
107;15;JAMBI;1508;150804;BANJIR;02/01/2022;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
108;15;JAMBI;1508;150804;BANJIR;02/01/2022;RUMAH TERENDAM;UNIT;0; Rp- 
109;15;JAMBI;1508;150804;BANJIR;02/01/2022;RUMAH RUSAK BERAT;UNIT;0; Rp- 
110;15;JAMBI;1508;150804;BANJIR;02/01/2022;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
111;15;JAMBI;1508;150804;BANJIR;02/01/2022;RUMAH TERENDAM;UNIT;0; Rp- 
112;15;JAMBI;1508;150804;BANJIR;02/01/2022;RUMAH RUSAK BERAT;UNIT;0; Rp- 
113;15;JAMBI;1508;150804;BANJIR;02/01/2022;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
114;15;JAMBI;1508;150804;BANJIR;02/01/2022;RUMAH TERENDAM;UNIT;0; Rp- 
115;15;JAMBI;1508;150816;BANJIR;02/01/2022;RUMAH RUSAK BERAT;UNIT;0; Rp- 
116;15;JAMBI;1508;150816;BANJIR;02/01/2022;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
117;15;JAMBI;1508;150816;BANJIR;02/01/2022;RUMAH TERENDAM;UNIT;0; Rp- 
118;15;JAMBI;1508;150801;BANJIR;02/01/2022;RUMAH RUSAK BERAT;UNIT;0; Rp- 
119;15;JAMBI;1508;150801;BANJIR;02/01/2022;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
120;15;JAMBI;1508;150801;BANJIR;02/01/2022;RUMAH TERENDAM;UNIT;0; Rp- 
121;15;JAMBI;1508;150814;TANAH LONGSOR;05/01/2022;RUMAH RUSAK BERAT;UNIT;0; Rp- 
122;15;JAMBI;1508;150814;TANAH LONGSOR;05/01/2022;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
123;15;JAMBI;1508;150814;TANAH LONGSOR;05/01/2022;RUMAH TERENDAM;UNIT;0; Rp- 
124;15;JAMBI;1508;150814;TANAH LONGSOR;05/01/2022;RUMAH RUSAK BERAT;UNIT;0; Rp- 
125;15;JAMBI;1508;150814;TANAH LONGSOR;05/01/2022;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
126;15;JAMBI;1508;150814;TANAH LONGSOR;05/01/2022;RUMAH TERENDAM;UNIT;0; Rp- 
127;15;JAMBI;1502;150202;KEBAKARAN PEMUKIMAN;17/01/2022;RUMAH RUSAK BERAT;UNIT;0;Rp600.000.000
128;15;JAMBI;1502;150202;KEBAKARAN PEMUKIMAN;17/01/2022;RUMAH RUSAK RINGAN;UNIT;0;Rp600.000.000
129;15;JAMBI;1502;150202;KEBAKARAN PEMUKIMAN;17/01/2022;RUMAH TERENDAM;UNIT;0;Rp600.000.000
130;15;JAMBI;1502;150202;TANAH LONGSOR;22/01/2022;RUMAH RUSAK BERAT;UNIT;0;Rp20.000.000
131;15;JAMBI;1502;150202;TANAH LONGSOR;22/01/2022;RUMAH RUSAK RINGAN;UNIT;0;Rp20.000.000
132;15;JAMBI;1502;150202;TANAH LONGSOR;22/01/2022;RUMAH TERENDAM;UNIT;0;Rp20.000.000
133;15;JAMBI;1506;150607;KEBAKARAN PEMUKIMAN;29/01/2022;RUMAH RUSAK BERAT;UNIT;0;Rp50.000
134;15;JAMBI;1506;150607;KEBAKARAN PEMUKIMAN;29/01/2022;RUMAH RUSAK RINGAN;UNIT;0;Rp50.000
135;15;JAMBI;1506;150607;KEBAKARAN PEMUKIMAN;29/01/2022;RUMAH TERENDAM;UNIT;0;Rp50.000
136;15;JAMBI;1506;150602;KEBAKARAN PEMUKIMAN;31/01/2022;RUMAH RUSAK BERAT;UNIT;0;Rp1.000.000
137;15;JAMBI;1506;150602;KEBAKARAN PEMUKIMAN;31/01/2022;RUMAH RUSAK RINGAN;UNIT;6;Rp1.000.000
138;15;JAMBI;1506;150602;KEBAKARAN PEMUKIMAN;31/01/2022;RUMAH TERENDAM;UNIT;0;Rp1.000.000
139;15;JAMBI;1507;150703;KEBAKARAN PEMUKIMAN;19/01/2022;RUMAH RUSAK BERAT;UNIT;0; Rp- 
140;15;JAMBI;1507;150703;KEBAKARAN PEMUKIMAN;19/01/2022;RUMAH RUSAK RINGAN;UNIT;8; Rp- 
141;15;JAMBI;1507;150703;KEBAKARAN PEMUKIMAN;19/01/2022;RUMAH TERENDAM;UNIT;0; Rp- 
142;15;JAMBI;1501;150101;KEBAKARAN PEMUKIMAN;07/01/2022;RUMAH RUSAK BERAT;UNIT;0;Rp15.000.000
143;15;JAMBI;1501;150101;KEBAKARAN PEMUKIMAN;07/01/2022;RUMAH RUSAK RINGAN;UNIT;1;Rp15.000.000
144;15;JAMBI;1501;150101;KEBAKARAN PEMUKIMAN;07/01/2022;RUMAH TERENDAM;UNIT;0;Rp15.000.000
145;15;JAMBI;1501;150106;BANJIR;16/01/2022;RUMAH RUSAK BERAT;UNIT;0;Rp3.000.000
146;15;JAMBI;1501;150106;BANJIR;16/01/2022;RUMAH RUSAK RINGAN;UNIT;0;Rp3.000.000
147;15;JAMBI;1501;150106;BANJIR;16/01/2022;RUMAH TERENDAM;UNIT;0;Rp3.000.000
148;15;JAMBI;1501;150116;BANJIR;23/01/2022;RUMAH RUSAK BERAT;UNIT;0;Rp8.000.000
149;15;JAMBI;1501;150116;BANJIR;23/01/2022;RUMAH RUSAK RINGAN;UNIT;0;Rp8.000.000
150;15;JAMBI;1501;150116;BANJIR;23/01/2022;RUMAH TERENDAM;UNIT;0;Rp8.000.000
151;15;JAMBI;1504;150403;KEBAKARAN PEMUKIMAN;17/01/2022;RUMAH RUSAK BERAT;UNIT;0;Rp50.000.000
152;15;JAMBI;1504;150403;KEBAKARAN PEMUKIMAN;17/01/2022;RUMAH RUSAK RINGAN;UNIT;0;Rp50.000.000
153;15;JAMBI;1504;150403;KEBAKARAN PEMUKIMAN;17/01/2022;RUMAH TERENDAM;UNIT;0;Rp50.000.000
154;15;JAMBI;1504;150402;KEBAKARAN PEMUKIMAN;24/01/2022;RUMAH RUSAK BERAT;UNIT;0;Rp50.000.000
155;15;JAMBI;1504;150402;KEBAKARAN PEMUKIMAN;24/01/2022;RUMAH RUSAK RINGAN;UNIT;0;Rp50.000.000
156;15;JAMBI;1504;150402;KEBAKARAN PEMUKIMAN;24/01/2022;RUMAH TERENDAM;UNIT;0;Rp50.000.000
157;15;JAMBI;1504;150405;ANGIN PUTING BELIUNG;24/01/2022;RUMAH RUSAK BERAT;UNIT;0;Rp20.000.000
158;15;JAMBI;1504;150405;ANGIN PUTING BELIUNG;24/01/2022;RUMAH RUSAK RINGAN;UNIT;0;Rp20.000.000
159;15;JAMBI;1504;150405;ANGIN PUTING BELIUNG;24/01/2022;RUMAH TERENDAM;UNIT;0;Rp20.000.000
160;15;JAMBI;1505;150501;KEBAKARAN PEMUKIMAN;15/01/2022;RUMAH RUSAK BERAT;UNIT;0; Rp- 
161;15;JAMBI;1505;150501;KEBAKARAN PEMUKIMAN;15/01/2022;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
162;15;JAMBI;1505;150501;KEBAKARAN PEMUKIMAN;15/01/2022;RUMAH TERENDAM;UNIT;0; Rp- 
163;15;JAMBI;1501;150118;BANJIR;01/02/2022;RUMAH RUSAK BERAT;UNIT;0;Rp7.500.000
164;15;JAMBI;1501;150118;BANJIR;01/02/2022;RUMAH RUSAK RINGAN;UNIT;0;Rp7.500.000
165;15;JAMBI;1501;150118;BANJIR;01/02/2022;RUMAH TERENDAM;UNIT;0;Rp7.500.000
