id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;tanggal_kejadian;keterangan;satuan;jumlah_kejadian; jumlah_kerugian 
68;15;JAMBI;1507;150708;05/06/2024;RUMAH RR;UNIT;0; Rp- 
69;15;JAMBI;1507;150708;05/06/2024;RUMAH TERENDAM;UNIT;0; Rp- 
70;15;JAMBI;1507;150708;05/06/2024;SARANA PENDIDIKAN;UNIT;0; Rp- 
71;15;JAMBI;1507;150708;05/06/2024;SARANA IBADAH;UNIT;0; Rp- 
72;15;JAMBI;1507;150708;05/06/2024;SARANA KESEHATAN;UNIT;0; Rp- 
73;15;JAMBI;1507;150708;05/06/2024;PERKANTORAN;UNIT;0; Rp- 
74;15;JAMBI;1507;150708;05/06/2024;BANGUNAN LAIN;UNIT;0; Rp- 
75;15;JAMBI;1507;150708;05/06/2024;JEMBATAN;UNIT;0; Rp- 
76;15;JAMBI;1507;150708;05/06/2024;JALAN;KM;0; Rp- 
77;15;JAMBI;1507;150708;05/06/2024;SAWAH;HA;0; Rp- 
78;15;JAMBI;1507;150708;05/06/2024;KEBUN/HUTAN;HA;0; Rp- 
79;15;JAMBI;1507;150708;05/06/2024;KOLAM;HA;0; Rp- 
80;15;JAMBI;1507;150708;05/06/2024;IRIGASI;HA;0; Rp- 
81;15;JAMBI;1507;150709;07/06/2024;MENINGGAL;JIWA;0;Rp15.000.000
82;15;JAMBI;1507;150709;07/06/2024;HILANG;JIWA;0;Rp15.000.000
83;15;JAMBI;1507;150709;07/06/2024;LUKA;JIWA;0;Rp15.000.000
84;15;JAMBI;1507;150709;07/06/2024;MENDERITA;JIWA;0;Rp15.000.000
85;15;JAMBI;1507;150709;07/06/2024;MENGUNGSI;JIWA;0;Rp15.000.000
86;15;JAMBI;1507;150709;07/06/2024;RUMAH RB;UNIT;0;Rp15.000.000
87;15;JAMBI;1507;150709;07/06/2024;RUMAH RS;UNIT;0;Rp15.000.000
88;15;JAMBI;1507;150709;07/06/2024;RUMAH RR;UNIT;0;Rp15.000.000
89;15;JAMBI;1507;150709;07/06/2024;RUMAH TERENDAM;UNIT;0;Rp15.000.000
90;15;JAMBI;1507;150709;07/06/2024;SARANA PENDIDIKAN;UNIT;0;Rp15.000.000
91;15;JAMBI;1507;150709;07/06/2024;SARANA IBADAH;UNIT;0;Rp15.000.000
92;15;JAMBI;1507;150709;07/06/2024;SARANA KESEHATAN;UNIT;0;Rp15.000.000
93;15;JAMBI;1507;150709;07/06/2024;PERKANTORAN;UNIT;0;Rp15.000.000
94;15;JAMBI;1507;150709;07/06/2024;BANGUNAN LAIN;UNIT;0;Rp15.000.000
95;15;JAMBI;1507;150709;07/06/2024;JEMBATAN;UNIT;0;Rp15.000.000
96;15;JAMBI;1507;150709;07/06/2024;JALAN;KM;0;Rp15.000.000
97;15;JAMBI;1507;150709;07/06/2024;SAWAH;HA;0;Rp15.000.000
98;15;JAMBI;1507;150709;07/06/2024;KEBUN/HUTAN;HA;0;Rp15.000.000
99;15;JAMBI;1507;150709;07/06/2024;KOLAM;HA;0;Rp15.000.000
100;15;JAMBI;1507;150709;07/06/2024;IRIGASI;HA;0;Rp15.000.000
101;15;JAMBI;1507;150703;08/06/2024;MENINGGAL;JIWA;0; Rp- 
102;15;JAMBI;1507;150703;08/06/2024;HILANG;JIWA;0; Rp- 
103;15;JAMBI;1507;150703;08/06/2024;LUKA;JIWA;0; Rp- 
104;15;JAMBI;1507;150703;08/06/2024;MENDERITA;JIWA;0; Rp- 
105;15;JAMBI;1507;150703;08/06/2024;MENGUNGSI;JIWA;0; Rp- 
106;15;JAMBI;1507;150703;08/06/2024;RUMAH RB;UNIT;0; Rp- 
107;15;JAMBI;1507;150703;08/06/2024;RUMAH RS;UNIT;0; Rp- 
108;15;JAMBI;1507;150703;08/06/2024;RUMAH RR;UNIT;0; Rp- 
109;15;JAMBI;1507;150703;08/06/2024;RUMAH TERENDAM;UNIT;0; Rp- 
110;15;JAMBI;1507;150703;08/06/2024;SARANA PENDIDIKAN;UNIT;0; Rp- 
111;15;JAMBI;1507;150703;08/06/2024;SARANA IBADAH;UNIT;0; Rp- 
112;15;JAMBI;1507;150703;08/06/2024;SARANA KESEHATAN;UNIT;0; Rp- 
113;15;JAMBI;1507;150703;08/06/2024;PERKANTORAN;UNIT;0; Rp- 
114;15;JAMBI;1507;150703;08/06/2024;BANGUNAN LAIN;UNIT;0; Rp- 
115;15;JAMBI;1507;150703;08/06/2024;JEMBATAN;UNIT;0; Rp- 
116;15;JAMBI;1507;150703;08/06/2024;JALAN;KM;0; Rp- 
117;15;JAMBI;1507;150703;08/06/2024;SAWAH;HA;0; Rp- 
118;15;JAMBI;1507;150703;08/06/2024;KEBUN/HUTAN;HA;0; Rp- 
119;15;JAMBI;1507;150703;08/06/2024;KOLAM;HA;0; Rp- 
120;15;JAMBI;1507;150703;08/06/2024;IRIGASI;HA;0; Rp- 
121;15;JAMBI;1506;150602;13/06/2024;MENINGGAL;JIWA;0; Rp- 
122;15;JAMBI;1506;150602;13/06/2024;HILANG;JIWA;0; Rp- 
123;15;JAMBI;1506;150602;13/06/2024;LUKA;JIWA;0; Rp- 
124;15;JAMBI;1506;150602;13/06/2024;MENDERITA;JIWA;0; Rp- 
125;15;JAMBI;1506;150602;13/06/2024;MENGUNGSI;JIWA;0; Rp- 
126;15;JAMBI;1506;150602;13/06/2024;RUMAH RB;UNIT;0; Rp- 
127;15;JAMBI;1506;150602;13/06/2024;RUMAH RS;UNIT;0; Rp- 
128;15;JAMBI;1506;150602;13/06/2024;RUMAH RR;UNIT;0; Rp- 
129;15;JAMBI;1506;150602;13/06/2024;RUMAH TERENDAM;UNIT;0; Rp- 
130;15;JAMBI;1506;150602;13/06/2024;SARANA PENDIDIKAN;UNIT;0; Rp- 
131;15;JAMBI;1506;150602;13/06/2024;SARANA IBADAH;UNIT;0; Rp- 
132;15;JAMBI;1506;150602;13/06/2024;SARANA KESEHATAN;UNIT;0; Rp- 
133;15;JAMBI;1506;150602;13/06/2024;PERKANTORAN;UNIT;0; Rp- 
134;15;JAMBI;1506;150602;13/06/2024;BANGUNAN LAIN;UNIT;0; Rp- 
135;15;JAMBI;1506;150602;13/06/2024;JEMBATAN;UNIT;0; Rp- 
136;15;JAMBI;1506;150602;13/06/2024;JALAN;KM;0; Rp- 
137;15;JAMBI;1506;150602;13/06/2024;SAWAH;HA;0; Rp- 
138;15;JAMBI;1506;150602;13/06/2024;KEBUN/HUTAN;HA;0; Rp- 
139;15;JAMBI;1506;150602;13/06/2024;KOLAM;HA;0; Rp- 
140;15;JAMBI;1506;150602;13/06/2024;IRIGASI;HA;0; Rp- 
141;15;JAMBI;1506;150603;14/06/2024;MENINGGAL;JIWA;0; Rp- 
142;15;JAMBI;1506;150603;14/06/2024;HILANG;JIWA;0; Rp- 
143;15;JAMBI;1506;150603;14/06/2024;LUKA;JIWA;0; Rp- 
144;15;JAMBI;1506;150603;14/06/2024;MENDERITA;JIWA;0; Rp- 
145;15;JAMBI;1506;150603;14/06/2024;MENGUNGSI;JIWA;0; Rp- 
146;15;JAMBI;1506;150603;14/06/2024;RUMAH RB;UNIT;0; Rp- 
147;15;JAMBI;1506;150603;14/06/2024;RUMAH RS;UNIT;0; Rp- 
148;15;JAMBI;1506;150603;14/06/2024;RUMAH RR;UNIT;0; Rp- 
149;15;JAMBI;1506;150603;14/06/2024;RUMAH TERENDAM;UNIT;0; Rp- 
150;15;JAMBI;1506;150603;14/06/2024;SARANA PENDIDIKAN;UNIT;0; Rp- 
151;15;JAMBI;1506;150603;14/06/2024;SARANA IBADAH;UNIT;0; Rp- 
152;15;JAMBI;1506;150603;14/06/2024;SARANA KESEHATAN;UNIT;0; Rp- 
153;15;JAMBI;1506;150603;14/06/2024;PERKANTORAN;UNIT;0; Rp- 
154;15;JAMBI;1506;150603;14/06/2024;BANGUNAN LAIN;UNIT;0; Rp- 
155;15;JAMBI;1506;150603;14/06/2024;JEMBATAN;UNIT;0; Rp- 
156;15;JAMBI;1506;150603;14/06/2024;JALAN;KM;0; Rp- 
157;15;JAMBI;1506;150603;14/06/2024;SAWAH;HA;0; Rp- 
158;15;JAMBI;1506;150603;14/06/2024;KEBUN/HUTAN;HA;0; Rp- 
159;15;JAMBI;1506;150603;14/06/2024;KOLAM;HA;0; Rp- 
160;15;JAMBI;1506;150603;14/06/2024;IRIGASI;HA;0; Rp- 
161;15;JAMBI;1507;150702;22/06/2024;MENINGGAL;JIWA;0;Rp200.000.000
162;15;JAMBI;1507;150702;22/06/2024;HILANG;JIWA;0;Rp200.000.000
163;15;JAMBI;1507;150702;22/06/2024;LUKA;JIWA;0;Rp200.000.000
164;15;JAMBI;1507;150702;22/06/2024;MENDERITA;JIWA;0;Rp200.000.000
165;15;JAMBI;1507;150702;22/06/2024;MENGUNGSI;JIWA;0;Rp200.000.000
166;15;JAMBI;1507;150702;22/06/2024;RUMAH RB;UNIT;0;Rp200.000.000
167;15;JAMBI;1507;150702;22/06/2024;RUMAH RS;UNIT;0;Rp200.000.000
168;15;JAMBI;1507;150702;22/06/2024;RUMAH RR;UNIT;0;Rp200.000.000
169;15;JAMBI;1507;150702;22/06/2024;RUMAH TERENDAM;UNIT;0;Rp200.000.000
170;15;JAMBI;1507;150702;22/06/2024;SARANA PENDIDIKAN;UNIT;0;Rp200.000.000
171;15;JAMBI;1507;150702;22/06/2024;SARANA IBADAH;UNIT;0;Rp200.000.000
172;15;JAMBI;1507;150702;22/06/2024;SARANA KESEHATAN;UNIT;0;Rp200.000.000
173;15;JAMBI;1507;150702;22/06/2024;PERKANTORAN;UNIT;0;Rp200.000.000
174;15;JAMBI;1507;150702;22/06/2024;BANGUNAN LAIN;UNIT;0;Rp200.000.000
175;15;JAMBI;1507;150702;22/06/2024;JEMBATAN;UNIT;0;Rp200.000.000
176;15;JAMBI;1507;150702;22/06/2024;JALAN;KM;0;Rp200.000.000
177;15;JAMBI;1507;150702;22/06/2024;SAWAH;HA;0;Rp200.000.000
178;15;JAMBI;1507;150702;22/06/2024;KEBUN/HUTAN;HA;0;Rp200.000.000
179;15;JAMBI;1507;150702;22/06/2024;KOLAM;HA;0;Rp200.000.000
180;15;JAMBI;1507;150702;22/06/2024;IRIGASI;HA;0;Rp200.000.000
1000;15;JAMBI;1506;150604;01/07/2024;MENINGGAL;JIWA;0; Rp- 
1001;15;JAMBI;1506;150604;01/07/2024;HILANG;JIWA;0; Rp- 
1002;15;JAMBI;1506;150604;01/07/2024;LUKA;JIWA;0; Rp- 
1003;15;JAMBI;1506;150604;01/07/2024;MENDERITA;JIWA;0; Rp- 
1004;15;JAMBI;1506;150604;01/07/2024;MENGUNGSI;JIWA;0; Rp- 
1005;15;JAMBI;1506;150604;01/07/2024;RUMAH RB;UNIT;0; Rp- 
1006;15;JAMBI;1506;150604;01/07/2024;RUMAH RS;UNIT;0; Rp- 
1007;15;JAMBI;1506;150604;01/07/2024;RUMAH RR;UNIT;0; Rp- 
1008;15;JAMBI;1506;150604;01/07/2024;RUMAH TERENDAM;UNIT;0; Rp- 
1009;15;JAMBI;1506;150604;01/07/2024;SARANA PENDIDIKAN;UNIT;0; Rp- 
1010;15;JAMBI;1506;150604;01/07/2024;SARANA IBADAH;UNIT;0; Rp- 
1011;15;JAMBI;1506;150604;01/07/2024;SARANA KESEHATAN;UNIT;0; Rp- 
1012;15;JAMBI;1506;150604;01/07/2024;PERKANTORAN;UNIT;0; Rp- 
1013;15;JAMBI;1506;150604;01/07/2024;BANGUNAN LAIN;UNIT;0; Rp- 
1014;15;JAMBI;1506;150604;01/07/2024;JEMBATAN;UNIT;0; Rp- 
1015;15;JAMBI;1506;150604;01/07/2024;JALAN;KM;0; Rp- 
1016;15;JAMBI;1506;150604;01/07/2024;SAWAH;HA;0; Rp- 
1017;15;JAMBI;1506;150604;01/07/2024;KEBUN/HUTAN;HA;2; Rp- 
1018;15;JAMBI;1506;150604;01/07/2024;KOLAM;HA;0; Rp- 
1019;15;JAMBI;1506;150604;01/07/2024;IRIGASI;HA;0; Rp- 
1080;15;JAMBI;1501;150118;02/07/2024;MENINGGAL;JIWA;0; Rp- 
1081;15;JAMBI;1501;150118;02/07/2024;HILANG;JIWA;0; Rp- 
1082;15;JAMBI;1501;150118;02/07/2024;LUKA;JIWA;0; Rp- 
1083;15;JAMBI;1501;150118;02/07/2024;MENDERITA;JIWA;581; Rp- 
1084;15;JAMBI;1501;150118;02/07/2024;MENGUNGSI;JIWA;0; Rp- 
1085;15;JAMBI;1501;150118;02/07/2024;RUMAH RB;UNIT;0; Rp- 
1086;15;JAMBI;1501;150118;02/07/2024;RUMAH RS;UNIT;0; Rp- 
1087;15;JAMBI;1501;150118;02/07/2024;RUMAH RR;UNIT;0; Rp- 
1088;15;JAMBI;1501;150118;02/07/2024;RUMAH TERENDAM;UNIT;203; Rp- 
1089;15;JAMBI;1501;150118;02/07/2024;SARANA PENDIDIKAN;UNIT;0; Rp- 
1090;15;JAMBI;1501;150118;02/07/2024;SARANA IBADAH;UNIT;0; Rp- 
1091;15;JAMBI;1501;150118;02/07/2024;SARANA KESEHATAN;UNIT;0; Rp- 
1092;15;JAMBI;1501;150118;02/07/2024;PERKANTORAN;UNIT;0; Rp- 
1093;15;JAMBI;1501;150118;02/07/2024;BANGUNAN LAIN;UNIT;0; Rp- 
1094;15;JAMBI;1501;150118;02/07/2024;JEMBATAN;UNIT;0; Rp- 
1095;15;JAMBI;1501;150118;02/07/2024;JALAN;KM;0; Rp- 
1096;15;JAMBI;1501;150118;02/07/2024;SAWAH;HA;0; Rp- 
1097;15;JAMBI;1501;150118;02/07/2024;KEBUN/HUTAN;HA;0; Rp- 
1098;15;JAMBI;1501;150118;02/07/2024;KOLAM;HA;0; Rp- 
1099;15;JAMBI;1501;150118;02/07/2024;IRIGASI;HA;0; Rp- 
1100;15;JAMBI;1501;150121;02/07/2024;MENINGGAL;JIWA;0; Rp- 
1101;15;JAMBI;1501;150121;02/07/2024;HILANG;JIWA;0; Rp- 
1102;15;JAMBI;1501;150121;02/07/2024;LUKA;JIWA;0; Rp- 
1103;15;JAMBI;1501;150121;02/07/2024;MENDERITA;JIWA;16; Rp- 
1104;15;JAMBI;1501;150121;02/07/2024;MENGUNGSI;JIWA;0; Rp- 
1105;15;JAMBI;1501;150121;02/07/2024;RUMAH RB;UNIT;0; Rp- 
1106;15;JAMBI;1501;150121;02/07/2024;RUMAH RS;UNIT;0; Rp- 
1107;15;JAMBI;1501;150121;02/07/2024;RUMAH RR;UNIT;0; Rp- 
1108;15;JAMBI;1501;150121;02/07/2024;RUMAH TERENDAM;UNIT;5; Rp- 
1109;15;JAMBI;1501;150121;02/07/2024;SARANA PENDIDIKAN;UNIT;0; Rp- 
1110;15;JAMBI;1501;150121;02/07/2024;SARANA IBADAH;UNIT;0; Rp- 
1111;15;JAMBI;1501;150121;02/07/2024;SARANA KESEHATAN;UNIT;0; Rp- 
1112;15;JAMBI;1501;150121;02/07/2024;PERKANTORAN;UNIT;0; Rp- 
1113;15;JAMBI;1501;150121;02/07/2024;BANGUNAN LAIN;UNIT;0; Rp- 
1114;15;JAMBI;1501;150121;02/07/2024;JEMBATAN;UNIT;0; Rp- 
1115;15;JAMBI;1501;150121;02/07/2024;JALAN;KM;0; Rp- 
1116;15;JAMBI;1501;150121;02/07/2024;SAWAH;HA;0; Rp- 
1117;15;JAMBI;1501;150121;02/07/2024;KEBUN/HUTAN;HA;0; Rp- 
1118;15;JAMBI;1501;150121;02/07/2024;KOLAM;HA;0; Rp- 
1119;15;JAMBI;1501;150121;02/07/2024;IRIGASI;HA;0; Rp- 
1120;15;JAMBI;1501;150106;02/07/2024;MENINGGAL;JIWA;0; Rp- 
1121;15;JAMBI;1501;150106;02/07/2024;HILANG;JIWA;0; Rp- 
1122;15;JAMBI;1501;150106;02/07/2024;LUKA;JIWA;0; Rp- 
1123;15;JAMBI;1501;150106;02/07/2024;MENDERITA;JIWA;0; Rp- 
1124;15;JAMBI;1501;150106;02/07/2024;MENGUNGSI;JIWA;0; Rp- 
1125;15;JAMBI;1501;150106;02/07/2024;RUMAH RB;UNIT;0; Rp- 
1126;15;JAMBI;1501;150106;02/07/2024;RUMAH RS;UNIT;0; Rp- 
1127;15;JAMBI;1501;150106;02/07/2024;RUMAH RR;UNIT;0; Rp- 
1128;15;JAMBI;1501;150106;02/07/2024;RUMAH TERENDAM;UNIT;0; Rp- 
1129;15;JAMBI;1501;150106;02/07/2024;SARANA PENDIDIKAN;UNIT;0; Rp- 
1130;15;JAMBI;1501;150106;02/07/2024;SARANA IBADAH;UNIT;0; Rp- 
1131;15;JAMBI;1501;150106;02/07/2024;SARANA KESEHATAN;UNIT;0; Rp- 
1132;15;JAMBI;1501;150106;02/07/2024;PERKANTORAN;UNIT;0; Rp- 
1133;15;JAMBI;1501;150106;02/07/2024;BANGUNAN LAIN;UNIT;0; Rp- 
1134;15;JAMBI;1501;150106;02/07/2024;JEMBATAN;UNIT;0; Rp- 
1135;15;JAMBI;1501;150106;02/07/2024;JALAN;KM;100; Rp- 
1136;15;JAMBI;1501;150106;02/07/2024;SAWAH;HA;0; Rp- 
1137;15;JAMBI;1501;150106;02/07/2024;KEBUN/HUTAN;HA;0; Rp- 
1138;15;JAMBI;1501;150106;02/07/2024;KOLAM;HA;0; Rp- 
1139;15;JAMBI;1501;150106;02/07/2024;IRIGASI;HA;0; Rp- 
1140;15;JAMBI;1501;150116;02/07/2024;MENINGGAL;JIWA;0; Rp- 
1141;15;JAMBI;1501;150116;02/07/2024;HILANG;JIWA;0; Rp- 
1142;15;JAMBI;1501;150116;02/07/2024;LUKA;JIWA;0; Rp- 
1143;15;JAMBI;1501;150116;02/07/2024;MENDERITA;JIWA;5; Rp- 
1144;15;JAMBI;1501;150116;02/07/2024;MENGUNGSI;JIWA;0; Rp- 
1145;15;JAMBI;1501;150116;02/07/2024;RUMAH RB;UNIT;0; Rp- 
1146;15;JAMBI;1501;150116;02/07/2024;RUMAH RS;UNIT;0; Rp- 
1147;15;JAMBI;1501;150116;02/07/2024;RUMAH RR;UNIT;0; Rp- 
1148;15;JAMBI;1501;150116;02/07/2024;RUMAH TERENDAM;UNIT;0; Rp- 
1149;15;JAMBI;1501;150116;02/07/2024;SARANA PENDIDIKAN;UNIT;0; Rp- 
1150;15;JAMBI;1501;150116;02/07/2024;SARANA IBADAH;UNIT;0; Rp- 
1151;15;JAMBI;1501;150116;02/07/2024;SARANA KESEHATAN;UNIT;0; Rp- 
1152;15;JAMBI;1501;150116;02/07/2024;PERKANTORAN;UNIT;0; Rp- 
1153;15;JAMBI;1501;150116;02/07/2024;BANGUNAN LAIN;UNIT;0; Rp- 
1154;15;JAMBI;1501;150116;02/07/2024;JEMBATAN;UNIT;0; Rp- 
1155;15;JAMBI;1501;150116;02/07/2024;JALAN;KM;0; Rp- 
1156;15;JAMBI;1501;150116;02/07/2024;SAWAH;HA;0; Rp- 
1157;15;JAMBI;1501;150116;02/07/2024;KEBUN/HUTAN;HA;0; Rp- 
1158;15;JAMBI;1501;150116;02/07/2024;KOLAM;HA;0; Rp- 
1159;15;JAMBI;1501;150116;02/07/2024;IRIGASI;HA;0; Rp- 
1060;15;JAMBI;1506;150604;04/07/2024;MENINGGAL;JIWA;0; Rp- 
1061;15;JAMBI;1506;150604;04/07/2024;HILANG;JIWA;0; Rp- 
1062;15;JAMBI;1506;150604;04/07/2024;LUKA;JIWA;0; Rp- 
1063;15;JAMBI;1506;150604;04/07/2024;MENDERITA;JIWA;3; Rp- 
1064;15;JAMBI;1506;150604;04/07/2024;MENGUNGSI;JIWA;0; Rp- 
1065;15;JAMBI;1506;150604;04/07/2024;RUMAH RB;UNIT;0; Rp- 
1066;15;JAMBI;1506;150604;04/07/2024;RUMAH RS;UNIT;0; Rp- 
1067;15;JAMBI;1506;150604;04/07/2024;RUMAH RR;UNIT;0; Rp- 
