id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;tanggal_kejadian;keterangan;satuan;jumlah_kejadian; jumlah_kerugian 
181;15;JAMBI;1572;157203;07/03/2024;HILANG;JIWA;0; Rp- 
182;15;JAMBI;1572;157203;07/03/2024;LUKA;JIWA;0; Rp- 
183;15;JAMBI;1572;157203;07/03/2024;MENDERITA;JIWA;0; Rp- 
184;15;JAMBI;1572;157203;07/03/2024;MENGUNGSI;JIWA;0; Rp- 
185;15;JAMBI;1572;157203;07/03/2024;RUMAH RB;UNIT;0; Rp- 
186;15;JAMBI;1572;157203;07/03/2024;RUMAH RS;UNIT;0; Rp- 
187;15;JAMBI;1572;157203;07/03/2024;RUMAH RR;UNIT;0; Rp- 
188;15;JAMBI;1572;157203;07/03/2024;RUMAH TERENDAM;UNIT;0; Rp- 
189;15;JAMBI;1572;157203;07/03/2024;SARANA PENDIDIKAN;UNIT;0; Rp- 
190;15;JAMBI;1572;157203;07/03/2024;SARANA IBADAH;UNIT;0; Rp- 
191;15;JAMBI;1572;157203;07/03/2024;SARANA KESEHATAN;UNIT;0; Rp- 
192;15;JAMBI;1572;157203;07/03/2024;PERKANTORAN;UNIT;0; Rp- 
193;15;JAMBI;1572;157203;07/03/2024;BANGUNAN LAIN;UNIT;0; Rp- 
194;15;JAMBI;1572;157203;07/03/2024;JEMBATAN;UNIT;0; Rp- 
195;15;JAMBI;1572;157203;07/03/2024;JALAN;KM;0; Rp- 
196;15;JAMBI;1572;157203;07/03/2024;SAWAH;HA;0; Rp- 
197;15;JAMBI;1572;157203;07/03/2024;KEBUN/HUTAN;HA;0; Rp- 
198;15;JAMBI;1572;157203;07/03/2024;KOLAM;HA;0; Rp- 
199;15;JAMBI;1572;157203;07/03/2024;IRIGASI;HA;0; Rp- 
1;15;JAMBI;1505;150504;06/05/2024;MENINGGAL DUNIA;JIWA;0; Rp- 
2;15;JAMBI;1505;150504;06/05/2024;HILANG;JIWA;0; Rp- 
3;15;JAMBI;1505;150504;06/05/2024;LUKA;JIWA;0; Rp- 
4;15;JAMBI;1505;150504;06/05/2024;MENDERITA;JIWA;0; Rp- 
5;15;JAMBI;1505;150504;06/05/2024;MENGUNGSI;JIWA;0; Rp- 
6;15;JAMBI;1505;150504;06/05/2024;RUMAH RUSAK BERAT;UNIT;0; Rp- 
7;15;JAMBI;1505;150504;06/05/2024;RUMAH RUSAK SEDANG;UNIT;0; Rp- 
8;15;JAMBI;1505;150504;06/05/2024;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
9;15;JAMBI;1505;150504;06/05/2024;RUMAH TERENDAM;UNIT;0; Rp- 
10;15;JAMBI;1505;150504;06/05/2024;SARANA PENDIDIKAN;UNIT;0; Rp- 
11;15;JAMBI;1505;150504;06/05/2024;SARANA IBADAH;UNIT;0; Rp- 
12;15;JAMBI;1505;150504;06/05/2024;SARANA KESEHATAN;UNIT;0; Rp- 
13;15;JAMBI;1505;150504;06/05/2024;PERKANTORAN;UNIT;0; Rp- 
14;15;JAMBI;1505;150504;06/05/2024;BANGUNAN LAIN;UNIT;0; Rp- 
15;15;JAMBI;1505;150504;06/05/2024;JEMBATAN;UNIT;0; Rp- 
16;15;JAMBI;1505;150504;06/05/2024;JALAN;KM;0; Rp- 
17;15;JAMBI;1505;150504;06/05/2024;SAWAH;HA;0; Rp- 
18;15;JAMBI;1505;150504;06/05/2024;KEBUN/HUTAN;HA;0; Rp- 
19;15;JAMBI;1505;150504;06/05/2024;KOLAM;HA;0; Rp- 
20;15;JAMBI;1505;150504;06/05/2024;IRIGASI;HA;0; Rp- 
41;15;JAMBI;1506;150604;15/05/2024;MENINGGAL DUNIA;JIWA;0; Rp- 
42;15;JAMBI;1506;150604;15/05/2024;HILANG;JIWA;0; Rp- 
43;15;JAMBI;1506;150604;15/05/2024;LUKA;JIWA;0; Rp- 
44;15;JAMBI;1506;150604;15/05/2024;MENDERITA;JIWA;0; Rp- 
45;15;JAMBI;1506;150604;15/05/2024;MENGUNGSI;JIWA;0; Rp- 
46;15;JAMBI;1506;150604;15/05/2024;RUMAH RUSAK BERAT;UNIT;0; Rp- 
47;15;JAMBI;1506;150604;15/05/2024;RUMAH RUSAK SEDANG;UNIT;0; Rp- 
48;15;JAMBI;1506;150604;15/05/2024;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
49;15;JAMBI;1506;150604;15/05/2024;RUMAH TERENDAM;UNIT;0; Rp- 
50;15;JAMBI;1506;150604;15/05/2024;SARANA PENDIDIKAN;UNIT;0; Rp- 
51;15;JAMBI;1506;150604;15/05/2024;SARANA IBADAH;UNIT;0; Rp- 
52;15;JAMBI;1506;150604;15/05/2024;SARANA KESEHATAN;UNIT;0; Rp- 
53;15;JAMBI;1506;150604;15/05/2024;PERKANTORAN;UNIT;0; Rp- 
54;15;JAMBI;1506;150604;15/05/2024;BANGUNAN LAIN;UNIT;0; Rp- 
55;15;JAMBI;1506;150604;15/05/2024;JEMBATAN;UNIT;0; Rp- 
56;15;JAMBI;1506;150604;15/05/2024;JALAN;KM;0; Rp- 
57;15;JAMBI;1506;150604;15/05/2024;SAWAH;HA;0; Rp- 
58;15;JAMBI;1506;150604;15/05/2024;KEBUN/HUTAN;HA;15; Rp- 
59;15;JAMBI;1506;150604;15/05/2024;KOLAM;HA;0; Rp- 
60;15;JAMBI;1506;150604;15/05/2024;IRIGASI;HA;0; Rp- 
21;15;JAMBI;1505;150503;31/05/2024;MENINGGAL DUNIA;JIWA;0; Rp- 
22;15;JAMBI;1505;150503;31/05/2024;HILANG;JIWA;0; Rp- 
23;15;JAMBI;1505;150503;31/05/2024;LUKA;JIWA;0; Rp- 
24;15;JAMBI;1505;150503;31/05/2024;MENDERITA;JIWA;0; Rp- 
25;15;JAMBI;1505;150503;31/05/2024;MENGUNGSI;JIWA;0; Rp- 
26;15;JAMBI;1505;150503;31/05/2024;RUMAH RUSAK BERAT;UNIT;0; Rp- 
27;15;JAMBI;1505;150503;31/05/2024;RUMAH RUSAK SEDANG;UNIT;0; Rp- 
28;15;JAMBI;1505;150503;31/05/2024;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
29;15;JAMBI;1505;150503;31/05/2024;RUMAH TERENDAM;UNIT;0; Rp- 
30;15;JAMBI;1505;150503;31/05/2024;SARANA PENDIDIKAN;UNIT;0; Rp- 
31;15;JAMBI;1505;150503;31/05/2024;SARANA IBADAH;UNIT;0; Rp- 
32;15;JAMBI;1505;150503;31/05/2024;SARANA KESEHATAN;UNIT;0; Rp- 
33;15;JAMBI;1505;150503;31/05/2024;PERKANTORAN;UNIT;0; Rp- 
34;15;JAMBI;1505;150503;31/05/2024;BANGUNAN LAIN;UNIT;0; Rp- 
35;15;JAMBI;1505;150503;31/05/2024;JEMBATAN;UNIT;0; Rp- 
36;15;JAMBI;1505;150503;31/05/2024;JALAN;KM;0; Rp- 
37;15;JAMBI;1505;150503;31/05/2024;SAWAH;HA;0; Rp- 
38;15;JAMBI;1505;150503;31/05/2024;KEBUN/HUTAN;HA;10; Rp- 
39;15;JAMBI;1505;150503;31/05/2024;KOLAM;HA;0; Rp- 
40;15;JAMBI;1505;150503;31/05/2024;IRIGASI;HA;0; Rp- 
61;15;JAMBI;1507;150708;05/06/2024;MENINGGAL;JIWA;0; Rp- 
62;15;JAMBI;1507;150708;05/06/2024;HILANG ;JIWA;0; Rp- 
63;15;JAMBI;1507;150708;05/06/2024;LUKA;JIWA;0; Rp- 
64;15;JAMBI;1507;150708;05/06/2024;MENDERITA;JIWA;0; Rp- 
65;15;JAMBI;1507;150708;05/06/2024;MENGUNGSI;JIWA;0; Rp- 
66;15;JAMBI;1507;150708;05/06/2024;RUMAH RB;UNIT;0; Rp- 
67;15;JAMBI;1507;150708;05/06/2024;RUMAH RS;UNIT;0; Rp- 
