no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;nama_perusahaan;nib;tanggal_terbit_oss;status_penanaman_modal;flag_umk;uraian_jenis_perusahaan;alamat_perusahaan
11;15;JAMBI;1571;KOTA JAMBI;KASIH IBU;1602230031599;02/16/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. M.Yamin Perum Kreasi Pura 1 Blok D 
12;15;JAMBI;1571;KOTA JAMBI;SATUAN PAUD SEJENIS SIRSAK;2002230032854;02/20/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. Hmo Bafadhal No. 08
13;15;JAMBI;1571;KOTA JAMBI;TK ISLAM TERPADU AL AZKA;2002230042177;02/20/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. H. Ibrahim No. 02
14;15;JAMBI;1571;KOTA JAMBI;TPA ASUH NANDA;2802230040806;02/28/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl Dr. Purwadi Km 9,5 Rt 24 Kel Aur Kenali Kec Telanai Pura
15;15;JAMBI;1501;KERINCI;LEMBAGA PELATIHAN DAN KURSUS (LPK) MYLIN;0203230055287;03/02/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Siulak Deras Mudik
16;15;JAMBI;1571;KOTA JAMBI;LEMBAGA KURSUS DAN PELATIHAN DAISY SALON ;0603230054099;03/06/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl Gr Djamin Dt Bagindo No 52 
17;15;JAMBI;1501;KERINCI;LPKS SEJAHTERA;0603230092755;03/06/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Koto Lebuh Tinggi
18;15;JAMBI;1501;KERINCI;LPKS MYLIN;0603230092994;03/06/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Siulak Deras Mudik
19;15;JAMBI;1501;KERINCI;LKP USAHA BERSAMA;0803230100688;03/08/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Baru Semerah
20;15;JAMBI;1571;KOTA JAMBI;TK ISLAM KHAIRUNNISA;1403230079651;03/14/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jalan Kirana Iii Kampung Manggis 
21;15;JAMBI;1571;KOTA JAMBI;AL HIKMAH KASANG;2103230092627;03/21/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. Raden Pamuk
22;15;JAMBI;1571;KOTA JAMBI;AL AMIN;2903230039642;03/29/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. Prabu Siliwangi
23;15;JAMBI;1505;MUARO JAMBI;TK ABA 1 SUNGAI BAHAR;0504230028089;04/05/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jalan Poros Unit Iv, Jalur Iv
24;15;JAMBI;1505;MUARO JAMBI;SMK MUHAMMADIYAH SUNGAI BAHAR;1304230041689;04/13/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. Kh. Ahmad Dahlan No. 12
25;15;JAMBI;1506;TANJUNG JABUNG BARAT;RUMAH IQRO HUSNUL KHATIMAH ;0905230025328;05/09/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. Sd 14 / V 
26;15;JAMBI;1506;TANJUNG JABUNG BARAT;PKBM AL - IRSYAD;1705230030367;05/17/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Dusun Barat
27;15;JAMBI;1501;KERINCI;LPKS NILAM SALON;1705230078396;05/17/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Telago Biru
28;15;JAMBI;1505;MUARO JAMBI;KELOMPOK BELAJAR AL-HIJRAH;1905230031833;05/19/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Rondang
29;15;JAMBI;1506;TANJUNG JABUNG BARAT;YAYASAN PAUD MUTIARA;0606230013255;06/06/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jalan Lintas Timur
30;15;JAMBI;1505;MUARO JAMBI;SPS AL-HIKMAH;0806230035511;06/08/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jebus
31;15;JAMBI;1505;MUARO JAMBI;LEMBAGA TAMAN KANAK-KANAK PATRA SERANDI;1306230063269;06/13/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. Pertamina Rt.16 Dusun Iii Sungai Serandi
32;15;JAMBI;1571;KOTA JAMBI;LEMBAGA PENDIDIKAN KETERAMPILAN SRI RITA;2106230087175;06/21/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. A. Saleh
33;15;JAMBI;1506;TANJUNG JABUNG BARAT;KASIH BUNDA;0607230341148;07/06/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Kuala Dasal
34;15;JAMBI;1506;TANJUNG JABUNG BARAT;PERTIWI;1807230047395;07/18/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Dusun Margo Rukun
35;15;JAMBI;1504;BATANGHARI;PERKUMPULAN WARTAWAN MINGGUAN BATANGHARI;2407230055095;07/24/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jln. Baru 
36;15;JAMBI;1505;MUARO JAMBI;LAPAS PEREMPUAN KELAS IIB JAMBI DITJEN PEMASYARAKATAN;3107230013737;07/31/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jalan Lintas Timur Km. 29
37;15;JAMBI;1506;TANJUNG JABUNG BARAT;KELOMPOK TANI KEMPAS BERKAH ;3107230072147;07/31/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. Kempas Jaya 
38;15;JAMBI;1506;TANJUNG JABUNG BARAT;KB NURUL HIKMAH;0908230116729;08/09/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jalan Siswa
39;15;JAMBI;1501;KERINCI;ALKO AKADEMI NUSANTARA;2008230034129;08/20/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. Raya Sungai Sikai, No 15  Rt 04 Desa Sungai Sikai Kec Gunung Tujuh Jambi
40;15;JAMBI;1571;KOTA JAMBI;TK PINANG MASAK;1109230050016;09/11/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jalan  Sumber Rejo Rt 28 Kel.Mayang Mengurai Kec.Alam Barajo Kota Jambi
41;15;JAMBI;1571;KOTA JAMBI;UNIVERSITAS MUHAMMADIYAH JAMBI;1210230139763;10/12/2023;PMDN;Non UMK;BADAN HUKUM LAINNYA;Jl. Kapten Pattimura, Simpang Iv Sipin, Kec. Telanaipura, Kota Jambi
42;15;JAMBI;1506;TANJUNG JABUNG BARAT;TK PELANGI KASIH HKBP PURWODADI;1910230092974;10/19/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jalan Kemiri 
43;15;JAMBI;1571;KOTA JAMBI;LPKS BINTANG NUSANTARA;2110230046951;10/21/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. Kapten Ud Sunaryo Rt 8 No. 9 Kel. Talang Bakung Kec. Paal Merah Kota Jambi
44;15;JAMBI;1505;MUARO JAMBI;KB KASIH SAYANG;2610230037203;10/26/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Desa Kasang Pudak
45;15;JAMBI;1571;KOTA JAMBI;TIM PUSAT KAJIAN DAN STUDI KEBIJAKAN PUBLIK;3011230025315;11/30/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. Ir. H. Juanda
