id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;luas_panen;satuan;tahun
;15;JAMBI;1503;UBI KAYU;103,1;HEKTAR;2023
;15;JAMBI;1503;UBI JALAR;37,5;HEKTAR;2023
;15;JAMBI;1504;PADI;5076,28;HEKTAR;2023
;15;JAMBI;1504;JANGUNG;137;HEKTAR;2023
;15;JAMBI;1504;KEDELAI;35;HEKTAR;2023
;15;JAMBI;1504;KACANG TANAH;48;HEKTAR;2023
;15;JAMBI;1504;KACANG HIJAU;1;HEKTAR;2023
;15;JAMBI;1504;UBI KAYU;99;HEKTAR;2023
;15;JAMBI;1504;UBI JALAR;25;HEKTAR;2023
;15;JAMBI;1505;PADI;4984,08;HEKTAR;2023
;15;JAMBI;1505;JANGUNG;205;HEKTAR;2023
;15;JAMBI;1505;KEDELAI;124;HEKTAR;2023
;15;JAMBI;1505;KACANG TANAH;28,5;HEKTAR;2023
;15;JAMBI;1505;KACANG HIJAU;0;HEKTAR;2023
;15;JAMBI;1505;UBI KAYU;77;HEKTAR;2023
;15;JAMBI;1505;UBI JALAR;39;HEKTAR;2023
;15;JAMBI;1506;PADI;5792,05;HEKTAR;2023
;15;JAMBI;1506;JANGUNG;250,5;HEKTAR;2023
;15;JAMBI;1506;KEDELAI;150,6;HEKTAR;2023
;15;JAMBI;1506;KACANG TANAH;26;HEKTAR;2023
;15;JAMBI;1506;KACANG HIJAU;0;HEKTAR;2023
;15;JAMBI;1506;UBI KAYU;76;HEKTAR;2023
;15;JAMBI;1506;UBI JALAR;24;HEKTAR;2023
;15;JAMBI;1507;PADI;5821,39;HEKTAR;2023
;15;JAMBI;1507;JANGUNG;97,8;HEKTAR;2023
;15;JAMBI;1507;KEDELAI;71;HEKTAR;2023
;15;JAMBI;1507;KACANG TANAH;17,9;HEKTAR;2023
;15;JAMBI;1507;KACANG HIJAU;0;HEKTAR;2023
;15;JAMBI;1507;UBI KAYU;122,9;HEKTAR;2023
;15;JAMBI;1507;UBI JALAR;8;HEKTAR;2023
;15;JAMBI;1508;PADI;4253,62;HEKTAR;2023
;15;JAMBI;1508;JANGUNG;759,5;HEKTAR;2023
;15;JAMBI;1508;KEDELAI;1714,5;HEKTAR;2023
;15;JAMBI;1508;KACANG TANAH;59,3;HEKTAR;2023
;15;JAMBI;1508;KACANG HIJAU;1,4;HEKTAR;2023
;15;JAMBI;1508;UBI KAYU;130;HEKTAR;2023
;15;JAMBI;1508;UBI JALAR;26;HEKTAR;2023
;15;JAMBI;1509;PADI;5319,47;HEKTAR;2023
;15;JAMBI;1509;JANGUNG;668;HEKTAR;2023
;15;JAMBI;1509;KEDELAI;498;HEKTAR;2023
;15;JAMBI;1509;KACANG TANAH;82;HEKTAR;2023
;15;JAMBI;1509;KACANG HIJAU;13;HEKTAR;2023
;15;JAMBI;1509;UBI KAYU;150;HEKTAR;2023
;15;JAMBI;1509;UBI JALAR;30;HEKTAR;2023
;15;JAMBI;1571;PADI;335,48;HEKTAR;2023
;15;JAMBI;1571;JANGUNG;49,5;HEKTAR;2023
;15;JAMBI;1571;KEDELAI;0;HEKTAR;2023
;15;JAMBI;1571;KACANG TANAH;31,9;HEKTAR;2023
;15;JAMBI;1571;KACANG HIJAU;0,6;HEKTAR;2023
;15;JAMBI;1571;UBI KAYU;68,4;HEKTAR;2023
;15;JAMBI;1571;UBI JALAR;19,8;HEKTAR;2023
;15;JAMBI;1572;PADI;4707,48;HEKTAR;2023
;15;JAMBI;1572;JANGUNG;32;HEKTAR;2023
;15;JAMBI;1572;KEDELAI;0;HEKTAR;2023
;15;JAMBI;1572;KACANG TANAH;4,5;HEKTAR;2023
;15;JAMBI;1572;KACANG HIJAU;0;HEKTAR;2023
;15;JAMBI;1572;UBI KAYU;53,5;HEKTAR;2023
;15;JAMBI;1572;UBI JALAR;49;HEKTAR;2023
;15;JAMBI;1501;PADI;16331,89;HEKTAR;2024
;15;JAMBI;1501;JAGUNG;476,6;HEKTAR;2024
;15;JAMBI;1501;KEDELAI;20;HEKTAR;2024
;15;JAMBI;1501;KACANG HIJAU;4,1;HEKTAR;2024
;15;JAMBI;1501;KACANG TANAH;263,9;HEKTAR;2024
;15;JAMBI;1501;UBI KAYU;256,7;HEKTAR;2024
;15;JAMBI;1501;UBI JALAR;371,9;HEKTAR;2024
;15;JAMBI;1502;PADI;5505,23;HEKTAR;2024
;15;JAMBI;1502;JAGUNG;424;HEKTAR;2024
;15;JAMBI;1502;KEDELAI;71;HEKTAR;2024
;15;JAMBI;1502;KACANG HIJAU;38;HEKTAR;2024
;15;JAMBI;1502;KACANG TANAH;198,5;HEKTAR;2024
;15;JAMBI;1502;UBI KAYU;343;HEKTAR;2024
;15;JAMBI;1502;UBI JALAR;203,5;HEKTAR;2024
;15;JAMBI;1503;PADI;3428,21;HEKTAR;2024
;15;JAMBI;1503;JAGUNG;25,5;HEKTAR;2024
;15;JAMBI;1503;KEDELAI;3,5;HEKTAR;2024
;15;JAMBI;1503;KACANG HIJAU;0,2;HEKTAR;2024
;15;JAMBI;1503;KACANG TANAH;38;HEKTAR;2024
;15;JAMBI;1503;UBI KAYU;99,3;HEKTAR;2024
;15;JAMBI;1503;UBI JALAR;20,9;HEKTAR;2024
;15;JAMBI;1504;PADI;5068,79;HEKTAR;2024
;15;JAMBI;1504;JAGUNG;47;HEKTAR;2024
;15;JAMBI;1504;KEDELAI;1;HEKTAR;2024
;15;JAMBI;1504;KACANG HIJAU;1;HEKTAR;2024
;15;JAMBI;1504;KACANG TANAH;36;HEKTAR;2024
;15;JAMBI;1504;UBI KAYU;118;HEKTAR;2024
;15;JAMBI;1504;UBI JALAR;30;HEKTAR;2024
;15;JAMBI;1505;PADI;5772,96;HEKTAR;2024
;15;JAMBI;1505;JAGUNG;78,2;HEKTAR;2024
;15;JAMBI;1505;KEDELAI;1;HEKTAR;2024
;15;JAMBI;1505;KACANG HIJAU;0;HEKTAR;2024
;15;JAMBI;1505;KACANG TANAH;13,6;HEKTAR;2024
;15;JAMBI;1505;UBI KAYU;93,5;HEKTAR;2024
;15;JAMBI;1505;UBI JALAR;38;HEKTAR;2024
;15;JAMBI;1506;PADI;6903,29;HEKTAR;2024
;15;JAMBI;1506;JAGUNG;312,8;HEKTAR;2024
;15;JAMBI;1506;KEDELAI;22,8;HEKTAR;2024
;15;JAMBI;1506;KACANG HIJAU;1;HEKTAR;2024
;15;JAMBI;1506;KACANG TANAH;22;HEKTAR;2024
;15;JAMBI;1506;UBI KAYU;53;HEKTAR;2024
;15;JAMBI;1506;UBI JALAR;23;HEKTAR;2024
;15;JAMBI;1507;PADI;5946,20;HEKTAR;2024
;15;JAMBI;1507;JAGUNG;190,6;HEKTAR;2024
;15;JAMBI;1507;KEDELAI;2;HEKTAR;2024
;15;JAMBI;1507;KACANG HIJAU;0;HEKTAR;2024
;15;JAMBI;1507;KACANG TANAH;17,9;HEKTAR;2024
;15;JAMBI;1507;UBI KAYU;131,7;HEKTAR;2024
;15;JAMBI;1507;UBI JALAR;30,4;HEKTAR;2024
;15;JAMBI;1508;PADI;3548,18;HEKTAR;2024
;15;JAMBI;1508;JAGUNG;270;HEKTAR;2024
;15;JAMBI;1508;KEDELAI;240;HEKTAR;2024
;15;JAMBI;1508;KACANG HIJAU;2,5;HEKTAR;2024
;15;JAMBI;1508;KACANG TANAH;61;HEKTAR;2024
;15;JAMBI;1508;UBI KAYU;146;HEKTAR;2024
;15;JAMBI;1508;UBI JALAR;32,2;HEKTAR;2024
;15;JAMBI;1509;PADI;3607,03;HEKTAR;2024
;15;JAMBI;1509;JAGUNG;282;HEKTAR;2024
;15;JAMBI;1509;KEDELAI;38;HEKTAR;2024
;15;JAMBI;1509;KACANG HIJAU;13;HEKTAR;2024
;15;JAMBI;1509;KACANG TANAH;60;HEKTAR;2024
;15;JAMBI;1509;UBI KAYU;114;HEKTAR;2024
;15;JAMBI;1509;UBI JALAR;35;HEKTAR;2024
;15;JAMBI;1571;PADI;340,59;HEKTAR;2024
;15;JAMBI;1571;JAGUNG;15,2;HEKTAR;2024
;15;JAMBI;1571;KEDELAI;0;HEKTAR;2024
;15;JAMBI;1571;KACANG HIJAU;0,1;HEKTAR;2024
;15;JAMBI;1571;KACANG TANAH;13,5;HEKTAR;2024
;15;JAMBI;1571;UBI KAYU;51,2;HEKTAR;2024
;15;JAMBI;1571;UBI JALAR;9;HEKTAR;2024
;15;JAMBI;1572;PADI;5173,30;HEKTAR;2024
;15;JAMBI;1572;JAGUNG;39;HEKTAR;2024
;15;JAMBI;1572;KEDELAI;0;HEKTAR;2024
;15;JAMBI;1572;KACANG HIJAU;0;HEKTAR;2024
;15;JAMBI;1572;KACANG TANAH;0;HEKTAR;2024
;15;JAMBI;1572;UBI KAYU;66,5;HEKTAR;2024
;15;JAMBI;1572;UBI JALAR;56,5;HEKTAR;2024
