NO;kode_provinsi;kode_kabupaten_kota;komoditi;jumlah_produksi;satuan;tahun
117;15;1502;WORTEL;0;KUINTAL;2023
118;15;1503;BAWANG MERAH;86;KUINTAL;2023
119;15;1503;CABE MERAH;3628.25;KUINTAL;2023
120;15;1503;CABE RAWIT;3063.91;KUINTAL;2023
121;15;1503;KENTANG;0;KUINTAL;2023
122;15;1503;KUBIS;0;KUINTAL;2023
123;15;1503;SAWI;519.8;KUINTAL;2023
124;15;1503;SEMANGKA;2196;KUINTAL;2023
125;15;1503;TOMAT;416.17;KUINTAL;2023
126;15;1503;WORTEL;0;KUINTAL;2023
127;15;1504;BAWANG MERAH;0;KUINTAL;2023
128;15;1504;CABE MERAH;8080;KUINTAL;2023
129;15;1504;CABE RAWIT;4820;KUINTAL;2023
130;15;1504;KENTANG;0;KUINTAL;2023
131;15;1504;KUBIS;0;KUINTAL;2023
132;15;1504;SAWI;0;KUINTAL;2023
133;15;1504;SEMANGKA;2395;KUINTAL;2023
134;15;1504;TOMAT;175;KUINTAL;2023
135;15;1504;WORTEL;0;KUINTAL;2023
136;15;1505;BAWANG MERAH;807;KUINTAL;2023
137;15;1505;CABE MERAH;9482;KUINTAL;2023
138;15;1505;CABE RAWIT;2790.5;KUINTAL;2023
139;15;1505;KENTANG;0;KUINTAL;2023
140;15;1505;KUBIS;0;KUINTAL;2023
141;15;1505;SAWI;6643;KUINTAL;2023
142;15;1505;SEMANGKA;6724;KUINTAL;2023
143;15;1505;TOMAT;1216;KUINTAL;2023
144;15;1505;WORTEL;0;KUINTAL;2023
145;15;1506;BAWANG MERAH;40;KUINTAL;2023
146;15;1506;CABE MERAH;3353.5;KUINTAL;2023
147;15;1506;CABE RAWIT;2348.4;KUINTAL;2023
148;15;1506;KENTANG;0;KUINTAL;2023
149;15;1506;KUBIS;0;KUINTAL;2023
150;15;1506;SAWI;0;KUINTAL;2023
151;15;1506;SEMANGKA;6088;KUINTAL;2023
152;15;1506;TOMAT;48;KUINTAL;2023
153;15;1506;WORTEL;0;KUINTAL;2023
154;15;1507;BAWANG MERAH;25;KUINTAL;2023
155;15;1507;CABE MERAH;2125;KUINTAL;2023
156;15;1507;CABE RAWIT;1494;KUINTAL;2023
157;15;1507;KENTANG;0;KUINTAL;2023
158;15;1507;KUBIS;0;KUINTAL;2023
159;15;1507;SAWI;0;KUINTAL;2023
160;15;1507;SEMANGKA;571;KUINTAL;2023
161;15;1507;TOMAT;30;KUINTAL;2023
162;15;1507;WORTEL;0;KUINTAL;2023
163;15;1508;BAWANG MERAH;613.2;KUINTAL;2023
164;15;1508;CABE MERAH;2192.55;KUINTAL;2023
165;15;1508;CABE RAWIT;1121.85;KUINTAL;2023
166;15;1508;KENTANG;0;KUINTAL;2023
167;15;1508;KUBIS;0;KUINTAL;2023
168;15;1508;SAWI;136;KUINTAL;2023
169;15;1508;SEMANGKA;11593;KUINTAL;2023
170;15;1508;TOMAT;91.5;KUINTAL;2023
171;15;1508;WORTEL;0;KUINTAL;2023
172;15;1509;BAWANG MERAH;705;KUINTAL;2023
173;15;1509;CABE MERAH;3308;KUINTAL;2023
174;15;1509;CABE RAWIT;1735;KUINTAL;2023
175;15;1509;KENTANG;0;KUINTAL;2023
176;15;1509;KUBIS;0;KUINTAL;2023
177;15;1509;SAWI;910;KUINTAL;2023
178;15;1509;SEMANGKA;6715;KUINTAL;2023
179;15;1509;TOMAT;197;KUINTAL;2023
180;15;1509;WORTEL;0;KUINTAL;2023
181;15;1571;BAWANG MERAH;44.2;KUINTAL;2023
182;15;1571;CABE MERAH;584.14;KUINTAL;2023
183;15;1571;CABE RAWIT;244.26;KUINTAL;2023
