NO ;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode kecamatan;kode_kelurahan_desa;nilai_idm;status_idm
1;15;JAMBI;1501;150101;1501012001;0,6689;BERKEMBANG
2;15;JAMBI;1501;150101;1501012006;0,6552;BERKEMBANG
3;15;JAMBI;1501;150101;1501012011;0,6651;BERKEMBANG
4;15;JAMBI;1501;150101;1501012013;0,6513;BERKEMBANG
5;15;JAMBI;1501;150101;1501012016;0,6048;BERKEMBANG
6;15;JAMBI;1501;150101;1501012018;0,7044;BERKEMBANG
7;15;JAMBI;1501;150101;1501012019;0,627;BERKEMBANG
8;15;JAMBI;1501;150102;1501022001;0,6735;BERKEMBANG
9;15;JAMBI;1501;150102;1501022004;0,6924;BERKEMBANG
10;15;JAMBI;1501;150102;1501022005;0,651;BERKEMBANG
11;15;JAMBI;1501;150102;1501022006;0,683;BERKEMBANG
12;15;JAMBI;1501;150102;1501022007;0,6343;BERKEMBANG
13;15;JAMBI;1501;150102;1501022008;0,7067;BERKEMBANG
14;15;JAMBI;1501;150102;1501022013;0,6479;BERKEMBANG
15;15;JAMBI;1501;150102;1501022014;0,6348;BERKEMBANG
16;15;JAMBI;1501;150102;1501022015;0,6137;BERKEMBANG
17;15;JAMBI;1501;150102;1501022016;0,6617;BERKEMBANG
18;15;JAMBI;1501;150102;1501022018;0,6625;BERKEMBANG
19;15;JAMBI;1501;150104;1501042008;0,6375;BERKEMBANG
20;15;JAMBI;1501;150104;1501042009;0,6244;BERKEMBANG
21;15;JAMBI;1501;150104;1501042010;0,647;BERKEMBANG
22;15;JAMBI;1501;150104;1501042011;0,6267;BERKEMBANG
23;15;JAMBI;1501;150104;1501042012;0,6603;BERKEMBANG
24;15;JAMBI;1501;150104;1501042013;0,6659;BERKEMBANG
25;15;JAMBI;1501;150104;1501042014;0,6643;BERKEMBANG
26;15;JAMBI;1501;150104;1501042026;0,6751;BERKEMBANG
27;15;JAMBI;1501;150104;1501042028;0,6249;BERKEMBANG
28;15;JAMBI;1501;150104;1501042031;0,636;BERKEMBANG
29;15;JAMBI;1501;150104;1501042033;0,6452;BERKEMBANG
30;15;JAMBI;1501;150104;1501042034;0,6003;BERKEMBANG
31;15;JAMBI;1501;150105;1501052004;0,6717;BERKEMBANG
32;15;JAMBI;1501;150105;1501052014;0,6833;BERKEMBANG
33;15;JAMBI;1501;150105;1501052015;0,6397;BERKEMBANG
34;15;JAMBI;1501;150105;1501052016;0,6611;BERKEMBANG
35;15;JAMBI;1501;150105;1501052018;0,66;BERKEMBANG
36;15;JAMBI;1501;150105;1501052029;0,6968;BERKEMBANG
37;15;JAMBI;1501;150106;1501062010;0,631;BERKEMBANG
38;15;JAMBI;1501;150106;1501062011;0,6432;BERKEMBANG
39;15;JAMBI;1501;150106;1501062012;0,6187;BERKEMBANG
40;15;JAMBI;1501;150106;1501062013;0,6246;BERKEMBANG
41;15;JAMBI;1501;150106;1501062014;0,6535;BERKEMBANG
42;15;JAMBI;1501;150106;1501062015;0,6122;BERKEMBANG
43;15;JAMBI;1501;150106;1501062017;0,609;BERKEMBANG
44;15;JAMBI;1501;150106;1501062019;0,6681;BERKEMBANG
45;15;JAMBI;1501;150106;1501062039;0,6137;BERKEMBANG
46;15;JAMBI;1501;150106;1501062040;0,636;BERKEMBANG
47;15;JAMBI;1501;150106;1501062041;0,6192;BERKEMBANG
48;15;JAMBI;1501;150106;1501062042;0,63;BERKEMBANG
49;15;JAMBI;1501;150107;1501072004;0,6886;BERKEMBANG
50;15;JAMBI;1501;150107;1501072006;0,6621;BERKEMBANG
51;15;JAMBI;1501;150107;1501072007;0,6979;BERKEMBANG
52;15;JAMBI;1501;150107;1501072008;0,6846;BERKEMBANG
53;15;JAMBI;1501;150107;1501072009;0,7051;BERKEMBANG
54;15;JAMBI;1501;150107;1501072010;0,6449;BERKEMBANG
55;15;JAMBI;1501;150107;1501072011;0,6606;BERKEMBANG
56;15;JAMBI;1501;150107;1501072013;0,6646;BERKEMBANG
57;15;JAMBI;1501;150107;1501072014;0,6384;BERKEMBANG
