id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;tanggal_kejadian;kondisi_korban;satuan;jumlah_kejadian; jumlah_kerugian 
70;15;JAMBI;1506;150602;02/07/2023;IRIGASI;HA;0; Rp- 
71;15;JAMBI;1507;150705;25/03/2024;MENINGGAL DUNIA;JIWA;0; Rp- 
72;15;JAMBI;1507;150705;25/03/2024;HILANG;JIWA;0; Rp- 
73;15;JAMBI;1507;150705;25/03/2024;LUKA;JIWA;0; Rp- 
74;15;JAMBI;1507;150705;25/03/2024;MENDERITA;JIWA;0; Rp- 
75;15;JAMBI;1507;150705;25/03/2024;MENGUNGSI;JIWA;0; Rp- 
76;15;JAMBI;1507;150705;25/03/2024;RUMAH RUSAK BERAT;UNIT;0; Rp- 
77;15;JAMBI;1507;150705;25/03/2024;RUMAH RUSAK SEDANG;UNIT;0; Rp- 
78;15;JAMBI;1507;150705;25/03/2024;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
79;15;JAMBI;1507;150705;25/03/2024;RUMAH TERENDAM;UNIT;0; Rp- 
80;15;JAMBI;1507;150705;25/03/2024;SARANA PENDIDIKAN;UNIT;0; Rp- 
81;15;JAMBI;1507;150705;25/03/2024;SARANA IBADAH;UNIT;0; Rp- 
82;15;JAMBI;1507;150705;25/03/2024;SARANA KESEHATAN;UNIT;0; Rp- 
83;15;JAMBI;1507;150705;25/03/2024;PERKANTORAN;UNIT;0; Rp- 
84;15;JAMBI;1507;150705;25/03/2024;BANGUNAN LAIN;UNIT;0; Rp- 
85;15;JAMBI;1507;150705;25/03/2024;JEMBATAN;UNIT;0; Rp- 
86;15;JAMBI;1507;150705;25/03/2024;JALAN;KM;0; Rp- 
87;15;JAMBI;1507;150705;25/03/2024;SAWAH;HA;0; Rp- 
88;15;JAMBI;1507;150705;25/03/2024;KEBUN/HUTAN;HA;0; Rp- 
89;15;JAMBI;1507;150705;25/03/2024;KOLAM;HA;0; Rp- 
90;15;JAMBI;1507;150705;25/03/2024;IRIGASI;HA;0; Rp- 
