id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_kelurahan_desa;koperasi;tanggal_badan_hukum;aktif;bentuk_koperasi;jenis_koperasi;kelompok_koperasi;sektor_usaha;klasifikasi;kesehatan;anggota_pria;anggota_wanita;tahun_industri_usaha;tahun
31;15;JAMBI;1501;150102;1501022004;Koperasi Unit Desa Sinar Danau;30/03/1996;FALSE;Primer Kabupaten/Kota;Produsen;KUD;JASA LAINNYA;-;-;0;0;-;2023
32;15;JAMBI;1501;150102;1501022007;Koperasi Pegawai Negeri SMPN Tanjung Tanah;12/03/1985;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA LAINNYA;-;-;0;0;-;2023
33;15;JAMBI;1501;150102;1501022001;Koperasi Majelis Taklim Al-Iklas;26/05/1999;FALSE;Primer Kabupaten/Kota;Konsumen;Kop. Lainnya;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;2023
34;15;JAMBI;1501;150102;1501022007;Koperasi Pertanian Nelayan Sumber Rezeki;28/12/2006;FALSE;Primer Kabupaten/Kota;Produsen;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;2023
35;15;JAMBI;1501;150102;1501022008;Koperasi Setia Kawan;11/09/2012;TRUE;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;2023
36;15;JAMBI;1501;150102;1501022001;Koperasi Serba Usaha Musholla Pondok Bambu;13/10/2009;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;2023
37;15;JAMBI;1501;150102;1501022001;KOPERASI KONSUMEN GURU SEKOLAH DASAR KECAMATAN DANAU KERINCI;10/09/2021;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;2023
38;15;JAMBI;1501;150102;1501022014;Koperasi Unit Desa Hidup Baru;26/12/1989;FALSE;Primer Kabupaten/Kota;Produsen;KUD;JASA LAINNYA;-;-;0;0;-;2023
39;15;JAMBI;1501;150102;1501222007;Koperasi Mesjid Jabal Rahman;19/03/1999;FALSE;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;2023
40;15;JAMBI;1501;150104;1501222004;Koperasi Unit Desa Adil Sejahtera;10/09/1985;FALSE;Primer Kabupaten/Kota;Produsen;KUD;JASA LAINNYA;-;-;0;0;-;2023
41;15;JAMBI;1501;150104;1501042013;Koperasi Pertanian Almunawaroh;23/07/2002;FALSE;Primer Kabupaten/Kota;Produsen;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;2023
42;15;JAMBI;1501;150104;1501222004;Koperasi Pegawai Negeri MTSN Semerah;25/01/1984;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA LAINNYA;-;-;0;0;-;2023
43;15;JAMBI;1501;150104;1501222004;Koperasi Wanita Karya Sholehah Semerah;18/11/2007;FALSE;Primer Kabupaten/Kota;Konsumen;Kop. Wanita;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;2023
44;15;JAMBI;1501;150104;1501042008;Koperasi Pegawai Negeri Karya Bersama;05/08/1982;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA LAINNYA;-;-;0;0;-;2023
45;15;JAMBI;1501;150104;1501042013;Koperasi Unit Desa Dwi Sri Hiang;03/05/1973;FALSE;Primer Kabupaten/Kota;Produsen;Kop. Pertanian;JASA LAINNYA;-;-;0;0;-;2023
46;15;JAMBI;1501;150104;0;Koperasi Sartika Bersaudara;17/06/2012;TRUE;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;2023
47;15;JAMBI;1501;150104;1501042011;Koperasi Wanita Permata Indah;17/06/2012;TRUE;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;2023
48;15;JAMBI;1501;150104;1501042030;Koperasi Dirgantara Depati Parbo;26/06/2019;TRUE;Primer Kabupaten/Kota;Jasa;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;2023
49;15;JAMBI;1501;150104;1501222001;Koperasi Usaha mandiri;05/04/2016;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Simpan Pinjam;JASA LAINNYA;-;-;0;0;-;2023
50;15;JAMBI;1501;150104;1501042026;Kopontren Jamiatul Ikhsaniah;24/04/2009;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;JASA PENDIDIKAN;-;-;0;0;-;2023
51;15;JAMBI;1501;150104;1501042028;KPN Guru SD Sitinjau Laut;08/09/1999;FALSE;Primer Kabupaten/Kota;Konsumen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;2023
52;15;JAMBI;1501;150104;1501042013;Koperasi Pegawai Negeri SMPN Hiang;29/07/1991;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA KEUANGAN DAN ASURANSI;Cukup Berkualitas (CB);Sehat;13;12;2020;2023
53;15;JAMBI;1501;150104;1501042013;Koperasi Pegawai Negeri SMA N Hiang;16/09/1996;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA KEUANGAN DAN ASURANSI;Berkualitas (B);Sehat;23;22;2020;2023
54;15;JAMBI;1501;150104;1501042013;Koperasi Serba Usaha Mentari Sangkir;24/12/2008;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;2023
55;15;JAMBI;1501;150104;1501042013;Koperasi Serba Usaha Hamparan Hiang;05/08/2011;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Simpan Pinjam;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;2023
56;15;JAMBI;1501;150104;1501222005;Koperasi Pegawai Negeri Mekar Jaya;30/09/1996;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA KEUANGAN DAN ASURANSI;Berkualitas (B);Sehat;36;23;2020;2023
57;15;JAMBI;1501;150104;1501042029;Koperasi pemasaran Lembah Ngarai Indah;15/08/2018;TRUE;Primer Kabupaten/Kota;Pemasaran;Kop. Wanita;JASA KEUANGAN DAN ASURANSI;Cukup Berkualitas (CB);Cukup Sehat;0;20;2020;2023
58;15;JAMBI;1501;150105;1501052015;Koperasi Unit Desa Utama Koto Majidin;18/12/1995;TRUE;Primer Kabupaten/Kota;Produsen;KUD;JASA LAINNYA;-;-;0;0;-;2023
59;15;JAMBI;1501;150105;1501052002;Koperasi Pertanian Bina Sejahtera;23/04/1999;TRUE;Primer Kabupaten/Kota;Produsen;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;2023
60;15;JAMBI;1501;150105;0;Koperasi Pegawai Negeri SKB;20/01/1986;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA LAINNYA;-;-;0;0;-;2023
61;15;JAMBI;1501;150105;0;Koperasi Keluarga Sepakat;11/05/2012;TRUE;Primer Kabupaten/Kota;Simpan Pinjam;Kop. Simpan Pinjam;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;2023
62;15;JAMBI;1501;150105;0;Koperasi Maju Jaya Indah;18/07/2011;TRUE;Primer Kabupaten/Kota;Simpan Pinjam;Kop. Simpan Pinjam;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;2023
63;15;JAMBI;1501;150105;1501052022;Koperasi Wanita Ijung Tabajo;22/06/2012;FALSE;Primer Kabupaten/Kota;Konsumen;Kop. Wanita;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;2023
64;15;JAMBI;1501;150105;0;Koperasi Unit Desa Utama;01/03/1979;TRUE;Primer Kabupaten/Kota;Produsen;KUD;JASA LAINNYA;-;-;0;0;-;2023
65;15;JAMBI;1501;150105;1501052002;Koperasi Serba Usaha Jaya Bersama;08/07/1999;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;PENYEDIAAN AKOMODASI DAN MAKAN MINUM;-;-;0;0;-;2023
66;15;JAMBI;1501;150105;1501052022;Koperasi Pegawai Negeri Guru SD Air Hangat;25/11/2005;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA KEUANGAN DAN ASURANSI;Berkualitas (B);Sehat;84;54;2020;2023
67;15;JAMBI;1501;150105;1501052022;Koperasi Arrahmah;09/08/2012;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Lainnya;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;2023
68;15;JAMBI;1501;150105;1501052013;Koperasi Wanita Bunga Mawar;02/02/2010;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Wanita;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;2023
