id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_ruas;nama_ruas_jalan;no_jembatan_rekomendasi;nama_jembatan;panjang;satuan;tahun
42;15;JAMBI;1507;P.023;SP.RANTAU RASAU - SIMPANG JBT MUARA SABAK;P.11.023.003;JEMBATAN  KAYU II (ALAHAN);53;METER;2024
43;15;JAMBI;1507;P.023;SP.RANTAU RASAU - SIMPANG JBT MUARA SABAK;P.11.023.004;BOX BARU 1B;3;METER;2024
44;15;JAMBI;1507;P.023;SP.RANTAU RASAU - SIMPANG JBT MUARA SABAK;P.11.023.005;JEMBATAN  KAYU III;3;METER;2024
45;15;JAMBI;1507;P.023;SP.RANTAU RASAU - SIMPANG JBT MUARA SABAK;P.11.023.006;JEMBATAN  KAYU IV;20;METER;2024
46;15;JAMBI;1507;P.023;SP.RANTAU RASAU - SIMPANG JBT MUARA SABAK;P.11.023.007;Jbt Semi Permanen;15;METER;2024
47;15;JAMBI;1507;P.023;SP.RANTAU RASAU - SIMPANG JBT MUARA SABAK;P.11.023.008;JEMBATAN  KAYU V;15;METER;2024
48;15;JAMBI;1507;P.023;SP.RANTAU RASAU - SIMPANG JBT MUARA SABAK;P.11.023.009;JEMBATAN  KAYU VI;53;METER;2024
49;15;JAMBI;1507;P.023;SP.RANTAU RASAU - SIMPANG JBT MUARA SABAK;P.11.023.010;BOX BARU 3B;18,5;METER;2024
50;15;JAMBI;1507;P.023;SP.RANTAU RASAU - SIMPANG JBT MUARA SABAK;P.11.023.011;JEMBATAN  KAYU VII;66,5;METER;2024
51;15;JAMBI;1507;P.023;SP.RANTAU RASAU - SIMPANG JBT MUARA SABAK;P.11.023.012;BOX BARU 1B;4;METER;2024
52;15;JAMBI;1507;P.023;SP.RANTAU RASAU - SIMPANG JBT MUARA SABAK;P.11.023.013;BOX BARU 1B;3;METER;2024
53;15;JAMBI;1507;P.023;SP.RANTAU RASAU - SIMPANG JBT MUARA SABAK;P.11.023.014;JEMBATAN  KAYU VIII;14;METER;2024
54;15;JAMBI;1507;P.023;SP.RANTAU RASAU - SIMPANG JBT MUARA SABAK;P.11.023.015;JEMBATAN  KAYU LAMBUR  II;9;METER;2024
55;15;JAMBI;1507;P.023;SP.RANTAU RASAU - SIMPANG JBT MUARA SABAK;P.11.023.016;LAMBUR  IIA (semi permanen);12;METER;2024
56;15;JAMBI;1507;P.023;SP.RANTAU RASAU - SIMPANG JBT MUARA SABAK;P.11.023.017;LAMBUR  IB (semi permanen);12;METER;2024
57;15;JAMBI;1507;P.023;SP.RANTAU RASAU - SIMPANG JBT MUARA SABAK;P.11.023.018;LAMBUR  IA (semi permanen);55,5;METER;2024
58;15;JAMBI;1507;P.023;SP.RANTAU RASAU - SIMPANG JBT MUARA SABAK;P.11.023.019;BOX BARU 1B;3,5;METER;2024
59;15;JAMBI;1507;P.023;SP.RANTAU RASAU - SIMPANG JBT MUARA SABAK;P.11.023.020;JEMBATAN  KAYU IX;62;METER;2024
60;15;JAMBI;1507;P.023;SP.RANTAU RASAU - SIMPANG JBT MUARA SABAK;P.11.023.021;JEMBATAN  KAYU X;41,5;METER;2024
61;15;JAMBI;1507;P.023;SP.RANTAU RASAU - SIMPANG JBT MUARA SABAK;P.11.023.022;JEMBATAN  KAYU XI;7;METER;2024
62;15;JAMBI;1507;P.023;SP.RANTAU RASAU - SIMPANG JBT MUARA SABAK;P.11.023.023;JEMBATAN  KAYU XII;53;METER;2024
63;15;JAMBI;1507;P.024;SIMPANG  LAGAN - SIMPANG  PELABI/ ZONA V;P.11.024.001;Pematang  Rahim  I;14;METER;2024
