id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_ruas;nama_ruas_jalan;no_jembatan_rekomendasi;nama_jembatan;panjang;satuan;tahun
185;15;JAMBI;1503;P.071;SIMPANG  PELAWAN  - SEI. SALAK;P.11.071.008;BOX VII BARU;3;METER;2024
186;15;JAMBI;1503;P.071;SIMPANG  PELAWAN  - SEI. SALAK;P.11.071.009;BOX VIII BARU;3;METER;2024
187;15;JAMBI;1503;P.071;SIMPANG  PELAWAN  - SEI. SALAK;P.11.071.010;BOX IX BARU;3;METER;2024
188;15;JAMBI;1503;P.071;SIMPANG  PELAWAN  - SEI. SALAK;P.11.071.011;BOX X BARU;3;METER;2024
189;15;JAMBI;1503;P.071;SIMPANG  PELAWAN  - SEI. SALAK;P.11.071.012;BOX XI BARU;2,5;METER;2024
190;15;JAMBI;1503;P.071;SIMPANG  PELAWAN  - SEI. SALAK;P.11.071.013;SEI. PULAU  PANDAN;131;METER;2024
191;15;JAMBI;1503;P.071;SIMPANG  PELAWAN  - SEI. SALAK;P.11.071.014;BOX XII BARU;3,5;METER;2024
192;15;JAMBI;1503;P.071;SIMPANG  PELAWAN  - SEI. SALAK;P.11.071.015;SEI. NAGA;23;METER;2024
193;15;JAMBI;1503;P.071;SIMPANG  PELAWAN  - SEI. SALAK;P.11.071.016;BOX XIII 2B BARU;7;METER;2024
194;15;JAMBI;1503;P.071;SIMPANG  PELAWAN  - SEI. SALAK;P.11.071.017;SEI. BELALANG;26;METER;2024
195;15;JAMBI;1503;P.071;SIMPANG  PELAWAN  - SEI. SALAK;P.11.071.018;SEI. KARANG  BABI;20;METER;2024
196;15;JAMBI;1503;P.071;SIMPANG  PELAWAN  - SEI. SALAK;P.11.071.019;BOX BARU;3;METER;2024
197;15;JAMBI;1503;P.071;SIMPANG  PELAWAN  - SEI. SALAK;P.11.071.020;BOX BARU 2B ;3;METER;2024
198;15;JAMBI;1503;P.071;SIMPANG  PELAWAN  - SEI. SALAK;P.11.071.021;SEI. SIMPAI;20,5;METER;2024
199;15;JAMBI;1503;P.071;SIMPANG  PELAWAN  - SEI. SALAK;P.11.071.022;GORONG2 BARU;3;METER;2024
200;15;JAMBI;1503;P.071;SIMPANG  PELAWAN  - SEI. SALAK;P.11.071.023;SEI. BINAL;20,5;METER;2024
201;15;JAMBI;1503;P.071;SIMPANG  PELAWAN  - SEI. SALAK;P.11.071.024;SEI. SIKAMIS  BESAR;42;METER;2024
202;15;JAMBI;1503;P.071;SIMPANG  PELAWAN  - SEI. SALAK;P.11.071.025;SEI. SALAK;20,5;METER;2024
203;15;JAMBI;1503;P.072;SEI. SALAK - PEKAN GEDANG/BATANG ASAI;P.11.072.001;SEI. PINANG;26;METER;2024
204;15;JAMBI;1503;P.072;SEI. SALAK - PEKAN GEDANG/BATANG ASAI;P.11.072.002;SEI. SAKO SATU;16;METER;2024
205;15;JAMBI;1503;P.072;SEI. SALAK - PEKAN GEDANG/BATANG ASAI;P.11.072.003;SEI. BAUNG;15,8;METER;2024
206;15;JAMBI;1503;P.072;SEI. SALAK - PEKAN GEDANG/BATANG ASAI;P.11.072.004;BOX BARU;3;METER;2024
207;15;JAMBI;1503;P.072;SEI. SALAK - PEKAN GEDANG/BATANG ASAI;P.11.072.005;SEI. SAUK;26;METER;2024
208;15;JAMBI;1503;P.072;SEI. SALAK - PEKAN GEDANG/BATANG ASAI;P.11.072.006;BOX BARU;3;METER;2024
209;15;JAMBI;1503;P.072;SEI. SALAK - PEKAN GEDANG/BATANG ASAI;P.11.072.007;SEI. BATU BAGUMBAK;26;METER;2024
210;15;JAMBI;1503;P.073;PEKAN  GEDANG/BATANG ASAI - MUARA TALANG  - JANGKAT;P.11.073.002;SEI. KENANTAN;52;METER;2024
211;15;JAMBI;1503;P.073;PEKAN  GEDANG/BATANG ASAI - MUARA TALANG  - JANGKAT;P.11.073.003;BOX BARU 2B ;9;METER;2024
212;15;JAMBI;1503;P.073;PEKAN  GEDANG/BATANG ASAI - MUARA TALANG  - JANGKAT;P.11.073.004;SEI. JELATANG;26;METER;2024
213;15;JAMBI;1503;P.073;PEKAN  GEDANG/BATANG ASAI - MUARA TALANG  - JANGKAT;P.11.073.005;BOX BARU;4;METER;2024
214;15;JAMBI;1503;P.073;PEKAN  GEDANG/BATANG ASAI - MUARA TALANG  - JANGKAT;P.11.073.006;SEI. PENCELAK;23;METER;2024
215;15;JAMBI;1503;P.073;PEKAN  GEDANG/BATANG ASAI - MUARA TALANG  - JANGKAT;P.11.073.007;BARU SEI. RETAP ;42;METER;2024
216;15;JAMBI;1503;P.073;PEKAN  GEDANG/BATANG ASAI - MUARA TALANG  - JANGKAT;P.11.073.008;BOX BARU 2B ;5,5;METER;2024
217;15;JAMBI;1503;P.073;PEKAN  GEDANG/BATANG ASAI - MUARA TALANG  - JANGKAT;P.11.073.009;BOX BARU 2B ;5,5;METER;2024
218;15;JAMBI;1503;P.073;PEKAN  GEDANG/BATANG ASAI - MUARA TALANG  - JANGKAT;P.11.073.010;BARU SEI. KRADAK;41;METER;2024
219;15;JAMBI;1503;P.073;PEKAN  GEDANG/BATANG ASAI - MUARA TALANG  - JANGKAT;P.11.073.010;JEMBATAN-BAILLY;24;METER;2024
220;15;JAMBI;1503;P.073;PEKAN  GEDANG/BATANG ASAI - MUARA TALANG  - JANGKAT;P.11.073.010;BOX-BARU;10;METER;2024
221;15;JAMBI;1503;P.074;PAUH;P.11.074.001;SEI DUA;8;METER;2024
222;15;JAMBI;1503;P.074;PAUH;P.11.074.002;BOX DUSUN BARU;8,2;METER;2024
223;15;JAMBI;1503;P.074;PAUH;P.11.074.003;PAUH;144;METER;2024
224;15;JAMBI;1502;P.080;MARGOYOSO - MUARA DELANG;P.11.080.001;SEI MOU;14;METER;2024
225;15;JAMBI;1502;P.080;MARGOYOSO - MUARA DELANG;P.11.080.002;SEI BISAR;20;METER;2024
226;15;JAMBI;1502;P.080;MARGOYOSO - MUARA DELANG;P.11.080.003;SEI KUNING;8,1;METER;2024
227;15;JAMBI;1502;P.080;MARGOYOSO - MUARA DELANG;P.11.080.004;Ir KARSOYONO;25,5;METER;2024
228;15;JAMBI;1502;P.080;MARGOYOSO - MUARA DELANG;P.11.080.005;SEI SAHUT;22,2;METER;2024
229;15;JAMBI;1502;P.080;MARGOYOSO - MUARA DELANG;P.11.080.006;SEI LIMBUR;16;METER;2024
230;15;JAMBI;1502;P.080;MARGOYOSO - MUARA DELANG;P.11.080.007;TANPA NAMA;21;METER;2024
231;15;JAMBI;1502;P.080;MARGOYOSO - MUARA DELANG;P.11.080.008;SEI AIR HITAM KECIL;26;METER;2024
232;15;JAMBI;1502;P.080;MARGOYOSO - MUARA DELANG;P.11.080.009;TANPA NAMA;22;METER;2024
233;15;JAMBI;1502;P.080;MARGOYOSO - MUARA DELANG;P.11.080.010;TANPA NAMA;14;METER;2024
234;15;JAMBI;1502;P.080;MARGOYOSO - MUARA DELANG;P.11.080.011;SEI ANAK PAUH;18;METER;2024
235;15;JAMBI;1502;P.081;SP. PULAU RENGAS  - MUARA SIAU;P.11.081.001;PULAU  RENGAS;133,5;METER;2024
236;15;JAMBI;1502;P.081;SP. PULAU RENGAS  - MUARA SIAU;P.11.081.002;SEI. KUNKUN  I;20,6;METER;2024
237;15;JAMBI;1502;P.081;SP. PULAU RENGAS  - MUARA SIAU;P.11.081.003;SEI. KUNKUN  II;20,4;METER;2024
238;15;JAMBI;1502;P.081;SP. PULAU RENGAS  - MUARA SIAU;P.11.081.004;KEMANANG;18,4;METER;2024
239;15;JAMBI;1502;P.081;SP. PULAU RENGAS  - MUARA SIAU;P.11.081.005;BALIK  II;21;METER;2024
240;15;JAMBI;1502;P.081;SP. PULAU RENGAS  - MUARA SIAU;P.11.081.006;SEI. BIRUN;30,7;METER;2024
241;15;JAMBI;1502;P.081;SP. PULAU RENGAS  - MUARA SIAU;P.11.081.007;BOX 1;4,1;METER;2024
242;15;JAMBI;1502;P.081;SP. PULAU RENGAS  - MUARA SIAU;P.11.081.008;BOX 2;2,4;METER;2024
243;15;JAMBI;1502;P.081;SP. PULAU RENGAS  - MUARA SIAU;P.11.081.009;BOX 3;4,7;METER;2024
244;15;JAMBI;1502;P.081;SP. PULAU RENGAS  - MUARA SIAU;P.11.081.010;BOX 4;4,3;METER;2024
245;15;JAMBI;1502;P.081;SP. PULAU RENGAS  - MUARA SIAU;P.11.081.011;BOX 5;4,3;METER;2024
246;15;JAMBI;1502;P.082;MUARA SIAU - DUSUN  TUAO;P.11.082.001;SEI. SIAU I;45,5;METER;2024
247;15;JAMBI;1502;P.082;MUARA SIAU - DUSUN  TUAO;P.11.082.002;SEI.DUKU;24,2;METER;2024
248;15;JAMBI;1502;P.082;MUARA SIAU - DUSUN  TUAO;P.11.082.003;SEI.SIAU  II;31;METER;2024
249;15;JAMBI;1502;P.082;MUARA SIAU - DUSUN  TUAO;P.11.082.004;BOX 1 (SEI REBUSAN I);5,3;METER;2024
250;15;JAMBI;1502;P.082;MUARA SIAU - DUSUN  TUAO;P.11.082.005;BOX 2;4,7;METER;2024
251;15;JAMBI;1502;P.082;MUARA SIAU - DUSUN  TUAO;P.11.082.006;SEI KLUKUP;32,3;METER;2024
252;15;JAMBI;1502;P.082;MUARA SIAU - DUSUN  TUAO;P.11.082.007;JEMBATAN  KAYU I;6,3;METER;2024
253;15;JAMBI;1502;P.083;DUSUN  TUAO - JANGKAT;P.11.083.001;SEI. SISIN II;20,8;METER;2024
254;15;JAMBI;1502;P.083;DUSUN  TUAO - JANGKAT;P.11.083.002;NILO SUNSANG;21;METER;2024
255;15;JAMBI;1502;P.083;DUSUN  TUAO - JANGKAT;P.11.083.003;NILO DINGIN;21;METER;2024
256;15;JAMBI;1502;P.083;DUSUN  TUAO - JANGKAT;P.11.083.004;SEI. LALANG;21;METER;2024
257;15;JAMBI;1502;P.083;DUSUN  TUAO - JANGKAT;P.11.083.005;SEI. MANTILIN  IV;21;METER;2024
258;15;JAMBI;1502;P.083;DUSUN  TUAO - JANGKAT;P.11.083.006;SEI. GEDANG;23;METER;2024
259;15;JAMBI;1502;P.083;DUSUN  TUAO - JANGKAT;P.11.083.007;MENTENANG I;40,6;METER;2024
260;15;JAMBI;1502;P.083;DUSUN  TUAO - JANGKAT;P.11.083.008;MENTENANG II;60,7;METER;2024
261;15;JAMBI;1502;P.083;DUSUN  TUAO - JANGKAT;P.11.083.009;TEMBESI;36;METER;2024
262;15;JAMBI;1502;P.083;DUSUN  TUAO - JANGKAT;P.11.083.010;MERAM;19,1;METER;2024
263;15;JAMBI;1502;P.083;DUSUN  TUAO - JANGKAT;P.11.083.011;RIAM;22,7;METER;2024
264;15;JAMBI;1502;P.083;DUSUN  TUAO - JANGKAT;P.11.083.012;ARO;36;METER;2024
265;15;JAMBI;1502;P.083;DUSUN  TUAO - JANGKAT;P.11.083.013;GELAM;21;METER;2024
266;15;JAMBI;1502;P.083;DUSUN  TUAO - JANGKAT;P.11.083.014;KANDIS;22,8;METER;2024
267;15;JAMBI;1501;P.091;SANGGARAN AGUNG -  JUJUN;P.11.091.001;SANGGARAN AGUNG;123,5;METER;2024
268;15;JAMBI;1501;P.091;SANGGARAN AGUNG -  JUJUN;P.11.091.002;BANJIR  KANAL;25,5;METER;2024
269;15;JAMBI;1501;P.091;SANGGARAN AGUNG -  JUJUN;P.11.091.003;TANJUNG  BATU;5;METER;2024
270;15;JAMBI;1501;P.091;SANGGARAN AGUNG -  JUJUN;P.11.091.004;BOX BARU;6;METER;2024
271;15;JAMBI;1501;P.092;JUJUN - LEMPUR;P.11.092.001;LOLO GEDANG;9;METER;2024
272;15;JAMBI;1501;P.092;JUJUN - LEMPUR;P.11.092.002;BOX BARU;4;METER;2024
273;15;JAMBI;1501;P.092;JUJUN - LEMPUR;P.11.092.003;LINGKAT;12;METER;2024
274;15;JAMBI;1501;P.093;JUJUN - SUNGAI  PENUH;P.11.093.001;JUJUN  III;4;METER;2024
275;15;JAMBI;1501;P.093;JUJUN - SUNGAI  PENUH;P.11.093.002;JUJUN  II;8;METER;2024
276;15;JAMBI;1501;P.093;JUJUN - SUNGAI  PENUH;P.11.093.003;JUJUN  I;17,2;METER;2024
277;15;JAMBI;1501;P.093;JUJUN - SUNGAI  PENUH;P.11.093.004;JEMBATAN  I;6;METER;2024
278;15;JAMBI;1501;P.093;JUJUN - SUNGAI  PENUH;P.11.093.005;SEI. KOTO DIAN;8,5;METER;2024
279;15;JAMBI;1501;P.093;JUJUN - SUNGAI  PENUH;P.11.093.006;SEI. KOTO TUO;8;METER;2024
280;15;JAMBI;1501;P.093;JUJUN - SUNGAI  PENUH;P.11.093.007;PULAU  TENGAH;26,5;METER;2024
281;15;JAMBI;1501;P.093;JUJUN - SUNGAI  PENUH;P.11.093.008;SUMEREP;6;METER;2024
282;15;JAMBI;1501;P.093;JUJUN - SUNGAI  PENUH;P.11.093.009;KUMUN  I;4;METER;2024
283;15;JAMBI;1572;P.094;JALAN DEPATI PARBO (SUNGAI PENUH);P.11.094.001;KUMUN  II;6;METER;2024
284;15;JAMBI;1572;P.094;JALAN DEPATI PARBO (SUNGAI PENUH);P.11.094.002;BOX 2B BARU;6;METER;2024
285;15;JAMBI;1572;P.095;SIMP. DEBAI - DUSUN BARU - BATAS KOTA SUNGAI PENUH - SIMP. 4 SEBUNGKAR;P.11.095.001;JEMBATAN PAHLAWAN;45,5;METER;2024
286;15;JAMBI;1572;P.095;SIMP. DEBAI - DUSUN BARU - BATAS KOTA SUNGAI PENUH - SIMP. 4 SEBUNGKAR;P.11.095.002;BOX BARU;2;METER;2024
287;15;JAMBI;1572;P.095;SIMP. DEBAI - DUSUN BARU - BATAS KOTA SUNGAI PENUH - SIMP. 4 SEBUNGKAR;P.11.095.003;BOX BARU;8;METER;2024
288;15;JAMBI;1572;P.095;SIMP. DEBAI - DUSUN BARU - BATAS KOTA SUNGAI PENUH - SIMP. 4 SEBUNGKAR;P.11.095.007;PTI BARU;4;METER;2024
289;15;JAMBI;1572;P.095;SIMP. DEBAI - DUSUN BARU - BATAS KOTA SUNGAI PENUH - SIMP. 4 SEBUNGKAR;P.11.095.008;PTI 2 BARU;2;METER;2024
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
