id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_komoditi;luas_panen;satuan;tahun
;15;JAMBI;1508;KUNYIT;8764;M²;2024
;15;JAMBI;1508;LAOS;5390;M²;2024
;15;JAMBI;1509;JAHE;1909;M²;2024
;15;JAMBI;1509;KENCUR;1248;M²;2024
;15;JAMBI;1509;KUNYIT;1626;M²;2024
;15;JAMBI;1509;LAOS;2615;M²;2024
;15;JAMBI;1571;JAHE;1020;M²;2024
;15;JAMBI;1571;KENCUR;161;M²;2024
;15;JAMBI;1571;KUNYIT;7911;M²;2024
;15;JAMBI;1571;LAOS;1483;M²;2024
;15;JAMBI;1572;JAHE;3330;M²;2024
;15;JAMBI;1572;KENCUR;620;M²;2024
;15;JAMBI;1572;KUNYIT;2003;M²;2024
;15;JAMBI;1572;LAOS;950;M²;2024
