NO;kode_provinsi;kode_kabupaten_kota;koomoditi;luas_panen;satuan;tahun
118;15;1503;BAWANG MERAH;2;HEKTAR;2023
119;15;1503;CABE MERAH;61.96;HEKTAR;2023
120;15;1503;CABE RAWIT;58.2;HEKTAR;2023
121;15;1503;KENTANG;0;HEKTAR;2023
122;15;1503;KUBIS;0;HEKTAR;2023
123;15;1503;SAWI;26.33;HEKTAR;2023
124;15;1503;SEMANGKA;89;HEKTAR;2023
125;15;1503;TOMAT;10.37;HEKTAR;2023
126;15;1503;WORTEL;0;HEKTAR;2023
127;15;1504;BAWANG MERAH;0;HEKTAR;2023
128;15;1504;CABE MERAH;111;HEKTAR;2023
129;15;1504;CABE RAWIT;82;HEKTAR;2023
130;15;1504;KENTANG;0;HEKTAR;2023
131;15;1504;KUBIS;0;HEKTAR;2023
132;15;1504;SAWI;0;HEKTAR;2023
133;15;1504;SEMANGKA;68;HEKTAR;2023
134;15;1504;TOMAT;4;HEKTAR;2023
135;15;1504;WORTEL;0;HEKTAR;2023
136;15;1505;BAWANG MERAH;6;HEKTAR;2023
137;15;1505;CABE MERAH;338.7;HEKTAR;2023
138;15;1505;CABE RAWIT;62.7;HEKTAR;2023
139;15;1505;KENTANG;0;HEKTAR;2023
140;15;1505;KUBIS;0;HEKTAR;2023
141;15;1505;SAWI;66.75;HEKTAR;2023
142;15;1505;SEMANGKA;56;HEKTAR;2023
143;15;1505;TOMAT;31;HEKTAR;2023
144;15;1505;WORTEL;0;HEKTAR;2023
145;15;1506;BAWANG MERAH;1;HEKTAR;2023
146;15;1506;CABE MERAH;107;HEKTAR;2023
147;15;1506;CABE RAWIT;71;HEKTAR;2023
148;15;1506;KENTANG;0;HEKTAR;2023
149;15;1506;KUBIS;0;HEKTAR;2023
150;15;1506;SAWI;0;HEKTAR;2023
151;15;1506;SEMANGKA;76;HEKTAR;2023
152;15;1506;TOMAT;7;HEKTAR;2023
153;15;1506;WORTEL;0;HEKTAR;2023
154;15;1507;BAWANG MERAH;1;HEKTAR;2023
155;15;1507;CABE MERAH;67;HEKTAR;2023
156;15;1507;CABE RAWIT;53;HEKTAR;2023
157;15;1507;KENTANG;0;HEKTAR;2023
158;15;1507;KUBIS;0;HEKTAR;2023
159;15;1507;SAWI;0;HEKTAR;2023
160;15;1507;SEMANGKA;30;HEKTAR;2023
161;15;1507;TOMAT;8;HEKTAR;2023
162;15;1507;WORTEL;0;HEKTAR;2023
163;15;1508;BAWANG MERAH;2;HEKTAR;2023
164;15;1508;CABE MERAH;80.4;HEKTAR;2023
165;15;1508;CABE RAWIT;70.2;HEKTAR;2023
166;15;1508;KENTANG;0;HEKTAR;2023
167;15;1508;KUBIS;0;HEKTAR;2023
168;15;1508;SAWI;12.75;HEKTAR;2023
169;15;1508;SEMANGKA;65.25;HEKTAR;2023
170;15;1508;TOMAT;1.75;HEKTAR;2023
171;15;1508;WORTEL;0;HEKTAR;2023
172;15;1509;BAWANG MERAH;15;HEKTAR;2023
173;15;1509;CABE MERAH;65.5;HEKTAR;2023
174;15;1509;CABE RAWIT;39;HEKTAR;2023
175;15;1509;KENTANG;0;HEKTAR;2023
176;15;1509;KUBIS;0;HEKTAR;2023
177;15;1509;SAWI;17.5;HEKTAR;2023
178;15;1509;SEMANGKA;55.75;HEKTAR;2023
179;15;1509;TOMAT;4.5;HEKTAR;2023
180;15;1509;WORTEL;0;HEKTAR;2023
181;15;1571;BAWANG MERAH;1.3;HEKTAR;2023
182;15;1571;CABE MERAH;17.69;HEKTAR;2023
183;15;1571;CABE RAWIT;7.6;HEKTAR;2023
184;15;1571;KENTANG;0;HEKTAR;2023
185;15;1571;KUBIS;0;HEKTAR;2023
186;15;1571;SAWI;169.95;HEKTAR;2023
187;15;1571;SEMANGKA;0;HEKTAR;2023
188;15;1571;TOMAT;3.11;HEKTAR;2023
189;15;1571;WORTEL;0;HEKTAR;2023
190;15;1572;BAWANG MERAH;46;HEKTAR;2023
191;15;1572;CABE MERAH;95.47;HEKTAR;2023
192;15;1572;CABE RAWIT;54.1;HEKTAR;2023
193;15;1572;KENTANG;8;HEKTAR;2023
194;15;1572;KUBIS;0;HEKTAR;2023
195;15;1572;SAWI;61.8;HEKTAR;2023
196;15;1572;SEMANGKA;0;HEKTAR;2023
197;15;1572;TOMAT;43.75;HEKTAR;2023
198;15;1572;WORTEL;0;HEKTAR;2023
