id;kode_provinsi;nama_provinsi;kode_kabupaten;komoditi;jumlah_petani;satuan;tahun
1;15;JAMBI;1501;TEBU;1569;KEPALA KELUARGA;2022
2;15;JAMBI;1572;TEBU;10;KEPALA KELUARGA;2022
