NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;jumlah_keluarga_risiko_stunting;peringkat_kesejahteraan_1;peringkat_kesejahteraan_2;peringkat_kesejahteraan_3;peringkat_kesejahteraan_4;peringkat_kesejahteraan_>4;peringkat_kesejahteraan_belum_diketahui
;15;JAMBI;1501;KERINCI;150105;AIR HANGAT;65;5;9;3;4;37;7
;15;JAMBI;1501;KERINCI;150121;AIR HANGAT BARAT;164;11;23;16;20;85;9
;15;JAMBI;1501;KERINCI;150111;AIR HANGAT TIMUR;841;178;138;100;80;325;20
;15;JAMBI;1501;KERINCI;150107;BATANG MERANGIN;284;54;50;16;26;115;23
;15;JAMBI;1501;KERINCI;150120;BUKITKERMAN;512;128;91;37;31;165;60
;15;JAMBI;1501;KERINCI;150102;DANAU KERINCI;212;40;34;26;16;91;5
;15;JAMBI;1501;KERINCI;150123;DANAU KERINCI BARAT;405;54;68;33;35;168;47
;15;JAMBI;1501;KERINCI;150117;DEPATI TUJUH;264;45;43;20;23;109;24
;15;JAMBI;1501;KERINCI;150106;GUNUNG KERINCI;551;153;102;55;42;172;27
;15;JAMBI;1501;KERINCI;150101;GUNUNG RAYA;176;41;32;18;5;70;10
;15;JAMBI;1501;KERINCI;150115;GUNUNG TUJUH;270;46;68;30;25;88;13
;15;JAMBI;1501;KERINCI;150109;KAYU ARO;1.011;149;175;101;123;408;55
;15;JAMBI;1501;KERINCI;150119;KAYU ARO BARAT;482;37;84;46;66;232;17
;15;JAMBI;1501;KERINCI;150108;KELILING DANAU;113;9;8;7;8;66;15
;15;JAMBI;1501;KERINCI;150104;SITINJAU LAUT;404;87;92;52;47;106;20
;15;JAMBI;1501;KERINCI;150116;SIULAK;850;187;169;87;72;288;47
;15;JAMBI;1501;KERINCI;150118;SIULAK MUKAI;409;104;101;39;22;132;11
;15;JAMBI;1501;KERINCI;150122;TANAH COGOK;254;52;34;23;17;121;7
;15;JAMBI;1502;MERANGIN;150202;BANGKO;786;36;33;43;70;560;44
;15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;668;132;78;129;106;213;10
;15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;432;68;28;50;61;197;28
;15;JAMBI;1502;MERANGIN;150201;JANGKAT;302;38;13;24;31;79;117
;15;JAMBI;1502;MERANGIN;150218;JANGKAT TIMUR;633;312;66;65;48;53;89
;15;JAMBI;1502;MERANGIN;150209;LEMBAH MASURAI;465;199;43;43;34;94;52
;15;JAMBI;1502;MERANGIN;150221;MARGO TABIR;537;137;40;96;76;143;45
;15;JAMBI;1502;MERANGIN;150203;MUARA SIAU;300;126;34;40;18;61;21
;15;JAMBI;1502;MERANGIN;150211;NALO TANTAN;436;39;32;27;53;285;0
;15;JAMBI;1502;MERANGIN;150206;PAMENANG;991;143;79;138;174;428;29
;15;JAMBI;1502;MERANGIN;150213;PAMENANG BARAT;459;92;35;57;59;196;20
;15;JAMBI;1502;MERANGIN;150220;PAMENANG SELATAN;394;99;45;56;63;103;28
;15;JAMBI;1502;MERANGIN;150217;PANGKALAN JAMBU;125;18;9;10;15;52;21
;15;JAMBI;1502;MERANGIN;150219;RENAH PAMENANG;183;20;13;15;28;100;7
;15;JAMBI;1502;MERANGIN;150216;RENAH PEMBARAP;504;157;50;74;56;157;10
;15;JAMBI;1502;MERANGIN;150204;SUNGAI MANAU;567;186;62;70;48;178;23
;15;JAMBI;1502;MERANGIN;150205;TABIR;2.054;646;245;269;283;559;52
;15;JAMBI;1502;MERANGIN;150223;TABIR BARAT;582;230;92;82;67;103;8
;15;JAMBI;1502;MERANGIN;150214;TABIR ILIR;440;164;66;43;53;89;25
;15;JAMBI;1502;MERANGIN;150222;TABIR LINTAS;276;48;42;36;40;101;9
;15;JAMBI;1502;MERANGIN;150208;TABIR SELATAN;681;59;42;83;116;360;21
;15;JAMBI;1502;MERANGIN;150215;TABIR TIMUR;526;115;56;87;80;159;29
;15;JAMBI;1502;MERANGIN;150207;TABIR ULU;697;312;78;72;54;131;50
;15;JAMBI;1502;MERANGIN;150224;TIANG PUMPUNG;114;43;11;14;12;26;8
;15;JAMBI;1503;SAROLANGUN;150307;AIR HITAM;1.275;159;162;195;203;554;2
;15;JAMBI;1503;SAROLANGUN;150301;BATANG ASAI;2.412;546;341;358;269;794;104
;15;JAMBI;1503;SAROLANGUN;150308;BATHIN VIII;524;56;27;43;33;320;45
;15;JAMBI;1503;SAROLANGUN;150310;CERMIN NAN GEDANG;395;95;54;33;37;124;52
;15;JAMBI;1503;SAROLANGUN;150302;LIMUN;874;225;161;129;88;249;22
;15;JAMBI;1503;SAROLANGUN;150306;MANDIANGIN;1.066;278;154;162;113;318;41
;15;JAMBI;1503;SAROLANGUN;150311;MANDIANGIN TIMUR;245;70;34;34;22;62;23
;15;JAMBI;1503;SAROLANGUN;150304;PAUH;1.135;280;170;167;133;372;13
;15;JAMBI;1503;SAROLANGUN;150305;PELAWAN;1.050;231;143;129;107;377;63
;15;JAMBI;1503;SAROLANGUN;150303;SAROLANGUN;1.745;147;127;178;149;1.097;47
;15;JAMBI;1503;SAROLANGUN;150309;SINGKUT;894;219;125;110;73;333;34
;15;JAMBI;1504;BATANGHARI;150407;BAJUBANG;1.597;215;243;236;184;719;80
;15;JAMBI;1504;BATANGHARI;150404;BATIN XXIV;1.322;241;207;184;175;489;26
;15;JAMBI;1504;BATANGHARI;150408;MARO SEBO ILIR;456;62;74;50;51;206;13
;15;JAMBI;1504;BATANGHARI;150406;MARO SEBO ULU;2.011;554;363;255;165;542;132
;15;JAMBI;1504;BATANGHARI;150401;MERSAM;564;96;108;81;40;194;45
;15;JAMBI;1504;BATANGHARI;150403;MUARA BULIAN;2.619;365;342;322;260;1.246;84
;15;JAMBI;1504;BATANGHARI;150402;MUARA TEMBESI;1.221;232;205;147;126;437;74
;15;JAMBI;1504;BATANGHARI;150405;PEMAYUNG;1.282;315;245;188;123;327;84
;15;JAMBI;1505;MUARO JAMBI;150510;BAHAR SELATAN;402;85;43;25;55;179;15
;15;JAMBI;1505;MUARO JAMBI;150509;BAHAR UTARA;310;46;23;19;54;141;27
;15;JAMBI;1505;MUARO JAMBI;150501;JAMBI LUAR KOTA;2.450;272;164;151;313;1.477;73
;15;JAMBI;1505;MUARO JAMBI;150503;KUMPEH;1.945;180;139;141;271;1.146;68
;15;JAMBI;1505;MUARO JAMBI;150506;KUMPEH ULU;2.520;209;206;160;431;1.440;74
;15;JAMBI;1505;MUARO JAMBI;150504;MARO SEBO;983;190;132;73;187;360;41
;15;JAMBI;1505;MUARO JAMBI;150505;MESTONG;1.180;254;132;94;175;494;31
