id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;posyandu_aktif_posbindu_ptm;strata posyandu;jumlah;satuan;tahun
72;15;JAMBI;1507;POSYANDU;MADYA;26;UNIT;2023
73;15;JAMBI;1506;POSYANDU;MADYA;2;UNIT;2023
74;15;JAMBI;1509;POSYANDU;MADYA;66;UNIT;2023
75;15;JAMBI;1508;POSYANDU;MADYA;57;UNIT;2023
76;15;JAMBI;1571;POSYANDU;MADYA;125;UNIT;2023
77;15;JAMBI;1572;POSYANDU;MADYA;0;UNIT;2023
78;15;JAMBI;1501;POSYANDU;PURNAMA;149;UNIT;2023
79;15;JAMBI;1502;POSYANDU;PURNAMA;194;UNIT;2023
80;15;JAMBI;1503;POSYANDU;PURNAMA;197;UNIT;2023
81;15;JAMBI;1504;POSYANDU;PURNAMA;132;UNIT;2023
82;15;JAMBI;1505;POSYANDU;PURNAMA;243;UNIT;2023
83;15;JAMBI;1507;POSYANDU;PURNAMA;199;UNIT;2023
84;15;JAMBI;1506;POSYANDU;PURNAMA;168;UNIT;2023
85;15;JAMBI;1509;POSYANDU;PURNAMA;151;UNIT;2023
86;15;JAMBI;1508;POSYANDU;PURNAMA;169;UNIT;2023
87;15;JAMBI;1571;POSYANDU;PURNAMA;298;UNIT;2023
88;15;JAMBI;1572;POSYANDU;PURNAMA;78;UNIT;2023
89;15;JAMBI;1501;POSYANDU;MANDIRI;10;UNIT;2023
90;15;JAMBI;1502;POSYANDU;MANDIRI;104;UNIT;2023
91;15;JAMBI;1503;POSYANDU;MANDIRI;111;UNIT;2023
92;15;JAMBI;1504;POSYANDU;MANDIRI;121;UNIT;2023
93;15;JAMBI;1505;POSYANDU;MANDIRI;47;UNIT;2023
94;15;JAMBI;1507;POSYANDU;MANDIRI;63;UNIT;2023
95;15;JAMBI;1506;POSYANDU;MANDIRI;121;UNIT;2023
96;15;JAMBI;1509;POSYANDU;MANDIRI;92;UNIT;2023
97;15;JAMBI;1508;POSYANDU;MANDIRI;60;UNIT;2023
98;15;JAMBI;1571;POSYANDU;MANDIRI;48;UNIT;2023
99;15;JAMBI;1572;POSYANDU;MANDIRI;0;UNIT;2023
100;15;JAMBI;1501;POSYANDU AKTIF ;POSYANDU AKTIF ;159;UNIT;2023
101;15;JAMBI;1502;POSYANDU AKTIF ;POSYANDU AKTIF ;298;UNIT;2023
102;15;JAMBI;1503;POSYANDU AKTIF ;POSYANDU AKTIF ;308;UNIT;2023
103;15;JAMBI;1504;POSYANDU AKTIF ;POSYANDU AKTIF ;253;UNIT;2023
104;15;JAMBI;1505;POSYANDU AKTIF ;POSYANDU AKTIF ;290;UNIT;2023
105;15;JAMBI;1507;POSYANDU AKTIF ;POSYANDU AKTIF ;262;UNIT;2023
106;15;JAMBI;1506;POSYANDU AKTIF ;POSYANDU AKTIF ;289;UNIT;2023
107;15;JAMBI;1509;POSYANDU AKTIF ;POSYANDU AKTIF ;243;UNIT;2023
108;15;JAMBI;1508;POSYANDU AKTIF ;POSYANDU AKTIF ;229;UNIT;2023
109;15;JAMBI;1571;POSYANDU AKTIF ;POSYANDU AKTIF ;346;UNIT;2023
110;15;JAMBI;1572;POSYANDU AKTIF ;POSYANDU AKTIF ;78;UNIT;2023
111;15;JAMBI;1501;POSBINDU PTM;POSBINDU PTM;203;UNIT;2022
112;15;JAMBI;1502;POSBINDU PTM;POSBINDU PTM;216;UNIT;2022
113;15;JAMBI;1503;POSBINDU PTM;POSBINDU PTM;130;UNIT;2022
114;15;JAMBI;1504;POSBINDU PTM;POSBINDU PTM;151;UNIT;2022
115;15;JAMBI;1505;POSBINDU PTM;POSBINDU PTM;144;UNIT;2022
116;15;JAMBI;1507;POSBINDU PTM;POSBINDU PTM;102;UNIT;2022
117;15;JAMBI;1506;POSBINDU PTM;POSBINDU PTM;133;UNIT;2022
118;15;JAMBI;1509;POSBINDU PTM;POSBINDU PTM;139;UNIT;2022
119;15;JAMBI;1508;POSBINDU PTM;POSBINDU PTM;183;UNIT;2022
120;15;JAMBI;1571;POSBINDU PTM;POSBINDU PTM;62;UNIT;2022
121;15;JAMBI;1572;POSBINDU PTM;POSBINDU PTM;71;UNIT;2022
122;15;JAMBI;1501;POSBINDU PTM;POSBINDU PTM;203;UNIT;2023
123;15;JAMBI;1502;POSBINDU PTM;POSBINDU PTM;216;UNIT;2023
124;15;JAMBI;1503;POSBINDU PTM;POSBINDU PTM;130;UNIT;2023
125;15;JAMBI;1504;POSBINDU PTM;POSBINDU PTM;151;UNIT;2023
126;15;JAMBI;1505;POSBINDU PTM;POSBINDU PTM;144;UNIT;2023
127;15;JAMBI;1507;POSBINDU PTM;POSBINDU PTM;102;UNIT;2023
128;15;JAMBI;1506;POSBINDU PTM;POSBINDU PTM;133;UNIT;2023
129;15;JAMBI;1509;POSBINDU PTM;POSBINDU PTM;139;UNIT;2023
130;15;JAMBI;1508;POSBINDU PTM;POSBINDU PTM;183;UNIT;2023
131;15;JAMBI;1571;POSBINDU PTM;POSBINDU PTM;62;UNIT;2023
132;15;JAMBI;1572;POSBINDU PTM;POSBINDU PTM;71;UNIT;2023
