NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;produksi;satuan;tahun
1;15;JAMBI;1501;TEBU;9643;TON;2022
2;15;JAMBI;1572;TEBU;6;TON;2022
3;15;JAMBI;1501;TEBU;9839;TON;2023
4;15;JAMBI;1572;TEBU;6;TON;2023
