NO;kode_provinsi;nama_provinsi;komoditi;produksi;satuan_produksi;tahun
1;15;JAMBI;TEBU / Sugar Cane;9.649;TON;2022
2;15;JAMBI;TEMBAKAU / Tobacco;181;TON;2022
3;15;JAMBI;NILAM / Patchouli;170;TON;2022
4;15;JAMBI;TEBU / Sugar Cane;9.845;TON;2023
5;15;JAMBI;TEMBAKAU / Tobacco;177;TON;2023
6;15;JAMBI;NILAM / Patchouli;130;TON;2023
